hid,sample_geo,gqtype,gqrtotals,gqtotals
80,906,2,1,1
275,2902,1,1,1
294,4103,1,1,1
317,3704,1,1,1
333,3903,2,1,1
874,2002,1,1,1
1234,2300,2,1,1
1366,600,2,1,1
1415,402,2,1,1
1525,1801,2,1,1
1578,4106,2,1,1
1649,1202,2,1,1
1721,4007,2,1,1
1758,3102,2,1,1
1967,3801,2,1,1
1980,4004,2,1,1
1993,4114,2,1,1
2076,3708,1,1,1
2088,902,2,1,1
2172,1205,2,1,1
2433,500,2,1,1
2445,2300,2,1,1
2858,200,1,1,1
2922,3808,2,1,1
3055,4009,1,1,1
3149,3702,1,1,1
3194,903,2,1,1
3465,1600,1,1,1
3524,2902,1,1,1
3790,2201,2,1,1
4028,2701,2,1,1
4287,3206,1,1,1
4554,905,2,1,1
4568,2300,2,1,1
4621,2401,2,1,1
4682,2203,2,1,1
4737,3803,2,1,1
4807,2402,1,1,1
4894,2300,2,1,1
4935,1900,1,1,1
4983,3106,2,1,1
5033,4105,2,1,1
5051,1700,2,1,1
5102,2701,1,1,1
5391,2300,2,1,1
5446,3708,2,1,1
5477,3808,2,1,1
5643,4108,2,1,1
5674,3308,2,1,1
5934,1700,2,1,1
5938,1500,2,1,1
6347,2801,2,1,1
6440,1400,1,1,1
6630,2402,2,1,1
7162,1207,1,1,1
7260,906,2,1,1
7370,402,1,1,1
7396,3703,2,1,1
7503,3710,2,1,1
7663,200,2,1,1
7670,1400,2,1,1
7721,3704,1,1,1
7931,4101,2,1,1
7957,1600,1,1,1
8112,2903,2,1,1
8260,3107,2,1,1
8319,3313,2,1,1
8359,905,2,1,1
8378,4002,1,1,1
8536,2802,2,1,1
8706,3212,1,1,1
8730,500,1,1,1
8813,3807,2,1,1
8820,2701,1,1,1
8875,3701,1,1,1
8937,3708,2,1,1
9004,2702,2,1,1
9076,402,1,1,1
9196,2801,2,1,1
9281,2702,2,1,1
9413,4104,2,1,1
9446,3803,2,1,1
9478,2801,1,1,1
9781,1102,2,1,1
9822,402,1,1,1
9920,4013,2,1,1
10061,2500,2,1,1
10247,2903,2,1,1
10786,2300,1,1,1
10802,1102,1,1,1
10925,2201,2,1,1
10967,4111,2,1,1
11063,1206,2,1,1
11114,200,1,1,1
11404,3001,1,1,1
11466,2202,1,1,1
11507,2401,1,1,1
11531,3804,2,1,1
11572,2500,2,1,1
11785,1000,1,1,1
11821,4104,2,1,1
11871,3804,2,1,1
11889,3706,1,1,1
11947,2300,2,1,1
11979,3705,2,1,1
12379,3809,2,1,1
12452,701,2,1,1
12530,2402,2,1,1
12593,300,1,1,1
12665,402,1,1,1
12667,800,1,1,1
12932,2201,2,1,1
12986,3201,2,1,1
13072,3002,2,1,1
13091,901,1,1,1
13192,1300,2,1,1
13384,100,2,1,1
13655,1400,2,1,1
14040,3802,2,1,1
14199,100,2,1,1
14215,2002,2,1,1
14441,100,2,1,1
14501,2902,2,1,1
14685,2401,1,1,1
14690,4008,2,1,1
14762,3102,1,1,1
14855,2901,2,1,1
15031,3211,2,1,1
15125,403,2,1,1
15144,3310,1,1,1
15466,1206,2,1,1
15677,3106,2,1,1
15688,1801,2,1,1
15785,3701,2,1,1
15861,2202,1,1,1
16045,3706,1,1,1
16095,3807,2,1,1
16235,3106,2,1,1
16391,903,1,1,1
16455,3206,2,1,1
16599,704,1,1,1
16761,1400,1,1,1
16901,703,2,1,1
16950,1500,2,1,1
17004,2203,1,1,1
17037,3704,2,1,1
17126,2500,2,1,1
17155,1206,2,1,1
17249,2600,1,1,1
17628,903,1,1,1
17805,100,2,1,1
18184,1102,1,1,1
18288,906,2,1,1
18477,1802,2,1,1
18535,2300,2,1,1
19000,3206,2,1,1
19115,3310,2,1,1
19135,4003,2,1,1
19220,3307,2,1,1
19464,3203,2,1,1
19472,4004,2,1,1
19910,3102,1,1,1
20059,4016,2,1,1
20081,4004,2,1,1
20270,3304,2,1,1
20461,4009,1,1,1
20561,4004,1,1,1
20692,3807,2,1,1
20970,3304,2,1,1
20996,704,2,1,1
21144,3903,1,1,1
21200,3709,2,1,1
21234,2600,1,1,1
21309,4015,2,1,1
21347,3903,2,1,1
21405,4106,2,1,1
21560,3710,2,1,1
21643,4101,2,1,1
21809,1203,1,1,1
21985,903,2,1,1
22138,3710,1,1,1
22322,3301,2,1,1
22461,1500,2,1,1
22480,3802,2,1,1
22551,1000,1,1,1
22574,100,2,1,1
22662,3810,2,1,1
22775,2001,2,1,1
22781,2500,2,1,1
22893,1700,2,1,1
22939,402,2,1,1
23034,2801,2,1,1
23167,3212,1,1,1
23188,2001,2,1,1
23226,2500,2,1,1
23230,500,2,1,1
23462,2702,2,1,1
23528,4002,2,1,1
23598,1500,2,1,1
23633,2902,2,1,1
24146,800,2,1,1
24178,1202,2,1,1
24208,3810,2,1,1
24268,3804,2,1,1
24485,4111,2,1,1
24571,403,1,1,1
24599,401,2,1,1
25131,1900,2,1,1
25158,3806,2,1,1
25210,3804,1,1,1
25264,500,2,1,1
25307,4112,2,1,1
25357,3807,2,1,1
25386,3201,2,1,1
25515,3205,2,1,1
25720,1400,2,1,1
25981,3810,2,1,1
26321,701,2,1,1
26449,600,2,1,1
26507,3701,1,1,1
26591,3808,2,1,1
26755,3202,2,1,1
26877,3002,2,1,1
27086,200,1,1,1
27571,3102,1,1,1
27745,3204,2,1,1
27819,3201,1,1,1
27853,2702,2,1,1
27896,2001,2,1,1
27910,2702,1,1,1
28047,402,2,1,1
28057,2701,1,1,1
28118,2402,1,1,1
28422,3304,2,1,1
28825,2702,1,1,1
28904,2802,1,1,1
28984,1202,1,1,1
29110,2300,1,1,1
29151,1205,1,1,1
29255,3201,1,1,1
29285,3106,2,1,1
29293,1000,1,1,1
29648,500,2,1,1
29849,1300,2,1,1
29936,902,1,1,1
29967,3710,1,1,1
30183,3808,1,1,1
30322,4102,2,1,1
30380,3307,2,1,1
30541,3803,2,1,1
30886,1400,2,1,1
30986,903,2,1,1
31259,3102,2,1,1
31267,2702,2,1,1
31351,1700,1,1,1
31465,702,1,1,1
31557,3308,2,1,1
31655,200,2,1,1
31917,3106,2,1,1
32113,3701,2,1,1
32207,1204,2,1,1
32433,3102,1,1,1
32510,2001,2,1,1
32631,2801,2,1,1
32678,2801,2,1,1
32790,3208,1,1,1
32806,3304,2,1,1
33128,902,1,1,1
33267,901,1,1,1
33632,2100,2,1,1
33663,3210,2,1,1
33827,2702,2,1,1
33880,4113,2,1,1
33881,3807,2,1,1
33925,3103,2,1,1
34344,3206,1,1,1
34351,1205,2,1,1
34545,1207,1,1,1
34634,3808,2,1,1
35330,3311,1,1,1
35394,4004,2,1,1
35439,1101,1,1,1
35489,3701,1,1,1
35545,1900,2,1,1
35644,3308,2,1,1
35683,4011,2,1,1
35705,600,1,1,1
35751,500,1,1,1
35759,1500,2,1,1
35771,200,1,1,1
35834,4007,2,1,1
35896,3104,2,1,1
35913,800,1,1,1
35998,2901,2,1,1
36067,402,2,1,1
36203,1801,2,1,1
36252,905,1,1,1
36830,3703,1,1,1
36834,3207,1,1,1
37046,4003,2,1,1
37144,2201,2,1,1
37159,100,2,1,1
37170,2300,2,1,1
37194,2701,1,1,1
37296,2203,2,1,1
37337,3809,2,1,1
37487,3706,2,1,1
37569,2702,2,1,1
37698,3002,1,1,1
37868,402,2,1,1
37871,3708,2,1,1
38122,4003,1,1,1
38312,800,2,1,1
38469,3710,2,1,1
38581,3107,2,1,1
38609,2500,2,1,1
38697,200,2,1,1
38848,2300,2,1,1
38998,1202,1,1,1
39006,906,2,1,1
39010,1700,2,1,1
39390,704,1,1,1
39539,3701,2,1,1
39611,3802,2,1,1
39965,3102,2,1,1
40106,2001,2,1,1
40139,1000,1,1,1
40145,3104,2,1,1
40251,2202,2,1,1
40318,703,1,1,1
40471,1300,2,1,1
40579,3804,1,1,1
40701,906,2,1,1
40810,703,2,1,1
40889,3706,1,1,1
40916,2201,2,1,1
40999,3710,2,1,1
41014,2901,2,1,1
41152,903,2,1,1
41275,2300,2,1,1
41364,1101,2,1,1
41530,2001,2,1,1
42095,2100,1,1,1
42301,1000,1,1,1
42357,2002,2,1,1
42501,3703,2,1,1
42510,903,2,1,1
42632,2802,1,1,1
42667,2202,1,1,1
43244,300,1,1,1
43333,704,1,1,1
43373,2100,1,1,1
43537,2201,1,1,1
43571,2702,2,1,1
43623,4016,2,1,1
43920,3305,1,1,1
44514,4112,2,1,1
44625,3103,1,1,1
44646,3903,2,1,1
44776,2801,2,1,1
44869,2100,1,1,1
45155,3705,2,1,1
45268,3809,2,1,1
45387,3710,1,1,1
45606,3708,2,1,1
45702,4003,2,1,1
45734,1205,2,1,1
45819,1207,1,1,1
45866,2902,2,1,1
45891,3809,2,1,1
45971,3102,1,1,1
45986,2701,1,1,1
46052,100,2,1,1
46530,2600,1,1,1
46554,2702,2,1,1
46601,3810,2,1,1
47001,2001,2,1,1
47077,2201,1,1,1
47232,100,2,1,1
47401,701,1,1,1
47460,100,2,1,1
47489,4109,2,1,1
47494,2701,1,1,1
47535,2600,2,1,1
47610,3203,2,1,1
47614,703,2,1,1
47645,2702,1,1,1
47764,4004,2,1,1
48036,2202,2,1,1
48105,704,2,1,1
48434,1400,2,1,1
48544,200,2,1,1
48624,300,1,1,1
48644,2903,2,1,1
49289,2300,2,1,1
49319,800,1,1,1
49560,906,2,1,1
49577,1300,1,1,1
49880,402,2,1,1
49990,1300,1,1,1
50004,1206,2,1,1
50215,4014,2,1,1
50288,2201,2,1,1
50735,100,2,1,1
50744,2002,2,1,1
50878,4004,2,1,1
51153,2801,1,1,1
51210,1300,1,1,1
51452,1802,1,1,1
51752,701,2,1,1
51906,2801,2,1,1
52008,3705,2,1,1
52253,100,2,1,1
52520,3310,1,1,1
52782,4003,2,1,1
53317,200,2,1,1
53330,1000,2,1,1
53459,3802,2,1,1
53545,2702,2,1,1
53697,701,2,1,1
53705,3103,1,1,1
53712,3309,1,1,1
53952,906,2,1,1
53960,1900,2,1,1
53966,3312,2,1,1
54179,4007,2,1,1
54251,3305,1,1,1
54258,4003,2,1,1
54705,500,2,1,1
55001,3710,1,1,1
55216,3105,2,1,1
55272,403,2,1,1
55309,800,2,1,1
55410,402,1,1,1
55519,3106,2,1,1
55555,1900,1,1,1
56128,905,2,1,1
56153,500,1,1,1
56169,403,2,1,1
56182,1203,1,1,1
56257,3902,2,1,1
56275,1500,2,1,1
56328,3107,2,1,1
56371,2002,1,1,1
56539,4108,1,1,1
56549,200,1,1,1
56567,2401,1,1,1
56620,3705,2,1,1
56785,3703,2,1,1
56796,403,2,1,1
56944,4105,2,1,1
56949,3105,2,1,1
57050,2702,2,1,1
57104,3207,2,1,1
57186,2600,2,1,1
57467,701,2,1,1
57525,4009,2,1,1
57538,3201,2,1,1
57585,904,1,1,1
57678,3803,2,1,1
57924,2802,1,1,1
58008,3809,2,1,1
58456,3702,2,1,1
58469,3804,2,1,1
58489,905,1,1,1
58510,3105,2,1,1
58582,3710,1,1,1
58726,905,2,1,1
58776,701,2,1,1
58903,1202,2,1,1
58915,4114,2,1,1
59121,3903,1,1,1
59188,1206,2,1,1
59189,3304,2,1,1
59309,2500,2,1,1
59426,3805,2,1,1
59721,4018,2,1,1
59933,3105,2,1,1
59990,1700,2,1,1
60527,903,1,1,1
60531,4103,1,1,1
60535,2201,1,1,1
60591,3705,2,1,1
61194,2300,2,1,1
61576,4001,2,1,1
61675,3808,2,1,1
61737,905,2,1,1
61768,1202,2,1,1
61799,200,1,1,1
61805,3304,2,1,1
61815,3807,2,1,1
61893,1300,2,1,1
61988,2203,2,1,1
62025,3705,2,1,1
62275,2201,2,1,1
62583,403,2,1,1
62707,2100,1,1,1
62922,1300,1,1,1
62947,3210,2,1,1
62950,3002,2,1,1
62985,4012,1,1,1
63067,4004,2,1,1
63135,1400,1,1,1
63184,1801,2,1,1
63414,1801,2,1,1
63481,4104,2,1,1
63549,4007,2,1,1
63569,1500,2,1,1
64024,3809,2,1,1
64342,3206,2,1,1
64349,2701,1,1,1
64659,3710,1,1,1
64703,2100,1,1,1
64796,3205,2,1,1
64921,1400,2,1,1
64967,200,2,1,1
65040,4112,1,1,1
65170,2300,2,1,1
65173,300,2,1,1
65372,1600,1,1,1
65592,4007,2,1,1
65593,2801,1,1,1
65777,3710,2,1,1
65901,2702,1,1,1
66013,2702,2,1,1
66662,1802,1,1,1
66687,2701,2,1,1
66833,2600,1,1,1
66848,2300,2,1,1
66942,703,1,1,1
66963,2300,2,1,1
66990,2203,2,1,1
67304,2500,1,1,1
67422,702,2,1,1
67445,3001,1,1,1
67446,2201,2,1,1
67595,3106,2,1,1
67680,4016,2,1,1
67859,200,2,1,1
68630,3707,2,1,1
68854,3304,2,1,1
69140,3810,2,1,1
69397,903,2,1,1
69609,1300,1,1,1
69651,4014,2,1,1
69887,3002,2,1,1
69936,3304,2,1,1
69984,3304,2,1,1
70151,3802,2,1,1
70253,200,2,1,1
70282,3002,2,1,1
70431,906,2,1,1
70495,3303,1,1,1
70515,402,1,1,1
70540,200,1,1,1
70622,1203,1,1,1
70696,4113,2,1,1
70742,3701,2,1,1
71042,200,2,1,1
71055,3703,1,1,1
71125,4009,2,1,1
71629,500,2,1,1
71950,3701,1,1,1
71957,2600,2,1,1
71968,1202,2,1,1
71969,2902,1,1,1
72039,2600,1,1,1
72044,2802,1,1,1
72072,2201,2,1,1
72264,903,2,1,1
72322,3101,1,1,1
72546,2300,2,1,1
73177,3903,2,1,1
73383,1202,1,1,1
73444,600,2,1,1
73497,4105,2,1,1
73545,906,2,1,1
73571,3202,2,1,1
73642,1206,1,1,1
74169,1600,2,1,1
74356,3104,1,1,1
74472,902,2,1,1
74776,3808,2,1,1
74868,4006,1,1,1
74879,703,2,1,1
75148,2203,2,1,1
75262,2300,2,1,1
75337,1101,1,1,1
75377,500,2,1,1
75564,701,1,1,1
75579,100,2,1,1
75607,4006,2,1,1
75683,906,1,1,1
75749,403,2,1,1
75779,3806,1,1,1
75825,1205,2,1,1
76033,600,2,1,1
76096,4110,1,1,1
76153,3703,1,1,1
76263,4007,2,1,1
76429,1900,2,1,1
76621,3202,2,1,1
76678,4103,1,1,1
76679,2903,1,1,1
76772,200,1,1,1
77096,600,2,1,1
77102,1700,2,1,1
77286,2300,2,1,1
77469,3707,2,1,1
77690,3305,1,1,1
77757,1700,1,1,1
77961,403,1,1,1
78000,2300,2,1,1
78020,4110,2,1,1
78047,3210,2,1,1
78262,1300,1,1,1
78425,2202,1,1,1
78443,3102,1,1,1
78498,3305,1,1,1
78556,3702,1,1,1
78671,2300,2,1,1
78957,4101,2,1,1
79209,500,2,1,1
79212,500,1,1,1
79293,3703,2,1,1
79503,1400,2,1,1
79556,600,1,1,1
79588,3206,2,1,1
79661,4009,1,1,1
79747,3810,2,1,1
79790,1300,1,1,1
80098,901,1,1,1
80100,4004,1,1,1
80468,3104,2,1,1
80536,2300,2,1,1
80611,2100,1,1,1
80655,3105,1,1,1
80674,3104,2,1,1
80730,1202,1,1,1
80872,1207,1,1,1
80985,3304,2,1,1
81029,2402,1,1,1
81098,3106,1,1,1
81256,3701,1,1,1
81360,4008,2,1,1
81428,4112,1,1,1
81430,3710,1,1,1
81431,903,2,1,1
81464,2002,1,1,1
81527,3002,2,1,1
81535,2802,2,1,1
81553,800,2,1,1
81605,2002,2,1,1
81617,1102,2,1,1
81848,3202,2,1,1
82039,4105,2,1,1
82392,3301,2,1,1
82450,2203,2,1,1
82464,2100,1,1,1
82691,2701,2,1,1
82843,3702,1,1,1
82874,2500,1,1,1
83452,2702,2,1,1
83471,2002,1,1,1
83501,500,2,1,1
83535,3304,2,1,1
83848,3212,1,1,1
83959,4105,2,1,1
83984,1900,2,1,1
84269,2500,2,1,1
84419,2802,2,1,1
84541,1400,2,1,1
84738,3102,1,1,1
85050,1801,1,1,1
85097,1500,2,1,1
85101,903,2,1,1
85117,200,2,1,1
85561,4106,2,1,1
85581,2300,2,1,1
85585,1202,2,1,1
85642,4011,2,1,1
85904,2600,2,1,1
86017,4105,1,1,1
86071,702,2,1,1
86084,701,2,1,1
86113,3201,1,1,1
86133,1205,2,1,1
86262,1000,2,1,1
86400,3710,2,1,1
86455,2903,1,1,1
86475,2002,1,1,1
86764,2802,2,1,1
86809,600,1,1,1
87009,4004,1,1,1
87054,703,1,1,1
87149,905,2,1,1
87236,600,2,1,1
87392,1205,1,1,1
87467,3710,1,1,1
87583,4001,2,1,1
87760,3705,2,1,1
87873,2002,1,1,1
88334,3703,2,1,1
88336,4102,2,1,1
88342,4003,2,1,1
88376,4008,1,1,1
88393,3304,1,1,1
88537,3211,2,1,1
88599,402,1,1,1
88616,2300,2,1,1
88721,2903,2,1,1
88747,3207,2,1,1
88845,300,1,1,1
88918,3810,2,1,1
89037,2001,2,1,1
89042,3802,2,1,1
89153,4114,1,1,1
89173,1802,2,1,1
89277,3002,2,1,1
89312,3808,2,1,1
89533,3304,2,1,1
89616,4015,1,1,1
89835,3903,1,1,1
89856,4105,2,1,1
90135,200,1,1,1
90351,1900,2,1,1
90441,2801,2,1,1
90471,3707,2,1,1
90550,2201,2,1,1
90590,4106,1,1,1
90784,903,2,1,1
91439,701,2,1,1
91484,401,2,1,1
92091,3804,2,1,1
92125,401,2,1,1
92345,3302,1,1,1
92385,1202,2,1,1
92442,4103,1,1,1
92586,3806,2,1,1
92783,3802,2,1,1
92824,2500,2,1,1
92832,2002,2,1,1
92840,2902,1,1,1
92910,4009,2,1,1
92926,3801,1,1,1
93062,3305,1,1,1
93079,402,1,1,1
93108,3202,2,1,1
93186,2702,2,1,1
93228,1203,1,1,1
93458,1700,2,1,1
93530,2802,2,1,1
93585,4016,2,1,1
93766,3710,1,1,1
93832,4109,1,1,1
93971,2903,2,1,1
94019,1206,2,1,1
94050,4004,2,1,1
94392,4007,2,1,1
94482,4006,1,1,1
94529,2903,2,1,1
94589,4114,2,1,1
94726,1300,2,1,1
94981,401,2,1,1
95043,701,2,1,1
95064,3704,1,1,1
95435,3103,2,1,1
95499,200,1,1,1
95548,3305,1,1,1
95836,901,1,1,1
95870,3902,1,1,1
96002,1201,2,1,1
96103,4012,1,1,1
96266,2401,1,1,1
96496,1500,2,1,1
96554,403,1,1,1
96640,3003,2,1,1
96716,703,1,1,1
96921,703,1,1,1
97006,4114,1,1,1
97141,1202,1,1,1
97245,3101,2,1,1
97342,1202,2,1,1
97390,402,2,1,1
97494,1300,2,1,1
97665,3304,2,1,1
97714,3303,2,1,1
98160,701,2,1,1
98189,3708,1,1,1
98314,4102,1,1,1
98351,3702,2,1,1
98370,1207,1,1,1
98391,1203,1,1,1
98398,3212,2,1,1
98509,4008,2,1,1
98591,703,1,1,1
98656,1102,1,1,1
98749,3701,1,1,1
99081,3705,2,1,1
99128,3810,2,1,1
99328,4015,2,1,1
99395,3003,1,1,1
99431,2500,2,1,1
99437,4102,1,1,1
99440,1207,2,1,1
99788,3211,2,1,1
99793,1500,2,1,1
99924,1300,1,1,1
100097,3107,1,1,1
100117,4114,1,1,1
100133,200,1,1,1
100215,2001,2,1,1
100242,2902,1,1,1
100308,3205,2,1,1
100322,3101,2,1,1
100587,4111,2,1,1
100645,2300,2,1,1
100657,100,2,1,1
100713,4002,2,1,1
100824,3307,2,1,1
100930,2300,2,1,1
100953,4113,2,1,1
101005,1700,2,1,1
101023,1300,2,1,1
101129,1801,2,1,1
101297,402,1,1,1
101886,3104,2,1,1
101972,2001,2,1,1
102000,3810,2,1,1
102159,2100,1,1,1
102291,3102,1,1,1
102393,2402,2,1,1
102699,701,2,1,1
103022,2300,2,1,1
103140,1205,2,1,1
103566,4103,1,1,1
103618,902,1,1,1
103643,4111,2,1,1
103707,500,2,1,1
103879,1500,2,1,1
103896,1700,1,1,1
103954,3701,1,1,1
104093,2702,1,1,1
104151,402,1,1,1
104239,800,1,1,1
104286,4015,2,1,1
104604,3809,2,1,1
104616,3308,2,1,1
104859,3702,1,1,1
104860,2802,1,1,1
105145,3105,1,1,1
105534,2300,2,1,1
105973,2802,1,1,1
106109,4101,2,1,1
106275,2402,1,1,1
106490,1300,2,1,1
106509,4103,1,1,1
106673,704,2,1,1
106910,1206,2,1,1
106941,3806,1,1,1
106997,906,1,1,1
107497,2801,1,1,1
107521,3101,2,1,1
107843,3304,2,1,1
107862,1900,2,1,1
108009,2002,1,1,1
108030,3807,2,1,1
108048,200,1,1,1
108160,2801,1,1,1
108311,3802,2,1,1
108314,3704,1,1,1
108448,4106,2,1,1
108534,500,1,1,1
108815,3808,2,1,1
108959,1102,1,1,1
109006,3807,2,1,1
109087,703,2,1,1
109094,3304,2,1,1
109221,2402,1,1,1
109429,403,2,1,1
109526,4112,2,1,1
109548,200,1,1,1
109639,3105,2,1,1
109664,701,1,1,1
109917,2002,1,1,1
110232,3310,2,1,1
110309,703,1,1,1
110391,3809,1,1,1
110642,3808,1,1,1
110657,600,2,1,1
110989,3801,2,1,1
111020,701,1,1,1
111107,3805,1,1,1
111150,3903,1,1,1
111360,4004,1,1,1
111365,903,2,1,1
111370,1207,1,1,1
111456,2902,1,1,1
111683,4104,1,1,1
111914,1000,1,1,1
112038,1400,2,1,1
112292,3304,2,1,1
112576,3802,2,1,1
113092,403,2,1,1
113191,4013,2,1,1
113255,3105,2,1,1
113524,300,1,1,1
113634,1500,1,1,1
113676,3313,1,1,1
113881,3102,1,1,1
114239,3807,2,1,1
114730,1900,2,1,1
114818,3303,1,1,1
114938,1206,2,1,1
115108,500,1,1,1
115287,3305,1,1,1
115305,2203,1,1,1
115316,200,1,1,1
115349,100,2,1,1
115578,2300,2,1,1
115603,1300,2,1,1
115614,704,1,1,1
115623,3809,2,1,1
115683,3206,1,1,1
115794,1900,2,1,1
115851,200,1,1,1
115886,3206,1,1,1
116006,2300,2,1,1
116085,500,2,1,1
116169,4112,1,1,1
116335,4016,2,1,1
116417,906,2,1,1
116517,402,2,1,1
116521,1300,1,1,1
116596,2802,1,1,1
116631,2001,1,1,1
116690,2802,2,1,1
116729,906,2,1,1
116897,1400,2,1,1
116922,2802,2,1,1
117023,4114,2,1,1
117050,1500,2,1,1
117522,4001,2,1,1
117569,3902,1,1,1
117754,600,2,1,1
117850,1900,2,1,1
117907,2600,2,1,1
118056,1207,1,1,1
118249,2100,1,1,1
118325,1500,1,1,1
118386,3707,1,1,1
118454,2401,1,1,1
118792,2500,2,1,1
119419,1206,2,1,1
119471,1500,2,1,1
119695,4004,2,1,1
119718,3102,1,1,1
119766,403,2,1,1
119822,2802,2,1,1
119875,4103,2,1,1
120171,403,2,1,1
120265,3810,2,1,1
120341,200,2,1,1
120392,904,1,1,1
120732,402,1,1,1
120934,3002,2,1,1
121731,3703,2,1,1
121892,800,2,1,1
122078,2300,2,1,1
122210,3102,1,1,1
122306,4106,2,1,1
122591,3202,1,1,1
122999,3701,1,1,1
123027,3701,1,1,1
123078,500,2,1,1
123150,2802,2,1,1
123295,2002,1,1,1
123416,701,2,1,1
123553,3304,2,1,1
123630,1203,1,1,1
123702,3103,1,1,1
123810,2100,1,1,1
123889,3003,1,1,1
124106,2001,2,1,1
124270,4007,2,1,1
124348,3710,1,1,1
124611,3206,2,1,1
124957,3104,2,1,1
125155,1700,1,1,1
125391,3802,2,1,1
125444,3701,1,1,1
125460,3808,2,1,1
125539,3710,1,1,1
125706,3105,2,1,1
125955,1202,2,1,1
125972,3706,2,1,1
125982,703,1,1,1
125984,1801,2,1,1
126222,4004,2,1,1
126700,704,2,1,1
126878,2300,2,1,1
127109,3105,1,1,1
127422,3701,1,1,1
127464,1400,1,1,1
127513,3301,2,1,1
127623,2201,2,1,1
127648,3107,1,1,1
127694,2902,1,1,1
127714,3304,2,1,1
127819,3304,2,1,1
127830,1500,2,1,1
127944,906,2,1,1
127992,3704,1,1,1
128140,800,1,1,1
128225,3313,2,1,1
128341,3104,2,1,1
128529,2903,2,1,1
129104,4010,2,1,1
129299,100,2,1,1
129687,3104,2,1,1
129982,2300,2,1,1
129988,3308,2,1,1
130124,3807,2,1,1
130282,4107,1,1,1
130343,1300,1,1,1
130358,1206,2,1,1
130379,2001,2,1,1
130394,3206,2,1,1
130419,401,2,1,1
130497,2002,2,1,1
130546,1700,1,1,1
130803,1101,2,1,1
130824,3305,1,1,1
130963,3001,1,1,1
131045,2802,2,1,1
131063,4006,2,1,1
131152,1202,1,1,1
131225,1000,1,1,1
131254,3001,2,1,1
132152,3102,1,1,1
132353,703,1,1,1
132948,2401,2,1,1
133198,905,2,1,1
133257,2002,2,1,1
133412,3303,1,1,1
133553,2401,2,1,1
133770,2100,1,1,1
133889,3710,1,1,1
133910,3705,2,1,1
133911,2702,1,1,1
134137,701,2,1,1
134157,3002,2,1,1
134190,1500,2,1,1
134252,2201,1,1,1
134398,200,1,1,1
134435,4003,2,1,1
134674,4105,2,1,1
134706,2902,1,1,1
134794,2201,1,1,1
135019,901,2,1,1
135038,3304,2,1,1
135213,4012,1,1,1
135270,1400,2,1,1
135309,800,1,1,1
135343,1206,2,1,1
135409,1400,2,1,1
135604,2901,2,1,1
135933,2001,2,1,1
135938,1202,2,1,1
135943,2802,1,1,1
136016,3709,1,1,1
136088,403,2,1,1
136286,4007,2,1,1
136323,3902,1,1,1
136379,2902,1,1,1
136808,2100,2,1,1
136943,4010,2,1,1
137064,2802,2,1,1
137131,4013,2,1,1
137446,903,2,1,1
137561,3702,2,1,1
137614,903,2,1,1
137706,3107,1,1,1
137760,2201,2,1,1
137764,2401,2,1,1
137889,3206,2,1,1
137905,903,1,1,1
138340,2300,2,1,1
138511,904,1,1,1
138634,2902,1,1,1
138773,3802,2,1,1
138817,704,1,1,1
139284,3901,2,1,1
140138,902,1,1,1
140361,906,2,1,1
140364,903,2,1,1
140426,800,1,1,1
140589,3102,2,1,1
140626,2001,2,1,1
140679,2100,1,1,1
140706,3304,2,1,1
140760,1205,1,1,1
