variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
1,3851.006657,157.5053847,33.46989426,20.67258175,18.70376444,50.20484139,6.890860582,31.50107695,47.25161542,70.87742313,109.2693607,199.8349569,313.0419522,304.1822743,212.6322694,391.7946445,1883.173756,1530.755458,1100.568876,475.4693802,638.8812169,105.331726,0,0
2,2848.438116,93.22648884,50.97275649,54.32622731,6.706941643,42.92442652,47.61928567,44.93650901,36.88817904,38.22956737,141.5164687,103.2869013,262.2414182,403.0871927,274.9846074,331.3229172,916.1682284,1127.43689,1099.267735,325.9573639,281.691549,14.08457745,0,0
3,1265.585545,26.02054648,0,4.486301117,7.178081787,24.22602603,0,0,11.21575279,7.178081787,18.39383458,77.16437921,77.61300932,65.05136619,39.03081972,207.2671116,700.7602344,411.8424425,453.5650429,185.2842361,168.684922,32.30136804,8.523972122,5.38356134
4,6.125673367,0.340024568,0.397567187,0.083698355,0,0,0.099391797,0,0,0.256326213,0.517883572,0.120316386,0.826521257,1.281631063,0.601581928,0.42895407,1.171776972,3.374089942,1.961680199,0.334793421,0.42895407,0.026155736,0,0
5,2912.849399,288.0465468,164.4762826,111.6393421,184.0770831,107.3782985,24.71405283,102.2650462,58.80240156,109.9349247,127.8313077,146.5798995,363.8931227,270.1501637,189.1903354,144.0232734,519.8473181,1675.44234,942.5428424,196.8602139,84.36866311,13.63533949,0,0
6,3433.352508,134.6198146,44.87327154,13.13364045,86.46313297,118.2027641,12.03917041,85.36866293,30.64516105,0,121.4861742,211.2327172,507.8340974,253.9170487,245.1612884,557.0852491,1011.290315,1313.364045,1497.235011,409.331794,189.3433165,24.07834083,0,0
7,2784.118545,147.441942,104.8220056,57.59450859,26.49347395,0,34.55670516,10.36701155,52.98694791,56.44261842,164.7202946,71.41719066,329.4405892,457.3003982,248.8082771,236.1374852,785.5890972,1553.899842,938.7904901,126.7079189,130.1635894,34.55670516,0,0
8,394.2543648,14.64722098,3.051504372,5.492707869,0,0,0,12.20601749,0,6.713309618,7.323610492,6.713309618,19.52962798,56.75798132,36.00775159,61.03008744,164.7812361,126.332281,178.2078553,53.09617607,19.52962798,17.08842448,0,0
9,1.230401173,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.076900073,0.175771596,0.175771596,0.175771596,0.175771596,0.175771596,0.175771596,0.175771596
10,1506.915648,17.13702405,0,0,18.27949232,0,0,0,11.4246827,0,30.84664329,63.97822313,89.11252507,14.85208751,51.41107216,263.9101704,945.9637277,480.9791417,523.2504677,222.7813127,222.7813127,43.41379427,0,13.70961924
