hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
1,3106,14,2,1,1
13,100,11,1,1,1
18,4103,1,3,1,1
46,1204,5,2,1,1
82,702,12,3,1,1
87,3709,5,1,1,1
89,200,9,2,1,1
109,3312,12,1,1,1
133,3303,10,7,1,1
168,3702,1,2,1,1
197,2802,2,1,1,1
226,2702,12,4,1,1
265,1204,11,1,1,1
270,100,3,1,1,1
271,906,8,2,1,1
281,2802,13,2,1,1
322,3810,13,1,1,1
323,4014,10,2,1,1
340,904,10,5,1,1
347,3107,11,1,1,1
352,2901,13,2,1,1
367,3903,10,1,1,1
414,3305,6,1,1,1
425,2300,3,1,1,1
439,902,11,1,1,1
457,1400,1,1,1,1
465,3706,1,1,1,1
493,2600,2,1,1,1
500,1000,9,7,1,1
531,4016,11,2,1,1
535,2201,5,1,1,1
567,3105,12,2,1,1
579,3201,2,1,1,1
592,2500,16,1,1,1
604,1400,13,2,1,1
623,4001,3,2,1,1
647,2600,12,2,1,1
652,3301,14,2,1,1
667,3802,3,1,1,1
684,4013,8,3,1,1
704,4005,13,2,1,1
732,1300,13,3,1,1
776,4001,10,1,1,1
816,2600,7,1,1,1
819,3903,13,3,1,1
891,3809,12,2,1,1
906,3107,5,1,1,1
912,3202,1,1,1,1
931,4104,12,3,1,1
947,4014,3,7,1,1
967,1207,11,4,1,1
983,3806,13,2,1,1
1022,4112,13,2,1,1
1030,4003,15,4,1,1
1119,2801,14,2,1,1
1170,1207,1,2,1,1
1195,100,7,2,1,1
1199,402,4,1,1,1
1223,906,12,2,1,1
1230,4012,12,2,1,1
1264,2902,14,4,1,1
1289,3710,3,1,1,1
1316,300,15,2,1,1
1322,902,6,2,1,1
1326,2500,5,2,1,1
1423,1300,14,3,1,1
1482,1203,3,2,1,1
1502,401,11,5,1,1
1533,3709,4,1,1,1
1542,2100,10,2,1,1
1600,4108,9,1,1,1
1603,1300,6,1,1,1
1607,3312,14,2,1,1
1641,4113,12,1,1,1
1675,1300,10,4,1,1
1705,1207,7,2,1,1
1718,1204,7,3,1,1
1732,3902,16,4,1,1
1744,1500,13,2,1,1
1806,4002,3,1,1,1
1825,3002,15,4,1,1
1876,4112,11,3,1,1
1879,3202,12,1,1,1
1958,402,12,3,1,1
1995,3309,13,4,1,1
2004,4015,6,3,1,1
2031,2100,6,2,1,1
2110,3312,16,2,1,1
2124,2801,5,1,1,1
2131,4112,12,3,1,1
2156,2702,10,4,1,1
2169,3102,16,4,1,1
2227,3002,15,4,1,1
2304,3203,12,4,1,1
2334,1101,5,2,1,1
2378,3808,7,1,1,1
2421,3102,5,3,1,1
2427,4103,13,6,1,1
2435,1600,7,2,1,1
2440,3701,5,1,1,1
2444,4006,10,1,1,1
2489,4103,4,2,1,1
2521,100,11,4,1,1
2547,1204,13,2,1,1
2563,4102,7,1,1,1
2587,905,11,3,1,1
2600,1204,9,6,1,1
2602,402,11,2,1,1
2613,2300,13,5,1,1
2618,2100,10,3,1,1
2619,4006,4,1,1,1
2651,1204,12,2,1,1
2669,200,10,4,1,1
2687,2500,15,5,1,1
2703,4014,3,2,1,1
2708,1300,9,2,1,1
2713,1400,8,2,1,1
2736,4008,10,2,1,1
2746,4006,8,3,1,1
2774,1205,4,2,1,1
2802,1000,13,2,1,1
2807,2402,7,2,1,1
2814,3702,1,1,1,1
2817,4018,12,2,1,1
2818,4113,9,5,1,1
2821,3805,15,2,1,1
2830,2203,4,3,1,1
2890,4110,4,3,1,1
2903,1500,6,1,1,1
2916,300,5,2,1,1
2959,1207,6,3,1,1
2961,2002,8,4,1,1
2987,4013,16,4,1,1
3069,4007,11,1,1,1
3096,1207,13,2,1,1
