hid,sample_geo,gqtype,gqrtotals,gqtotals
683,903,1,1,1
1102,500,2,1,1
1327,1500,2,1,1
2122,300,1,1,1
2553,905,2,1,1
2843,902,1,1,1
3263,1500,2,1,1
3403,905,2,1,1
4254,1101,2,1,1
4384,905,1,1,1
4612,1300,2,1,1
4939,903,2,1,1
4943,1300,1,1,1
6108,104,2,1,1
6192,303,1,1,1
6996,906,1,1,1
7349,905,2,1,1
8114,904,2,1,1
8809,903,1,1,1
10208,100,2,1,1
10359,303,1,1,1
10604,500,1,1,1
11275,105,1,1,1
13459,305,1,1,1
13823,1101,2,1,1
13833,300,1,1,1
14487,1300,1,1,1
15768,300,2,1,1
16265,100,1,1,1
16791,302,2,1,1
16972,902,1,1,1
17185,1100,2,1,1
17475,1300,2,1,1
17644,900,1,1,1
21077,904,1,1,1
23662,1101,1,1,1
24554,302,2,1,1
24647,500,1,1,1
24865,1100,1,1,1
25468,105,1,1,1
25578,905,2,1,1
25638,105,2,1,1
26011,105,2,1,1
26668,902,1,1,1
26871,1300,2,1,1
27914,1101,2,1,1
27968,305,2,1,1
29108,303,1,1,1
29597,900,1,1,1
30924,900,1,1,1
32088,903,1,1,1
32411,304,2,1,1
33467,903,2,1,1
33734,1300,2,1,1
34150,905,2,1,1
34243,305,2,1,1
34602,105,1,1,1
35496,905,1,1,1
36476,100,2,1,1
37033,101,2,1,1
37074,100,1,1,1
38505,103,2,1,1
39028,905,2,1,1
39411,1101,1,1,1
39876,301,1,1,1
41204,300,1,1,1
42360,700,2,1,1
44644,1300,2,1,1
44680,1300,2,1,1
46580,300,1,1,1
47619,700,1,1,1
48456,500,1,1,1
48858,101,2,1,1
48933,1300,2,1,1
49568,1100,1,1,1
49812,1300,2,1,1
52165,104,1,1,1
53428,303,1,1,1
53868,303,1,1,1
54123,104,2,1,1
54232,904,1,1,1
54587,500,1,1,1
54657,300,1,1,1
55419,1300,2,1,1
55786,500,1,1,1
56637,105,1,1,1
57190,1300,2,1,1
57254,303,1,1,1
57284,303,2,1,1
57296,302,2,1,1
58394,700,1,1,1
58862,302,1,1,1
59936,1101,1,1,1
61236,700,2,1,1
61448,1300,2,1,1
62314,904,2,1,1
62889,1300,1,1,1
64007,1300,2,1,1
64747,901,1,1,1
64942,101,2,1,1
66206,103,1,1,1
66559,904,2,1,1
67028,904,1,1,1
67975,104,2,1,1
68705,100,1,1,1
68781,1100,2,1,1
69287,905,2,1,1
69326,1300,2,1,1
69825,300,1,1,1
70445,903,2,1,1
70746,902,1,1,1
72268,1300,2,1,1
73329,1300,2,1,1
73443,1100,2,1,1
73450,905,1,1,1
73553,1500,2,1,1
73593,904,2,1,1
75996,303,1,1,1
76470,300,1,1,1
77268,903,2,1,1
77327,500,1,1,1
77461,500,1,1,1
80092,302,2,1,1
80427,902,2,1,1
80952,700,2,1,1
81628,1300,1,1,1
81643,905,2,1,1
82610,306,2,1,1
83697,1100,2,1,1
83860,303,1,1,1
84025,100,2,1,1
85081,302,2,1,1
86496,1500,2,1,1
87086,905,1,1,1
87694,901,1,1,1
88224,1100,1,1,1
88454,305,2,1,1
88596,103,2,1,1
89182,103,2,1,1
89225,1300,2,1,1
89902,905,2,1,1
90032,300,1,1,1
91167,1300,1,1,1
91285,903,1,1,1
91944,902,2,1,1
92528,905,2,1,1
92865,105,1,1,1
94396,302,2,1,1
94544,500,1,1,1
94659,300,1,1,1
96151,102,2,1,1
96701,905,2,1,1
97457,903,1,1,1
98096,104,2,1,1
98133,101,2,1,1
100655,1101,2,1,1
101157,900,1,1,1
102167,900,2,1,1
102426,303,2,1,1
104799,1300,2,1,1
105567,302,2,1,1
106640,300,1,1,1
107040,1101,1,1,1
107180,500,1,1,1
108195,100,2,1,1
108917,500,1,1,1
109158,300,1,1,1
111181,905,2,1,1
111503,301,1,1,1
112118,903,1,1,1
112656,1500,1,1,1
112852,1300,1,1,1
113546,302,1,1,1
113590,1300,1,1,1
115789,1101,1,1,1
117406,905,2,1,1
118424,700,2,1,1
119909,1101,2,1,1
121367,902,1,1,1
121380,105,1,1,1
121684,101,2,1,1
122069,1500,2,1,1
122357,301,1,1,1
122959,900,1,1,1
124582,1101,2,1,1
124641,100,1,1,1
125439,303,2,1,1
126995,1101,2,1,1
127359,300,2,1,1
128337,903,2,1,1
129221,1101,2,1,1
129815,104,2,1,1
129827,104,1,1,1
130944,500,1,1,1
131645,500,2,1,1
131757,900,2,1,1
133078,104,2,1,1
133351,302,2,1,1
133747,905,2,1,1
134386,303,2,1,1
135094,1300,2,1,1
135372,1300,2,1,1
137159,905,2,1,1
139265,1101,2,1,1
140146,901,2,1,1
140288,700,1,1,1
140436,900,1,1,1
141223,1300,2,1,1
141509,306,2,1,1
141672,306,2,1,1
143550,104,2,1,1
143866,1101,1,1,1
144505,905,2,1,1
