hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
104,901,13,2,1,1
106,100,13,3,1,1
189,102,12,5,1,1
368,103,6,1,1,1
395,906,16,4,1,1
421,906,2,1,1,1
439,903,16,2,1,1
505,103,16,4,1,1
534,103,11,4,1,1
561,900,6,2,1,1
602,102,16,3,1,1
644,104,9,2,1,1
648,904,6,1,1,1
800,900,13,2,1,1
884,101,12,2,1,1
887,100,15,3,1,1
941,900,4,1,1,1
1032,903,5,1,1,1
1033,906,12,1,1,1
1041,902,5,3,1,1
1114,901,2,1,1,1
1218,903,4,4,1,1
1222,102,2,1,1,1
1378,902,12,3,1,1
1394,105,14,4,1,1
1408,900,11,3,1,1
1415,102,12,2,1,1
1462,102,11,2,1,1
1491,101,16,4,1,1
1575,904,11,2,1,1
1594,104,8,3,1,1
1725,902,11,4,1,1
1783,902,4,1,1,1
1786,105,5,3,1,1
1851,102,16,3,1,1
1892,104,9,3,1,1
2027,904,1,1,1,1
2086,100,16,2,1,1
2241,100,16,3,1,1
2346,105,15,5,1,1
2379,101,16,5,1,1
2409,901,8,1,1,1
2411,103,16,3,1,1
2452,100,12,4,1,1
2553,100,9,1,1,1
2654,905,3,1,1,1
2685,105,11,4,1,1
2717,100,11,1,1,1
2730,902,9,1,1,1
2833,906,10,2,1,1
2972,901,9,3,1,1
2976,903,16,2,1,1
3198,104,4,1,1,1
3219,905,12,2,1,1
3245,904,14,1,1,1
3354,905,12,2,1,1
3380,904,15,4,1,1
3433,901,5,1,1,1
3639,900,13,3,1,1
3723,100,14,4,1,1
3744,900,13,2,1,1
3920,900,5,1,1,1
3943,104,2,1,1,1
3967,104,12,6,1,1
3972,906,2,1,1,1
3991,100,16,5,1,1
4132,105,3,3,1,1
4138,105,12,3,1,1
4288,901,12,4,1,1
4379,102,2,3,1,1
4440,104,8,4,1,1
4582,906,14,2,1,1
4714,904,12,3,1,1
4755,102,15,3,1,1
4779,100,16,4,1,1
4879,104,1,5,1,1
4908,900,12,2,1,1
5105,104,11,1,1,1
5129,900,4,2,1,1
5237,103,11,5,1,1
5245,906,9,2,1,1
5392,103,13,1,1,1
5470,102,13,4,1,1
5596,902,4,1,1,1
5641,105,2,1,1,1
5754,100,12,2,1,1
5780,104,6,1,1,1
5790,904,13,2,1,1
5853,904,12,1,1,1
5949,903,9,1,1,1
5971,104,9,2,1,1
5987,906,14,2,1,1
6109,903,16,4,1,1
6316,906,8,1,1,1
6317,901,7,1,1,1
6334,105,8,2,1,1
6343,100,3,1,1,1
6355,905,12,4,1,1
6411,102,11,3,1,1
6470,103,11,1,1,1
6488,103,10,1,1,1
6585,902,13,3,1,1
6594,906,3,1,1,1
6605,104,4,1,1,1
6698,900,10,2,1,1
6711,105,12,2,1,1
6752,906,8,1,1,1
6876,901,1,1,1,1
6909,101,16,2,1,1
6912,105,15,4,1,1
6923,104,10,2,1,1
6937,105,11,1,1,1
6984,103,14,2,1,1
7016,905,1,1,1,1
7024,105,1,4,1,1
7044,903,13,4,1,1
7093,904,13,2,1,1
7106,901,4,1,1,1
7111,105,10,2,1,1
7260,105,9,1,1,1
7311,102,6,2,1,1
7392,904,16,2,1,1
7404,903,7,1,1,1
7546,902,6,2,1,1
7575,104,1,2,1,1
7624,905,5,3,1,1
7630,100,12,2,1,1
7644,902,3,1,1,1
7693,901,15,6,1,1
7802,100,13,2,1,1
7904,901,1,2,1,1
7987,900,13,2,1,1
7991,105,15,3,1,1
