variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
1,0,0,0
2,0,0,0
3,172,0,172
4,0,0,0
5,521,7,514
6,1024,0,1024
7,0,0,0
8,15,0,15
9,10,0,10
10,0,0,0
11,18,0,18
12,0,0,0
13,0,0,0
15,0,0,0
16,0,0,0
17,4,0,4
19,170,165,5
20,165,165,0
21,13,8,5
22,344,0,344
23,0,0,0
24,0,0,0
25,0,0,0
26,7,0,7
27,518,0,518
28,31,0,31
29,270,0,270
30,2,0,2
31,31,0,31
32,2,0,2
33,10,0,10
34,980,0,980
35,38,0,38
36,0,0,0
37,0,0,0
38,156,0,156
39,1102,0,1102
40,99,0,99
41,0,0,0
42,153,0,153
43,420,27,393
44,196,0,196
45,789,0,789
46,455,0,455
47,137,0,137
48,13,0,13
49,4,0,4
50,1189,0,1189
52,0,0,0
53,68,0,68
54,159,0,159
55,0,0,0
56,0,0,0
57,209,169,40
58,722,0,722
59,60,0,60
60,1401,0,1401
61,1567,0,1567
62,268,25,243
63,1196,129,1067
64,2422,0,2422
65,72,0,72
66,336,0,336
67,676,16,660
68,1876,156,1720
69,0,0,0
70,0,0,0
71,1695,0,1695
72,463,84,379
73,59,0,59
74,854,850,4
75,11,0,11
76,15,0,15
77,0,0,0
78,0,0,0
79,488,0,488
80,222,0,222
81,1,0,1
82,7,0,7
83,0,0,0
84,307,0,307
85,0,0,0
86,188,0,188
87,14,0,14
88,232,214,18
89,97,97,0
90,56,56,0
91,106,30,76
92,185,0,185
93,304,0,304
94,179,0,179
95,197,36,161
96,5,0,5
97,31,0,31
98,397,198,199
99,9,0,9
100,3,0,3
101,17,0,17
102,330,233,97
103,241,0,241
104,711,0,711
105,0,0,0
106,689,689,0
107,363,0,363
108,265,0,265
109,5,0,5
110,115,0,115
111,4,0,4
112,297,0,297
113,382,0,382
114,26,0,26
115,46,0,46
116,0,0,0
117,18,0,18
118,0,0,0
119,27,0,27
120,74,0,74
121,138,57,81
122,21,0,21
123,41,0,41
124,3,0,3
125,0,0,0
126,0,0,0
127,53,0,53
128,0,0,0
129,0,0,0
130,3,0,3
131,103,0,103
132,28,0,28
133,8,0,8
134,17,0,17
135,4,0,4
137,133,0,133
138,18,0,18
139,0,0,0
140,80,0,80
141,1,0,1
142,0,0,0
143,474,0,474
144,3,0,3
145,0,0,0
146,0,0,0
147,0,0,0
148,1,0,1
149,1,0,1
150,13,0,13
151,3,0,3
152,0,0,0
153,0,0,0
