hid,sample_geo,gqtype,gqrtotals,gqtotals
61,3808,2,1,1
256,3310,1,1,1
275,2902,1,1,1
294,4103,1,1,1
317,3704,1,1,1
333,3903,2,1,1
622,4016,2,1,1
707,3809,2,1,1
788,3902,1,1,1
811,3810,2,1,1
867,3303,1,1,1
880,3805,1,1,1
1033,3902,2,1,1
1034,3308,1,1,1
1201,4004,2,1,1
1266,3304,2,1,1
1407,3809,2,1,1
1578,4106,2,1,1
1636,3804,2,1,1
1677,3103,1,1,1
1721,4007,2,1,1
1758,3102,2,1,1
1767,3206,2,1,1
1884,3802,2,1,1
1901,3212,1,1,1
1967,3801,2,1,1
1980,4004,2,1,1
1993,4114,2,1,1
2076,3708,1,1,1
2095,4104,2,1,1
2260,3901,1,1,1
2484,2902,1,1,1
2698,3802,2,1,1
2703,3304,2,1,1
2838,3802,2,1,1
2849,3810,2,1,1
2861,4105,2,1,1
2922,3808,2,1,1
2965,3703,1,1,1
2985,3902,1,1,1
3055,4009,1,1,1
3149,3702,1,1,1
3384,3304,2,1,1
3442,4105,2,1,1
3446,3807,2,1,1
3487,3806,2,1,1
3499,3305,1,1,1
3524,2902,1,1,1
3579,4106,2,1,1
3905,3705,2,1,1
4047,3807,2,1,1
4188,4015,2,1,1
4287,3206,1,1,1
4318,4112,2,1,1
4482,3106,2,1,1
4630,2903,2,1,1
4659,3701,2,1,1
4737,3803,2,1,1
4983,3106,2,1,1
5023,3804,2,1,1
5033,4105,2,1,1
5439,4001,1,1,1
5446,3708,2,1,1
5477,3808,2,1,1
5643,4108,2,1,1
5674,3308,2,1,1
5807,3201,2,1,1
5919,4008,2,1,1
5944,3802,2,1,1
6000,4018,2,1,1
6102,3801,1,1,1
6186,3809,1,1,1
6227,3809,1,1,1
6228,3902,2,1,1
6301,3808,1,1,1
6327,3107,1,1,1
6338,3304,2,1,1
6347,2801,2,1,1
6448,3302,2,1,1
6466,4109,1,1,1
6480,4101,2,1,1
6807,2802,2,1,1
6870,3102,1,1,1
7037,3801,2,1,1
7181,3703,1,1,1
7396,3703,2,1,1
7412,3310,2,1,1
7500,3101,2,1,1
7503,3710,2,1,1
7513,3001,2,1,1
7622,3810,2,1,1
7721,3704,1,1,1
7780,3304,2,1,1
7931,4101,2,1,1
7977,3207,1,1,1
8112,2903,2,1,1
8211,3807,2,1,1
8260,3107,2,1,1
8319,3313,2,1,1
8334,4002,2,1,1
8378,4002,1,1,1
8380,3806,1,1,1
8468,3707,2,1,1
8536,2802,2,1,1
8652,3710,1,1,1
8706,3212,1,1,1
8791,3104,2,1,1
8813,3807,2,1,1
8875,3701,1,1,1
8937,3708,2,1,1
9003,2902,1,1,1
9164,3313,2,1,1
9196,2801,2,1,1
9228,2802,2,1,1
9413,4104,2,1,1
9446,3803,2,1,1
9478,2801,1,1,1
9727,3803,1,1,1
9749,3808,2,1,1
9809,3206,2,1,1
9840,4101,1,1,1
9842,3102,1,1,1
9912,2801,2,1,1
9920,4013,2,1,1
9950,2802,2,1,1
10006,2801,2,1,1
10085,4005,2,1,1
10172,2802,1,1,1
10247,2903,2,1,1
10322,3705,2,1,1
10360,3305,2,1,1
10769,3312,1,1,1
10926,4104,2,1,1
10967,4111,2,1,1
11404,3001,1,1,1
11444,3710,2,1,1
11449,3310,1,1,1
11531,3804,2,1,1
11570,3310,1,1,1
11821,4104,2,1,1
11842,3105,2,1,1
11871,3804,2,1,1
11889,3706,1,1,1
11929,3702,2,1,1
11979,3705,2,1,1
12017,3210,2,1,1
12036,3809,2,1,1
12128,3803,2,1,1
12379,3809,2,1,1
12769,3212,1,1,1
12774,3807,2,1,1
12830,4103,2,1,1
12949,3303,2,1,1
12986,3201,2,1,1
13015,3806,1,1,1
13072,3002,2,1,1
13653,4105,1,1,1
13787,3803,2,1,1
