geo,sample_geo
3280,303
3281,303
3282,303
3283,303
3284,303
3285,303
3286,301
3287,303
3288,307
3289,303
3290,302
3291,304
3292,303
3293,303
3294,301
3295,303
3296,301
3297,303
3298,302
3299,301
3300,303
3301,303
3302,303
3303,303
3304,303
3305,307
3306,303
3307,304
3308,303
3309,307
3310,303
3311,301
3312,304
3313,302
3314,302
3315,304
3316,303
3317,302
3318,307
3319,307
3320,304
3321,303
3322,304
3323,301
3324,301
3325,302
3326,302
3327,302
3328,303
3329,302
3330,301
3331,301
3332,304
3333,304
3334,304
3335,307
3336,307
3337,307
3338,307
3339,302
3340,303
3341,301
3342,304
3343,301
3344,303
3345,307
3346,304
3347,302
3348,302
3349,303
3350,301
3351,307
3352,307
3353,301
3354,303
3355,302
3356,302
3357,307
3358,307
3359,307
3360,301
3361,303
3362,306
3363,302
3364,307
3365,301
3366,308
3367,304
3368,307
3369,304
3370,307
3371,301
3372,302
3373,304
3374,304
3375,307
3376,308
3377,308
3378,304
3379,305
3380,303
3381,301
3382,308
3383,306
3384,304
3385,303
3386,307
3387,303
3388,308
3389,303
3390,301
3391,302
3392,305
3393,304
3394,308
3395,302
3396,308
3397,304
3398,301
3399,307
3400,305
3401,308
3402,304
3403,302
3404,301
3405,307
3406,305
3407,305
3408,306
3409,305
3410,308
3411,305
3412,306
3413,308
3414,308
3415,308
3416,305
3417,308
3418,304
3419,306
3420,302
3421,306
3422,306
3423,307
3424,301
3425,302
3426,306
3427,308
3428,307
3429,308
3430,305
3431,306
3432,302
3433,306
3434,306
3435,305
3436,306
3437,308
3438,307
3439,305
3440,305
3441,305
3442,303
3443,306
3444,306
3445,307
3446,305
3447,305
3448,308
3449,305
3450,306
3451,306
3452,305
3453,302
3454,308
3455,302
3456,305
3457,306
3458,305
3459,305
3460,302
3461,306
3462,308
3463,308
3464,306
3465,306
3466,305
3467,306
3468,501
3469,400
3470,400
3471,400
3472,400
3473,400
3474,400
3475,400
3476,400
3477,501
3478,501
3479,400
3480,400
3481,400
3482,400
3483,400
3484,501
3485,400
3486,400
3487,501
3488,501
3489,400
3490,400
3491,400
3492,501
3493,501
3494,501
3495,400
3496,501
3497,400
3498,501
3499,400
3500,503
3501,501
3502,400
3503,400
3504,501
3505,400
3506,501
3507,501
3508,400
3509,400
3510,400
3511,502
3512,400
3513,501
3514,501
3515,501
3516,501
3517,400
3518,400
3519,502
3520,501
3521,400
3522,502
3523,501
3524,502
3525,400
3526,400
3527,501
3528,502
3529,502
3530,501
3531,400
3532,502
3533,501
3534,501
3535,502
3536,502
3537,503
3538,501
3539,502
3540,502
3541,502
3542,502
3543,501
3544,502
3545,503
3546,502
3547,503
3548,503
3549,503
3550,503
3551,503
3552,503
3553,502
3554,502
3555,502
3556,503
3557,502
3558,502
3559,503
3560,503
3561,503
3562,503
3563,503
3564,503
3565,503
3566,503
3567,503
3568,503
3569,601
3570,702
3571,702
3572,702
3573,601
3574,702
3575,702
3576,702
3577,601
3578,701
3579,702
3580,703
3581,702
3582,702
3583,601
3584,702
3585,601
3586,702
3587,702
3588,602
3589,601
3590,702
3591,701
3592,601
3593,602
3594,701
3595,702
3596,702
3597,702
3598,702
3599,701
3600,701
3601,702
3602,702
3603,701
3604,602
3605,701
3606,703
3607,602
3608,702
3609,702
3610,601
3611,702
3612,602
3613,601
3614,601
3615,602
3616,702
3617,703
3618,701
3619,601
3620,702
3621,702
3622,602
3623,703
3624,602
3625,601
3626,601
3627,602
3628,601
3629,701
3630,602
3631,703
3632,602
3633,601
3634,601
3635,703
3636,701
3637,701
3638,601
3639,601
3640,602
3641,702
3642,702
3643,703
3644,703
3645,703
3646,601
3647,702
3648,703
3649,602
3650,602
3651,703
3652,601
3653,701
3654,703
3655,601
3656,601
3657,703
3658,601
3659,701
3660,601
3661,701
3662,601
3663,601
3664,702
3665,701
3666,601
3667,703
3668,702
3669,701
3670,602
3671,602
3672,602
3673,601
3674,602
3675,701
3676,701
3677,703
3678,602
3679,602
3680,703
3681,701
3682,702
3683,602
3684,703
3685,602
3686,602
3687,701
3688,601
3689,702
3690,601
3691,601
3692,601
3693,703
3694,703
3695,601
3696,601
3697,702
3698,701
3699,702
3700,701
3701,703
3702,602
3703,703
3704,602
3705,703
3706,701
3707,702
3708,601
3709,703
3710,701
3711,601
3712,602
3713,601
3714,703
3715,702
3716,601
3717,602
3718,703
3719,601
3720,702
3721,602
3722,703
3723,701
3724,602
3725,601
3726,701
3727,701
3728,703
3729,701
3730,703
3731,602
3732,703
3734,703
3736,701
3737,703
3738,701
3739,702
3740,703
3741,703
3742,703
3743,703
3744,703
3746,701
3747,601
3748,701
3749,701
3752,703
3753,602
3755,1302
3756,1301
3757,1301
3758,1402
3759,1301
3760,1301
