hid,sample_geo,groupquarter,groupquarter_dummy,groupquarter_old
2008000000790,812,1,1,1
2008000001648,901,1,1,2
2008000001747,1000,1,1,1
2008000005061,803,1,1,2
2008000005472,1000,1,1,1
2008000008209,803,1,1,2
2008000013264,200,1,1,2
2008000013305,103,1,1,1
2008000014132,400,1,1,1
2008000014538,1000,1,1,1
2008000015738,803,1,1,2
2008000016017,809,1,1,1
2008000016078,400,1,1,2
2008000016748,101,1,1,1
2008000016830,502,1,1,2
2008000016855,812,1,1,1
2008000017444,1000,1,1,1
2008000018518,502,1,1,1
2008000021215,501,1,1,2
2008000021999,1000,1,1,1
2008000023687,803,1,1,1
2008000023692,901,1,1,2
2008000024225,813,1,1,1
2008000025348,501,1,1,1
2008000025624,300,1,1,2
2008000026376,600,1,1,1
2008000028366,400,1,1,1
2008000029997,905,1,1,1
2008000030392,501,1,1,2
2008000031945,400,1,1,1
2008000034294,813,1,1,2
2008000035211,300,1,1,1
2008000038898,807,1,1,1
2008000039506,815,1,1,1
2008000040027,901,1,1,2
2008000040253,901,1,1,2
2008000040956,200,1,1,2
2008000041457,901,1,1,2
2008000041795,600,1,1,1
2008000045248,200,1,1,1
2008000050366,300,1,1,2
2008000051384,1000,1,1,1
2008000051976,501,1,1,2
2008000052733,818,1,1,1
2008000053678,101,1,1,2
2008000054969,700,1,1,1
2008000056341,801,1,1,1
2008000057600,101,1,1,1
2008000059848,200,1,1,2
2008000059920,1000,1,1,1
2008000060467,1000,1,1,1
2008000061135,901,1,1,2
2008000063415,811,1,1,1
2008000063901,812,1,1,1
2008000064375,812,1,1,1
2008000066337,1000,1,1,1
2008000069128,803,1,1,2
2008000069447,400,1,1,1
2008000069560,811,1,1,1
2008000069675,400,1,1,1
2008000070407,803,1,1,2
2008000072530,820,1,1,1
2008000074853,803,1,1,2
2008000075274,400,1,1,1
2008000076338,819,1,1,2
2008000078712,811,1,1,2
2008000079358,812,1,1,1
2008000079599,815,1,1,1
2008000080010,901,1,1,2
2008000082071,817,1,1,1
2008000082896,200,1,1,2
2008000083905,901,1,1,2
2008000084715,812,1,1,1
2008000086172,820,1,1,1
2008000087344,200,1,1,1
2008000087819,400,1,1,1
2008000090474,400,1,1,1
2008000091079,400,1,1,1
2008000091271,811,1,1,1
2008000091987,1000,1,1,1
2008000094088,1000,1,1,1
2008000094120,901,1,1,2
2008000094180,200,1,1,2
2008000094906,400,1,1,1
2008000094944,815,1,1,1
2008000096271,901,1,1,2
2008000099548,903,1,1,2
2008000100355,811,1,1,1
2008000101927,1000,1,1,1
2008000101985,700,1,1,2
2008000104036,807,1,1,1
2008000104166,819,1,1,1
2008000107016,811,1,1,2
2008000107353,103,1,1,1
2008000108574,1000,1,1,1
2008000110193,400,1,1,1
2008000111443,400,1,1,1
2008000113101,400,1,1,1
2008000113794,903,1,1,2
2008000117934,300,1,1,1
2008000119041,400,1,1,1
2008000122006,807,1,1,1
2008000122558,901,1,1,1
2008000122785,1000,1,1,1
2008000123502,803,1,1,2
2008000124340,901,1,1,2
2008000128549,400,1,1,1
2008000128697,901,1,1,2
2008000128998,901,1,1,2
2008000130155,812,1,1,1
2008000132286,812,1,1,1
2008000135045,400,1,1,1
2008000135900,1000,1,1,1
2008000136261,200,1,1,1
2008000136405,400,1,1,1
2008000138209,905,1,1,1
2008000140660,502,1,1,1
2008000141844,400,1,1,1
2008000142233,803,1,1,2
2008000142831,812,1,1,1
2008000147569,400,1,1,2
2008000147783,901,1,1,2
2008000149017,903,1,1,1
2008000149038,1000,1,1,1
2008000150838,1000,1,1,1
2008000150954,816,1,1,2
2008000150972,400,1,1,1
2008000151823,300,1,1,1
2008000153396,600,1,1,1
2008000153688,1000,1,1,1
2008000154178,801,1,1,1
2008000154784,103,1,1,1
2008000157510,200,1,1,2
2008000157531,200,1,1,2
2008000157565,901,1,1,2
2008000158855,400,1,1,1
2008000159542,818,1,1,1
2008000160860,803,1,1,2
2008000160873,813,1,1,1
2008000161104,200,1,1,2
2008000161580,502,1,1,2
2008000162128,901,1,1,2
2008000163739,803,1,1,2
2008000166072,901,1,1,2
2008000167834,820,1,1,1
2008000170568,200,1,1,2
2008000170958,805,1,1,1
2008000170965,1000,1,1,1
2008000171906,700,1,1,2
2008000171997,502,1,1,1
2008000173626,901,1,1,2
2008000173722,812,1,1,2
2008000177498,905,1,1,1
2008000180006,905,1,1,1
2008000181819,501,1,1,1
2008000182208,1000,1,1,1
2008000183675,400,1,1,2
2008000184003,901,1,1,2
2008000184322,803,1,1,2
2008000184989,812,1,1,1
2008000185675,802,1,1,1
2008000185776,812,1,1,1
2008000186096,905,1,1,1
2008000186402,812,1,1,1
2008000187698,803,1,1,2
2008000189022,809,1,1,1
2008000190350,807,1,1,1
2008000191827,400,1,1,1
2008000193095,1000,1,1,1
2008000194740,812,1,1,1
2008000195052,801,1,1,1
2008000199552,400,1,1,1
2008000199592,501,1,1,2
