variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
3280,0,0,0
3281,1.068332356,0,1.068332356
3282,0,0,0
3283,0,0,0
3284,3.204997068,0,3.204997068
3285,0,0,0
3286,0,0,0
3287,4.273329424,0,4.273329424
3288,0,0,0
3289,3.204997068,0,3.204997068
3290,0,0,0
3291,5.34166178,0,5.34166178
3292,0,0,0
3293,3.204997068,0,3.204997068
3294,14.95665298,0,14.95665298
3295,5.34166178,0,5.34166178
3296,0,0,0
3297,0,0,0
3298,17.0933177,0,17.0933177
3299,20.29831476,0,20.29831476
3300,0,0,0
3301,0,0,0
3302,0,0,0
3303,1.068332356,0,1.068332356
3304,0,0,0
3305,4.273329424,0,4.273329424
3306,0,0,0
3307,5.34166178,0,5.34166178
3308,0,0,0
3309,6.409994136,0,6.409994136
3310,0,0,0
3311,21.36664712,0,21.36664712
3312,2.136664712,0,2.136664712
3313,0,0,0
3314,5.34166178,0,5.34166178
3315,14.95665298,0,14.95665298
3316,6.409994136,0,6.409994136
3317,6.409994136,0,6.409994136
3318,3.204997068,0,3.204997068
3319,19.22998241,0,19.22998241
3320,0,0,0
3321,0,0,0
3322,55.55328251,0,55.55328251
3323,3.204997068,0,3.204997068
3324,8.546658848,0,8.546658848
3325,40.59662953,0,40.59662953
3326,0,0,0
3327,7.478326492,0,7.478326492
3328,0,0,0
3329,0,0,0
3330,3123.895883,3070.479265,53.4166178
3331,4.273329424,0,4.273329424
3332,1.068332356,0,1.068332356
3333,5.34166178,0,5.34166178
3334,6.409994136,0,6.409994136
3335,5.34166178,0,5.34166178
3336,6.409994136,0,6.409994136
3337,4.273329424,0,4.273329424
3338,5.34166178,0,5.34166178
3339,7.478326492,0,7.478326492
3340,0,0,0
3341,6.409994136,0,6.409994136
3342,6.409994136,0,6.409994136
3343,0,0,0
3344,0,0,0
3345,0,0,0
3346,0,0,0
3347,5.34166178,0,5.34166178
3348,1.068332356,0,1.068332356
3349,0,0,0
3350,4.273329424,0,4.273329424
3351,5.34166178,0,5.34166178
3352,12.81998827,0,12.81998827
3353,0,0,0
3354,0,0,0
3355,282.039742,0,282.039742
3356,8.546658848,0,8.546658848
3357,6.409994136,0,6.409994136
3358,5.34166178,0,5.34166178
3359,3.204997068,0,3.204997068
3360,9.614991204,0,9.614991204
3361,3.204997068,0,3.204997068
3362,0,0,0
3363,0,0,0
3364,0,0,0
3365,12.81998827,0,12.81998827
3366,9.614991204,0,9.614991204
