variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
3280,456.2338316,19.34560417,17.73347048,0,0,0,0,0,0,0,38.69120833,77.38241666,72.54601562,106.4008229,75.77028298,48.36401041,0,66.9142953,310.2390055,39.5402654,39.5402654,0,0,0
3281,469.2977959,11.9312999,0,47.72519958,13.25699988,13.25699988,0,34.4681997,11.9312999,14.58269987,29.16539975,10.60559991,62.30789946,51.70229955,23.86259979,18.55979984,125.9414989,153.8034793,114.3666898,145.9161214,27.6057527,27.6057527,0,0
3282,575.8193513,20.35120368,46.68805551,0,17.95694443,0,0,45.49092588,0,20.35120368,46.68805551,75.41916659,31.12537034,126.8957406,62.25074068,53.87083328,28.73111108,131.4496701,195.429598,108.1842418,119.8169559,20.9388855,0,0
3283,1623.951259,83.63697474,27.87899158,24.39411763,31.36386553,108.0310924,87.12184869,62.72773105,55.75798316,80.15210079,149.8495797,216.0621847,69.69747895,125.4554621,250.9109242,223.0319326,27.87899158,834.9560721,490.2494368,116.8172486,181.9285019,0,0,0
3284,2188.716487,164.1537365,0,54.71791218,68.39739022,0,91.1965203,0,50.15808616,113.9956504,82.07686827,533.4996437,72.95721624,250.7904308,0,560.8585998,145.9144325,787.8658195,802.2889924,389.4256682,102.7651069,91.94772722,14.4231729,0
3285,935.5808308,0,16.20691203,0,0,26.5204015,11.78684511,17.68026767,0,39.78060226,132.6020075,109.0283173,138.4954301,97.24147218,89.87469398,85.45462707,170.9092541,461.0304383,286.6230291,32.44789009,35.15188093,85.17571148,0,35.15188093
3286,1695.300603,114.2665848,0,58.17207952,89.33569355,64.40480233,51.93935672,33.2411883,31.16361403,22.85331695,153.7404959,193.214407,257.6192093,282.5501005,155.8180701,130.8871789,56.09450525,544.1899254,713.5631586,152.1222558,202.3069175,50.1846617,32.93368424,0
3287,1726.453134,0,0,71.76941433,0,43.85908653,0,0,135.5644493,59.80784527,243.2185708,330.9367438,558.2065559,227.269812,55.82065559,0,0,634.9695419,610.0687756,261.4580467,149.4045981,0,33.2010218,37.35114952
3288,344.6876745,11.56670049,0,20.82006088,23.13340097,13.88004058,21.97673093,10.98836546,35.85677151,10.98836546,7.518355316,9.831695414,28.91675122,27.76008117,57.25516741,31.23009131,32.96509639,25.77104108,111.6745114,86.97726366,89.12485042,10.73793379,20.40207419,0
3289,1537.528111,11.5386725,11.5386725,43.27002188,54.80869438,109.6173888,60.57803063,31.73134938,66.34736688,66.34736688,103.8480525,184.61876,245.1967907,141.3487381,170.1954194,175.9647556,60.57803063,198.2179098,500.9020152,152.6813629,399.1144399,259.826179,21.42896322,5.357240804
