variable_names,pworker,pworker,ptotals
variable_categories,1,2,1
geo,,,
3280,471.7693525,492.9820634,964.7514159
3281,523.1737037,546.6977679,1069.871472
3282,699.9970393,731.4718156,1431.468855
3283,1413.82606,1477.397556,2891.223615
3284,2208.262235,2307.554883,4515.817117
3285,964.7806759,1008.161225,1972.941901
3286,1802.603526,1883.656073,3686.259599
3287,1826.42918,1908.553028,3734.982208
3288,509.8073003,532.7303555,1042.537656
3289,2311.508093,2415.443104,4726.951197
3290,1542.759883,1612.128779,3154.888662
3291,2277.478983,2379.883904,4657.362887
3292,1253.27628,1309.62879,2562.90507
3293,1943.972597,2031.381685,3975.354282
3294,2439.272557,2548.95239,4988.224947
3295,3598.43317,3760.233682,7358.666852
3296,2101.473116,2195.964081,4297.437197
3297,1057.158549,1104.692791,2161.85134
3298,2027.827965,2119.007539,4146.835504
3299,1734.971633,1812.983168,3547.954801
3300,2219.538954,2319.33865,4538.877604
3301,3997.936513,4177.700355,8175.636868
3302,2602.882428,2719.91884,5322.801268
3303,2169.673444,2267.23098,4436.904424
3304,3229.767567,3374.991341,6604.758908
3305,1366.515812,1427.960042,2794.475854
3306,1809.025517,1890.366823,3699.39234
3307,2272.044991,2374.205577,4646.250567
3308,3287.071489,3434.871885,6721.943373
3309,1698.5402,1774.913627,3473.453826
3310,2724.90026,2847.423101,5572.323362
3311,1586.800258,1658.149393,3244.949651
3312,2397.929552,2505.750432,4903.679984
3313,1314.038197,1373.122815,2687.161012
3314,1684.185797,1759.913791,3444.099588
3315,2230.804843,2331.111101,4561.915944
3316,2192.045522,2290.609,4482.654522
3317,1997.903789,2087.737847,4085.641636
3318,2025.482485,2116.556597,4142.039082
3319,1821.393092,1903.290496,3724.683588
3320,3302.385468,3450.874444,6753.259912
3321,732.6009945,765.5417802,1498.142775
3322,2181.002939,2279.069897,4460.072836
3323,1345.739418,1406.249456,2751.988874
3324,1578.555208,1649.533611,3228.088819
3325,2249.270941,2350.407511,4599.678452
3326,2058.989174,2151.569885,4210.559059
3327,2316.561773,2420.724019,4737.285792
3328,2102.461114,2196.996505,4299.457619
3329,2066.893163,2159.829271,4226.722434
3330,3690.827255,3856.782189,7547.609444
3331,2456.278316,2566.722798,5023.001114
3332,2374.683163,2481.458788,4856.14195
3333,3597.445172,3759.201259,7356.64643
3334,2580.822989,2696.867517,5277.690506
3335,2274.514987,2376.786635,4651.301622
3336,1236.156834,1291.739583,2527.896417
3337,1785.921236,1866.223678,3652.144914
3338,2491.38069,2603.40352,5094.78421
3339,2736.461197,2859.503866,5595.965063
3340,2609.304419,2726.629591,5335.934009
3341,3343.557942,3493.898204,6837.456146
3342,2099.17365,2193.561222,4292.734871
3343,2136.547068,2232.615104,4369.162172
3344,1412.344062,1475.848921,2888.192982
3345,2000.203255,2090.140707,4090.343961
3346,3582.483083,3743.566413,7326.049496
3347,2881.640154,3011.210672,5892.850826
3348,2638.478801,2757.115774,5395.594574
3349,1862.871443,1946.633886,3809.505329
3350,2693.89199,2815.02057,5508.91256
3351,2030.973321,2122.294323,4153.267645
3352,1234.845367,1290.369147,2525.214513
3353,3025.251848,3161.279745,6186.531593
3354,3236.189558,3381.702092,6617.89165
3355,2926.051335,3057.618765,5983.6701
3356,2849.615463,2977.746018,5827.361482
3357,3268.470045,3415.434043,6683.904088
3358,2000.345364,2090.289205,4090.634569
3359,3074.737045,3212.990003,6287.727048
3360,2329.462599,2434.204919,4763.667518
3361,4036.059726,4217.537746,8253.597472
3362,2300.060843,2403.481139,4703.541982
3363,1174.730388,1227.551149,2402.281536
3364,786.4469206,821.8088429,1608.255764
3365,2961.372997,3094.528635,6055.901632
3366,1979.711079,2068.727117,4048.438196
3367,2540.144514,2654.359969,5194.504482
3368,2719.778907,2842.071471,5561.850378
3369,2991.830425,3126.355555,6118.18598
3370,3212.040435,3356.467123,6568.507559
3371,3694.844138,3860.979688,7555.823826
3372,3000.864521,3135.795862,6136.660383
3373,2115.390362,2210.507105,4325.897467
3374,2996.503792,3131.239057,6127.74285
3375,3534.650414,3693.582988,7228.233402
3376,2408.928817,2517.244269,4926.173085
3377,2117.281094,2212.482852,4329.763946
3378,2575.712465,2691.527203,5267.239668
3379,108.7082726,113.5962483,222.3045209
3380,1212.768336,1267.299441,2480.067776
3381,3245.916606,3391.866508,6637.783115
3382,1583.267827,1654.458129,3237.725956
3383,1798.736797,1879.615479,3678.352276
3384,3482.34333,3638.923959,7121.267289
3385,2552.483667,2667.253942,5219.737609
3386,2621.654402,2739.53488,5361.189282
3387,1814.45951,1896.045151,3710.50466
3388,2205.212973,2304.368514,4509.581488
3389,1993.781264,2083.429956,4077.21122
3390,2479.567534,2591.059196,5070.626731
3391,3767.324095,3936.718644,7704.042739
3392,1207.828342,1262.137325,2469.965667
3393,3935.216191,4112.159867,8047.376058
3394,2896.40329,3026.63762,5923.040911
3395,33.09795457,34.58617618,67.68413075
3396,2468.333252,2579.319774,5047.653026
3397,3067.24179,3205.15773,6272.39952
3398,3925.830204,4102.351847,8028.182051
3399,3601.862744,3763.817463,7365.680207
3400,2222.645058,2322.584418,4545.229477
3401,2285.087925,2387.834976,4672.922901
3402,2974.540448,3108.28815,6082.828598
3403,3182.485741,3325.583527,6508.069268
3404,3504.0793,3661.637269,7165.716569
3405,2113.3291,2208.35316,4321.682259
3406,2291.833385,2394.88374,4686.717125
3407,1952.075539,2039.848968,3991.924507
3408,2454.682631,2565.055365,5019.737996
3409,3851.271491,4024.440664,7875.712155
3410,3211.983592,3356.407724,6568.391316
3411,2903.841702,3034.410494,5938.252196
3412,1691.947678,1768.024678,3459.972356
3413,1834.219483,1916.693614,3750.913097
3414,2662.162346,2781.86423,5444.026576
3415,1691.595787,1767.656965,3459.252752
3416,1860.44746,1944.100911,3804.548371
3417,2921.51199,3052.875312,5974.387302
3418,3680.607588,3846.103003,7526.710591
3419,2425.707201,2534.777079,4960.484281
3420,2441.344649,2551.117652,4992.462301
3421,1699.093737,1775.492054,3474.585791
3422,3521.511385,3679.853173,7201.364558
3423,974.6606623,1018.485457,1993.146119
3424,4018.332594,4199.013529,8217.346123
3425,1337.750164,1397.900971,2735.651135
3426,2529.770528,2643.519525,5173.290053
3427,2763.886955,2888.1628,5652.049756
3428,3625.773663,3788.803517,7414.577181
3429,2014.6145,2105.199942,4119.814442
3430,2250.660911,2351.85998,4602.520891
3431,2384.285694,2491.493089,4875.778783
3432,2694.766302,2815.934195,5510.700496
3433,2332.170799,2437.034892,4769.205691
3434,2860.398183,2989.013574,5849.411757
3435,2526.472234,2640.072926,5166.54516
3436,2196.90025,2295.682016,4492.582267
3437,3751.715069,3920.407772,7672.12284
3438,974.8311928,1018.663655,1993.494848
3439,2304.126525,2407.72963,4711.856155
3440,4223.530435,4413.437918,8636.968353
3441,2411.381221,2519.806943,4931.188165
3442,1413.911325,1477.486655,2891.397979
3443,2650.800362,2769.991364,5420.791726
3444,1308.774734,1367.622686,2676.397421
3445,2246.459883,2347.470057,4593.92994
3446,1670.847816,1745.976078,3416.823894
3447,2245.720918,2346.697864,4592.418782
3448,3550.760202,3710.417139,7261.177341
3449,2707.315237,2829.047382,5536.362619
3450,2967.965519,3101.417584,6069.383103
3451,3158.137666,3300.140661,6458.278327
3452,2610.032555,2727.390466,5337.423021
3453,2462.58662,2573.31475,5035.90137
3454,2797.070175,2922.838076,5719.908251
3455,2718.972268,2841.228562,5560.200831
3456,3285.90213,3433.649947,6719.552077
3457,2014.529235,2105.110843,4119.640078
3458,3875.101212,4049.341869,7924.443081
3459,2840.496102,2968.216612,5808.712714
3460,3026.733846,3162.82838,6189.562226
3461,2034.289208,2125.759306,4160.048514
3462,1557.085863,1627.098915,3184.184778
3463,4054.860122,4237.183486,8292.043608
3464,3217.00885,3361.658939,6578.667789
3465,2971.309827,3104.912266,6076.222093
3466,913.4047464,954.4752202,1867.879967
3467,2492.247847,2604.309669,5096.557517
3468,1646.127167,1989.999479,3636.126646
3469,749.2309409,905.7436214,1654.974562
3470,1307.632897,1580.794507,2888.427405
3471,781.2322475,944.42993,1725.662178
3472,775.1291602,937.0519212,1712.181081
3473,1485.812656,1796.195622,3282.008277
3474,1233.573077,1491.263755,2724.836832
3475,1218.579371,1473.137897,2691.717269
3476,1164.675717,1407.973889,2572.649606
3477,3366.768509,4070.078978,7436.847487
3478,1899.766163,2296.623098,4196.389261
3479,1825.001763,2206.24058,4031.242343
3480,1962.358056,2372.290298,4334.648353
3481,1902.785054,2300.272628,4203.057683
3482,948.5321016,1146.678352,2095.210454
3483,2837.09873,3429.762358,6266.861088
3484,1714.771084,2072.982957,3787.754041
3485,1854.418687,2241.802634,4096.221321
3486,2354.011828,2845.759674,5199.771502
3487,2531.882645,3060.787309,5592.669953
3488,2107.286846,2547.49439,4654.781236
3489,3294.264235,3982.428721,7276.692956
3490,3036.674618,3671.029206,6707.703824
3491,1566.61509,1893.877505,3460.492596
3492,2462.257312,2976.617399,5438.874711
3493,2180.939151,2636.532499,4817.47165
3494,1993.744885,2410.233766,4403.97865
3495,1593.422019,1926.284342,3519.706361
3496,3328.221064,4023.479057,7351.700121
3497,1677.023289,2027.349731,3704.37302
3498,1899.548883,2296.360428,4195.90931
3499,2571.647741,3108.859246,5680.506987
3500,1250.384202,1511.586686,2761.970889
3501,1723.36747,2083.37511,3806.74258
3502,1138.158585,1375.917387,2514.075972
3503,1377.14917,1664.832575,3041.981745
3504,1159.058902,1401.183734,2560.242637
3505,3104.35239,3752.844713,6857.197103
3506,2299.943616,2780.396732,5080.340348
3507,1302.402635,1574.471654,2876.874288
3508,3158.838603,3818.712976,6977.551579
3509,1182.659308,1429.714213,2612.373521
3510,3388.287739,4096.093527,7484.381266
3511,198.5912844,240.0765629,438.6678473
3512,2380.364402,2877.617242,5257.981644
3513,2910.142011,3518.064218,6428.206229
3514,2385.998425,2884.428199,5270.426624
