hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
21,1,400,1,1,2,2,14,1
35,1,1800,1,1,1,1,5,1
35,2,1800,1,1,1,1,5,2
35,3,1800,1,1,2,2,2,2
35,4,1800,1,1,2,2,2,2
35,5,1800,1,1,2,2,2,2
35,6,1800,1,1,2,2,1,2
35,7,1800,1,1,2,2,1,2
35,8,1800,1,1,2,2,11,1
85,1,501,1,1,2,2,13,2
85,2,501,1,1,2,2,12,1
86,1,2301,1,1,1,1,13,2
86,2,2301,1,1,2,2,3,2
86,3,2301,1,1,2,2,8,2
163,1,800,1,1,2,2,16,2
174,1,2001,1,1,2,2,15,1
174,2,2001,1,1,2,2,15,2
216,1,1102,1,1,2,2,7,1
216,2,1102,1,1,1,1,6,2
216,3,1102,1,1,2,2,1,2
349,1,1102,1,1,1,1,11,1
349,2,1102,1,1,2,2,3,2
349,3,1102,1,1,1,1,11,1
371,1,1203,1,1,1,1,9,1
371,2,1203,1,1,1,1,9,2
371,3,1203,1,1,1,1,4,2
371,4,1203,1,1,2,2,3,2
371,5,1203,1,1,2,2,3,1
371,6,1203,1,1,2,2,3,2
371,7,1203,1,1,2,2,3,2
371,8,1203,1,1,2,2,2,2
371,9,1203,1,1,2,2,2,1
371,10,1203,1,1,2,2,1,1
371,11,1203,1,1,2,2,1,2
413,1,307,1,1,2,2,8,2
413,2,307,1,1,1,1,8,1
413,3,307,1,1,2,2,3,2
413,4,307,1,1,2,2,3,2
464,1,901,1,1,1,1,13,1
464,2,901,1,1,1,1,11,2
464,3,901,1,1,1,1,5,2
464,4,901,1,1,1,1,5,2
473,1,2600,1,1,1,1,10,1
473,2,2600,1,1,1,1,10,2
473,3,2600,1,1,2,2,4,2
473,4,2600,1,1,2,2,3,2
477,1,1301,1,1,2,2,17,2
481,1,1403,1,1,2,2,14,2
497,1,1302,1,1,2,2,8,2
515,1,302,1,1,2,2,13,1
515,2,302,1,1,1,1,12,2
562,1,301,1,1,2,2,10,2
562,2,301,1,1,2,2,4,2
599,1,906,1,1,2,2,15,1
640,1,1102,1,1,1,1,7,2
640,2,1102,1,1,1,1,7,1
640,3,1102,1,1,2,2,1,2
676,1,1201,1,1,1,1,13,1
676,2,1201,1,1,1,1,12,2
676,3,1201,1,1,1,1,7,2
745,1,601,1,1,1,1,11,2
745,2,601,1,1,1,1,9,1
885,1,1401,1,1,1,1,6,2
993,1,2500,1,1,1,1,7,2
993,2,2500,1,1,1,1,9,1
993,3,2500,1,1,2,2,2,1
1047,1,1106,1,1,2,2,14,2
1047,2,1106,1,1,2,2,17,1
1061,1,307,1,1,1,1,9,1
1061,2,307,1,1,1,1,9,2
1061,3,307,1,1,2,2,2,2
1061,4,307,1,1,2,2,2,2
1073,1,1202,1,1,1,1,9,1
1073,2,1202,1,1,1,1,8,2
1073,3,1202,1,1,2,2,2,1
1073,4,1202,1,1,2,2,2,2
1073,5,1202,1,1,2,2,18,2
1079,1,1302,1,1,2,2,9,1
1079,2,1302,1,1,1,1,14,1
1097,1,306,1,1,1,1,9,2
1097,2,306,1,1,2,2,10,1
1097,3,306,1,1,2,2,2,1
1097,4,306,1,1,2,2,2,2
1111,1,2202,1,1,2,2,15,1
1111,2,2202,1,1,2,2,14,2
1221,1,601,1,1,1,1,9,2
1221,2,601,1,1,1,1,5,2
1227,1,102,1,1,2,2,11,2
1227,2,102,1,1,1,1,13,2
1304,1,102,1,1,1,1,15,1
1304,2,102,1,1,2,2,12,2
1422,1,904,1,1,2,2,8,2
1490,1,2302,1,1,1,1,5,2
1496,1,703,1,1,1,1,8,1
1496,2,703,1,1,2,2,9,2
1496,3,703,1,1,2,2,2,2
1496,4,703,1,1,2,2,1,2
1496,5,703,1,1,2,2,5,2
1534,1,1205,1,1,2,2,13,1
