variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
1,3851.006657,122.2541796,261.973242,0,0,0,0,0,0,0,0,410.4247457,270.7056834,113.5217382,0,340.5652146,2331.561853,1339.887961,1630.353183,609.0399822,23.4246147,140.5476882,107.7532276,0
2,2848.438116,191.0129089,107.2353173,0,97.1820063,231.2261529,0,70.37317698,110.586421,46.91545132,46.91545132,43.56434765,221.1728419,180.9595979,0,100.53311,1400.761332,1098.369453,917.7486988,512.5724116,268.4903108,51.25724116,0,0
3,1265.585545,0,0,0,0,0,0,0,26.87018142,34.93123585,29.55719957,34.93123585,24.18316328,53.74036285,0,24.18316328,1037.189003,263.3097443,734.7191251,46.71624495,220.8404307,0,0,0
4,6.125673367,0,0,0,0.998847172,0.883935551,0.424289064,0.150269044,0,0,0.150269044,0,0,0.141429688,0.141429688,1.343582037,1.891622079,2.591304268,1.656735515,1.163962901,0.713670684,0,0,0
5,2912.849399,280.7565686,0,0,0,0,0,0,0,0,0,201.7937837,1158.120845,263.209283,421.1348529,0,587.8340654,1620.612074,805.5812206,172.4558038,243.328052,35.43612407,35.43612407,0
6,3433.352508,140.1368371,0,93.42455804,0,0,245.2394648,105.1026278,0,0,0,0,618.937697,700.6841853,70.06841853,338.6640229,1121.094696,1931.7324,498.0247594,573.4830563,188.6457422,241.46655,0,0
7,2784.118545,0,0,0,453.9760399,401.7487079,192.8393798,68.29728034,0,0,68.29728034,0,0,64.27979326,64.27979326,610.6580359,859.7422348,1504.624713,900.5235187,262.652693,116.3176212,0,0,0
8,394.2543648,0,0,0,0,20.72362687,0,8.592723336,7.076360395,0,44.98543394,17.69090099,23.25089844,30.32725883,23.75635275,9.09817765,208.7526316,149.5447591,169.4840603,58.00523988,17.22030559,0,0,0
9,1.230401173,0.587858338,0.29734695,0.058102278,0.06493784,0,0.170889052,0,0,0,0,0,0.020506686,0.030760029,0,0,0,1.216487105,0.013914068,0,0,0,0,0
10,1506.915648,0,0,0,0,0,0,0,31.99396281,41.59215165,35.19335909,41.59215165,28.79456653,63.98792562,0,28.79456653,1234.966964,693.6273913,450.2493593,83.15416095,194.7024256,12.1689016,0,73.01340961
11,3503.094842,348.0876482,0,0,0,0,0,0,0,0,0,103.6856824,777.6426182,296.2448069,511.022292,473.9916911,992.4201032,1551.599085,1679.56602,271.9297366,0,0,0,0
12,1.020945561,0.487785101,0.246728511,0.048211318,0.053883238,0,0.141797995,0,0,0,0,0,0.017015759,0.025523639,0,0,0,0.431884045,0.276122586,0.193993817,0.118945114,0,0,0
13,1435.449459,142.6345128,0,0,0,0,0,0,0,0,0,42.48687617,318.6515713,121.3910748,209.399604,194.2257196,406.6601005,852.3798245,251.0075557,149.0357362,183.0263427,0,0,0
