hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
1,3106,14,2,1,1
6,3808,11,1,1,1
18,4103,1,3,1,1
36,4011,7,1,1,1
44,3107,12,3,1,1
45,4103,12,3,1,1
72,2801,12,3,1,1
81,4008,1,1,1,1
83,2802,16,2,1,1
87,3709,5,1,1,1
92,4003,1,4,1,1
99,4111,1,1,1,1
102,3705,7,4,1,1
109,3312,12,1,1,1
112,2801,3,1,1,1
119,3105,10,2,1,1
133,3303,10,7,1,1
143,3201,16,4,1,1
154,3313,13,2,1,1
158,3310,15,7,1,1
168,3702,1,2,1,1
176,4012,13,1,1,1
178,3103,13,2,1,1
190,3203,16,2,1,1
197,2802,2,1,1,1
199,3210,11,3,1,1
255,3209,15,4,1,1
271,4105,12,2,1,1
278,3705,6,4,1,1
281,2802,13,2,1,1
285,3808,16,1,1,1
297,4014,13,5,1,1
299,3201,16,4,1,1
302,3704,13,1,1,1
322,3810,13,1,1,1
323,3308,10,4,1,1
347,3107,11,1,1,1
352,2901,13,2,1,1
367,3903,10,1,1,1
414,3305,6,1,1,1
418,4014,3,1,1,1
423,4011,10,1,1,1
441,4113,11,4,1,1
443,4011,13,7,1,1
465,3706,1,1,1,1
469,3701,11,1,1,1
484,2801,11,4,1,1
522,4110,10,1,1,1
531,4016,11,2,1,1
544,4112,11,1,1,1
567,3105,12,2,1,1
574,4015,5,3,1,1
579,3201,2,1,1,1
580,3003,5,2,1,1
583,2801,11,3,1,1
592,3810,15,2,1,1
598,3708,12,3,1,1
610,4105,12,4,1,1
618,3301,13,2,1,1
623,4101,10,2,1,1
647,4004,2,3,1,1
652,3301,14,2,1,1
667,3802,3,1,1,1
684,4013,8,3,1,1
700,3208,2,1,1,1
704,4005,13,2,1,1
716,4001,12,3,1,1
732,3301,16,3,1,1
752,3903,7,1,1,1
753,4001,10,2,1,1
766,4014,15,2,1,1
776,4001,10,1,1,1
779,4014,2,3,1,1
819,3903,13,3,1,1
849,4113,13,5,1,1
854,3701,4,1,1,1
862,3206,4,2,1,1
865,3808,11,2,1,1
870,3202,16,2,1,1
879,3002,3,1,1,1
881,4015,13,3,1,1
882,3311,7,1,1,1
888,4017,13,4,1,1
891,3809,12,2,1,1
906,3107,5,1,1,1
909,4001,4,1,1,1
912,3313,15,3,1,1
913,4005,12,2,1,1
931,4104,12,3,1,1
947,4014,3,7,1,1
949,4001,6,1,1,1
981,4001,1,1,1,1
983,3806,13,2,1,1
989,3003,9,1,1,1
1009,4002,13,4,1,1
1020,3312,11,1,1,1
1022,4112,13,2,1,1
1030,3803,2,5,1,1
1052,4005,14,1,1,1
1062,3901,13,3,1,1
1074,3902,5,2,1,1
1086,3801,2,1,1,1
1112,3806,16,2,1,1
1117,4110,1,4,1,1
1119,2801,14,2,1,1
1123,3707,3,1,1,1
1153,3103,12,2,1,1
1186,4016,16,4,1,1
1202,3309,11,2,1,1
1230,4012,12,2,1,1
1234,4112,12,4,1,1
1245,3205,16,6,1,1
1250,4008,1,4,1,1
1260,4001,1,3,1,1
1264,2902,14,4,1,1
1289,3710,3,1,1,1
1311,3707,10,1,1,1
1349,3705,10,7,1,1
1387,3703,6,1,1,1
1431,4004,16,2,1,1
1463,2901,1,1,1,1
1468,3105,9,2,1,1
1477,3107,15,3,1,1
1480,3002,14,4,1,1
1500,2802,12,3,1,1
1501,4017,13,2,1,1
1526,3805,7,1,1,1
1533,3709,4,1,1,1
1539,4108,15,2,1,1
1573,3305,16,5,1,1
1584,3201,11,2,1,1
1600,4108,9,1,1,1
1601,4015,11,5,1,1
1607,3312,14,2,1,1
1614,3211,14,3,1,1
1636,2802,5,1,1,1
1641,4113,12,1,1,1
1645,3901,13,4,1,1
1701,4102,3,1,1,1
1705,3807,16,2,1,1
1715,3301,14,6,1,1
1732,3902,16,4,1,1
1737,4108,10,1,1,1
1756,3806,8,1,1,1
1758,3105,14,2,1,1
1763,3809,1,1,1,1
1769,4103,5,1,1,1
1772,3302,15,4,1,1
1805,4012,9,1,1,1
1806,4002,3,1,1,1
1814,3208,13,4,1,1
1816,2903,13,4,1,1
1824,3001,15,4,1,1
1825,3002,15,4,1,1
1853,3104,4,4,1,1
1866,4103,13,4,1,1
1876,4112,11,3,1,1
1879,3202,12,1,1,1
1887,3901,9,1,1,1
1908,3703,6,2,1,1
1925,2901,3,3,1,1
1938,4003,11,3,1,1
1956,3301,7,3,1,1
1970,3304,13,5,1,1
1985,4109,5,4,1,1
1986,3704,9,2,1,1
1989,4110,10,4,1,1
1991,3902,13,3,1,1
1995,3309,13,4,1,1
2004,4015,6,3,1,1
2010,4101,15,2,1,1
2011,3902,1,3,1,1
2017,4017,15,3,1,1
2071,4004,7,1,1,1
2076,3805,8,2,1,1
2085,3706,4,5,1,1
2097,3205,11,4,1,1
2103,4009,16,4,1,1
2110,3312,16,2,1,1
2111,4011,1,1,1,1
2114,3702,5,2,1,1
2120,3306,9,4,1,1
2123,3704,10,2,1,1
2124,2801,5,1,1,1
2130,4107,13,2,1,1
2131,4112,12,3,1,1
2137,3206,6,4,1,1
2160,4112,7,3,1,1
2169,3102,16,4,1,1
2223,4105,13,4,1,1
2227,3301,15,2,1,1
2232,3804,1,1,1,1
2248,3703,11,5,1,1
2280,3107,4,1,1,1
2286,3208,15,5,1,1
2287,3707,6,2,1,1
2288,3210,8,2,1,1
2292,4001,3,1,1,1
2304,3203,12,4,1,1
2309,4011,7,1,1,1
2316,2902,9,2,1,1
2322,3313,6,5,1,1
2344,4002,1,5,1,1
2354,3809,15,2,1,1
2371,4106,6,4,1,1
2378,3808,7,1,1,1
2404,4101,8,3,1,1
2421,3102,5,3,1,1
2427,4103,13,6,1,1
2440,3701,5,1,1,1
2443,4111,13,2,1,1
2444,4006,10,1,1,1
2446,3303,1,1,1,1
2447,4110,1,1,1,1
