variable_names,pworker,pworker,ptotals
variable_categories,1,2,1
geo,,,
1,4333.624605,3536.844726,7870.469331
2,3603.129655,2192.778296,5795.907951
3,1845.509677,1081.541247,2927.050924
4,9.304193667,2.947153068,12.25134673
5,3116.921683,2516.655924,5633.577607
6,5192.720109,2439.868906,7632.589016
7,3463.486092,1097.077729,4560.563822
8,542.7712452,203.5399601,746.3112052
9,0,11.23040117,11.23040117
10,2042.484201,1196.976065,3239.460266
11,4306.586652,1438.274021,5744.860673
12,0,2.041891122,2.041891122
13,1899.582028,634.4048553,2533.986883
15,45.89210238,19.44841354,65.34051592
16,3.585320498,1.519407308,5.104727806
17,1127.224765,477.7016576,1604.926422
19,217.9874863,92.37996432,310.3674506
20,2780.151533,1754.888649,4535.040183
21,2559.152006,1686.960583,4246.112589
22,1725.119462,1091.669341,2816.788803
23,520.2257061,351.6618032,871.8875093
24,970.3975992,655.9686798,1626.366279
25,3052.728627,2930.012362,5982.740989
26,1640.39221,460.7137554,2101.105965
27,2508.721577,2824.698035,5333.419612
28,4867.118877,4096.78315,8963.902027
29,3664.223119,2163.334144,5827.557263
30,2002.519128,2175.190109,4177.709236
31,4483.272018,1607.6892,6090.961218
32,4463.909193,1881.267469,6345.176663
33,3975.92158,1599.46213,5575.38371
34,3494.092941,2837.81143,6331.904371
35,3466.963765,1578.549198,5045.512964
36,1707.744501,869.1220959,2576.866597
37,1134.835874,703.8870815,1838.722956
38,186.9596706,74.40239306,261.3620637
39,1683.205189,1420.469317,3103.674506
40,4743.895405,1692.145413,6436.040818
41,4652.847222,1817.905745,6470.752967
42,5366.930853,2848.618078,8215.548931
43,3563.009196,1979.704256,5542.713452
44,4046.763855,2466.868825,6513.632681
45,2958.513948,2555.613029,5514.126976
46,2500.773692,1791.281447,4292.055139
47,1523.16503,781.1091015,2304.274132
48,2856.671602,1502.765944,4359.437546
49,830.8091324,328.9850251,1159.794158
50,1492.159852,1111.251329,2603.411181
52,2114.033514,1311.238844,3425.272358
53,1371.281086,3599.702852,4970.983938
54,628.0676435,249.9455392,878.0131826
55,409.2370238,216.6026053,625.839629
56,2537.399427,1048.161384,3585.560811
57,2929.294158,1701.714908,4631.009066
58,1225.421085,1277.937431,2503.358516
59,2994.663923,2166.215889,5160.879812
60,2892.342684,2441.076928,5333.419612
61,5068.286964,2705.192539,7773.479503
62,5407.286605,2852.162985,8259.44959
63,4723.853467,2656.561995,7380.415462
64,2738.801602,2513.96331,5252.764912
65,1775.716284,1063.533322,2839.249606
66,6231.934845,2613.537498,8845.472342
67,7283.535638,4702.36525,11985.90089
68,1626.502286,2903.43317,4529.935455
69,2159.133339,2446.352088,4605.485427
70,9726.690689,7157.707003,16884.39769
71,5503.884493,3328.315557,8832.20005
72,6140.479856,3289.994293,9430.474149
73,6415.085315,2641.722758,9056.808074
74,448.5345988,765.3696735,1213.904272
75,665.9752924,624.499897,1290.475189
76,4393.515753,6112.014072,10505.52982
77,1110.881578,587.9718355,1698.853414
78,1039.546473,643.9927575,1683.53923
79,1683.19532,1042.729328,2725.924648
80,759.7965716,491.8826864,1251.679258
81,1298.967059,840.9348375,2139.901896
82,1649.621964,3898.196215,5547.81818
83,1452.868305,3567.121019,5019.989324
84,1975.553223,4708.577366,6684.130589
85,529.7528097,934.2831251,1464.035935
86,2298.983208,5170.254517,7469.237726
87,1139.163171,1982.888355,3122.051526
88,4143.44587,7461.642324,11605.08819
89,1470.935837,1597.005574,3067.941411
90,1548.745472,1919.4066,3468.152071
91,2935.929632,3596.080069,6532.009701
92,1615.911078,618.9387556,2234.849833
93,1883.117091,1967.889566,3851.006657
94,2559.470107,1756.06678,4315.536887
95,3200.536123,4062.4706,7263.006722
96,4345.697964,2404.794087,6750.492051
97,4249.036819,4406.539649,8655.576468
98,4448.17313,4393.215431,8841.38856
99,3231.763164,1354.324297,4586.087461
100,1343.134776,1497.135775,2840.270551
101,1996.29423,1174.762683,3171.056913
102,5345.227967,3061.237784,8406.465751
103,1510.241683,1953.826607,3464.068289
104,1672.518115,1544.481349,3216.999463
105,477.7742894,498.2496671,976.0239565
106,1965.026682,3353.078746,5318.105428
107,3730.003106,4250.728346,7980.731452
108,4020.321315,2144.147983,6164.469299
109,2389.516998,1044.94387,3434.460868
110,2427.703223,1277.308219,3705.011442
111,3419.79599,2006.529668,5426.325658
112,1438.791719,912.445908,2351.237627
113,2407.574728,1177.986082,3585.560811
114,2206.942114,1161.157292,3368.099406
115,2084.04877,1222.793903,3306.842673
116,256.2264113,432.9118425,689.1382538
117,15.96577918,22.83015214,38.79593133
118,116.0976031,55.42125113,171.5188543
119,2521.451766,1265.23532,3786.687087
120,1698.869766,852.473191,2551.342957
121,3486.9371,3247.219822,6734.156922
122,1535.451721,716.7541874,2252.205908
123,1961.269196,1039.289809,3000.559004
124,1634.53347,942.3331264,2576.866597
125,4013.991455,1638.984118,5652.975572
126,126.2813101,72.80307435,199.0843844
127,2696.77591,1101.141578,3797.917488
128,168.9196341,285.4011406,454.3207747
129,33.19201461,47.46268472,80.65469934
130,10.36585742,4.948325994,15.31418342
131,3490.721578,1998.902705,5489.624283
132,5748.142739,2818.611465,8566.754204
133,1920.775563,752.0599165,2672.835479
134,1413.91422,417.6621169,1831.576337
135,4952.466517,2220.696996,7173.163513
137,2289.127083,831.9034974,3121.030581
138,3613.780603,1313.302675,4927.083278
139,2708.634649,2190.883099,4899.517748
140,2003.306854,894.1366489,2897.443503
141,3160.961273,1410.832951,4571.794223
142,4304.04386,3200.926961,7504.97082
143,2277.49736,1409.137062,3686.634422
144,3423.499216,2118.19329,5541.692506
145,2356.993126,1248.986596,3605.979722
146,424.5809382,198.1958542,622.7767923
147,657.2967487,355.4812481,1012.777997
148,245.7787457,204.4582468,450.2369925
149,825.2849301,605.0598012,1430.344731
150,528.392426,454.7781495,983.1705754
151,1.646082324,1.41675436,3.062836684
152,95.34644978,20.02039864,115.3668484
153,35.43850346,7.441210113,42.87971357
154,1091.719588,536.6885821,1628.40817
155,1149.546146,775.9571828,1925.503328
156,9.4576202,2.793726535,12.25134673
157,314.1758743,167.7104306,481.8863049
158,6.824822462,5.426524273,12.25134673
159,1011.752815,540.0844376,1551.837253
160,20.47446738,16.27957282,36.7540402
161,13.08090972,10.40083819,23.48174791
162,90.42889762,71.90144662,162.3303442
163,1.427183269,8.782272344,10.20945561
164,8.991254592,55.32831576,64.31957036
165,838.6932643,566.127828,1404.821092
166,3515.475949,5124.786335,8640.262285
167,0,164.3722354,164.3722354
168,2058.879497,2060.635842,4119.51534
169,1641.138731,1264.472336,2905.611067
170,2894.868332,2997.008502,5891.876834
171,3290.850291,3931.318609,7222.1689
172,3966.669184,3835.396795,7802.065979
173,2984.172678,3969.48754,6953.660217
174,3474.409685,3189.301993,6663.711678
175,3953.861978,4519.98618,8473.848158
176,4660.206244,5701.370257,10361.5765
177,3654.658295,4428.167713,8082.826008
178,1705.835933,4443.319182,6149.155115
179,1366.992283,2088.908441,3455.900725
180,4795.534098,5750.83355,10546.36765
181,2199.491534,3233.980743,5433.472277
182,3949.357236,6325.438892,10274.79613
183,4712.786931,3655.903834,8368.690765
184,5656.54744,3334.920118,8991.467558
185,5087.377194,4074.588273,9161.965466
186,5360.210748,3488.324431,8848.535179
187,1437.38355,2476.921732,3914.305282
188,0,2.041891122,2.041891122
189,4933.534196,6590.899299,11524.43349
190,2999.211967,4367.931202,7367.14317
191,3991.358465,3795.39333,7786.751795
192,5162.118161,5345.453555,10507.57172
193,1613.222233,1313.828691,2927.050924
194,3639.842078,2863.581147,6503.423225
195,3929.970858,3238.087927,7168.058785
196,4042.257669,4869.576135,8911.833804
197,4735.055258,6736.289068,11471.34433
198,1081.642019,1497.266469,2578.908488
199,6312.056277,8934.744734,15246.80101
200,1114.208981,1306.452945,2420.661926
201,2578.642558,3551.114592,6129.75715
202,1900.291456,5624.07733,7524.368786
203,3279.341003,2708.504714,5987.845717
204,2087.82151,2878.0577,4965.87921
205,0,6.125673367,6.125673367
206,2769.72631,2966.966798,5736.693108
207,1400.357872,2349.575174,3749.933046
208,297.4479011,356.9782037,654.4261047
209,4277.404612,2808.978528,7086.38314
210,130.1591141,1552.359171,1682.518285
211,89.05203063,41.62900121,130.6810318
212,6005.330603,4426.691141,10432.02174
213,7199.897589,3611.915904,10811.81349
214,9322.817677,6342.571014,15665.38869
215,3982.325367,2901.910553,6884.235919
216,3275.217423,4152.161535,7427.378958
217,2887.307366,6615.653918,9502.961284
218,1814.859516,2179.07952,3993.939035
219,814.3754337,2844.693458,3659.068891
220,1113.854393,2353.276733,3467.131126
221,2356.303828,4419.711862,6776.01569
222,2493.452551,4044.682823,6538.135374
223,2375.880348,1110.648743,3486.529092
224,3201.532681,1775.57693,4977.109611
225,4942.021793,4008.607942,8950.629735
226,7844.45724,5197.101359,13041.5586
227,6853.999119,4554.046582,11408.0457
228,7843.976582,4860.669982,12704.64656
229,3208.422531,1155.098797,4363.521329
230,5741.319954,2328.233761,8069.553716
231,8558.144423,5478.836098,14036.98052
232,3986.873868,1470.080157,5456.954025
233,1041.648437,1304.484462,2346.1329
234,2833.19663,3422.136823,6255.333454
235,3689.255923,4330.271461,8019.527383
236,2713.876491,4918.712525,7632.589016
237,2369.218937,3764.621995,6133.840932
238,1973.185847,4722.175144,6695.36099
239,968.8766941,3044.460307,4013.337001
240,1132.27255,821.8172541,1954.089804
241,1290.040039,1713.581802,3003.621841
242,2252.765172,2434.395899,4687.161072
243,4612.723387,2706.435341,7319.158728
244,2093.207298,2411.204518,4504.411816
245,1253.680599,1193.525912,2447.20651
246,1988.307237,2065.867587,4054.174824
247,3282.884738,3118.44393,6401.328669
248,4360.195703,3616.451966,7976.64767
249,1506.889663,1416.077479,2922.967142
250,4260.506226,2953.49511,7214.001336
251,2967.830562,2800.511859,5768.342421
252,2179.401561,1236.682286,3416.083848
