variable_names,rpsex,rpsex,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpworker,rpworker,rpeligible,prtotals
variable_categories,1,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,1,1
region,,,,,,,,,,,,,,,,,,,,,,,,
1,760049.0166,859040.9834,78438.92537,64400.02819,57581.91675,75472.81136,136460.4915,196140.3666,166744.1306,126932.0529,109446.3651,102942.289,99593.76101,91716.0337,87521.12998,70517.13182,53688.89212,40463.44766,29545.14959,31485.07729,849545.4547,769544.5453,928934.2996,1619090
2,1099779.779,1172991.221,134713.2999,127699.9654,124161.2554,137622.1716,165951.8777,190146.0795,181576.6739,167586.0527,160658.8328,160231.2637,160730.9287,142670.8913,123358.1866,91267.47465,69422.39942,52789.26114,39614.72618,42573.66445,1070517.6,1202253.4,1188296.797,2272771
3,660344.9547,748128.0449,105560.7727,100913.1901,96342.04462,111343.85,119220.9041,111419.2814,99465.91211,91731.67483,91921.76207,95499.22397,91774.9222,76528.71896,64255.52032,48901.70156,36551.05997,27565.66649,19176.68429,20303.12717,535762.7965,872710.2035,626345.9002,1408473
4,1210701.631,1354933.369,182578.7492,167297.6692,156611.662,167221.0349,194728.7703,226751.9582,211397.2297,186321.8872,167323.5458,161516.2577,161974.073,144567.1375,131267.6018,94820.52423,72457.23999,55068.21897,40652.01193,43082.41425,1122046,1443589,1249146.261,2565635
5,228759.0265,241968.9736,28060.07874,29627.69757,30567.076,31955.7656,31953.7775,30937.85712,30271.84278,30506.43887,32761.94116,34055.20184,36095.98906,32269.88579,28162.46602,21552.02519,15030.05493,10717.8606,8073.684269,8131.339241,202909.6141,267818.3859,220258.2,470728
6,650866.6901,694470.6397,72794.45202,82461.02142,92716.95488,93378.24132,82021.49568,74185.95054,73144.07476,78752.02357,89928.96323,102583.3087,107467.039,97274.03761,81342.22864,63361.63039,46381.95211,37509.52579,33005.38593,37031.0421,640356.7368,704980.5928,691156.0297,1345337.33
7,736163.8866,760723.3705,84302.17277,93306.85051,103785.657,104029.5128,92168.52332,85910.22232,85619.39422,93503.73414,107602.401,119864.1537,120056.0403,102734.2784,84750.90754,69584.8715,51175.75231,38168.44035,29753.41409,30568.93208,723807.8523,773079.4043,781695.5182,1496887.257
8,461595.3097,497086.7578,57500.53492,61451.67674,66763.42381,65172.39347,57355.8958,54815.2348,56097.03668,60256.65833,66644.71998,72343.5014,73083.6547,64917.0306,54605.75745,43635.12941,32437.06881,25704.8658,21446.49054,24452.98926,459737.2349,498944.8324,499480.7375,958682.0673
9,155360.5885,161096.9734,23583.1368,24702.91738,25189.08546,23565.20437,19501.51668,18472.3945,17895.56803,17930.43664,19466.64807,21510.94499,22021.02298,19862.15776,17178.27086,14035.11454,10475.52735,8252.902386,6328.154992,6487.554362,143778.2711,172679.2909,154507.0803,316457.562
10,49833.66748,50025.59687,5076.081806,5957.748634,7073.327069,6793.432838,5280.004746,4912.143756,5062.087094,5971.743345,7432.191458,9074.570822,9129.550046,7842.036583,6424.572226,4874.158111,3384.720952,2321.122874,1642.379363,1607.392584,49658.28298,50200.98132,54151.62824,99859.2643
11,188575.8042,189521.4984,26282.19604,27943.39346,28980.76989,29299.65602,25273.71866,21719.13485,21970.25768,23284.66644,26340.99067,28720.67839,28422.71917,24781.4382,20031.03141,15365.32876,10549.15171,7546.639515,5733.971183,5851.560443,171173.631,206923.6716,186016.8733,378097.3026
12,148665.2543,150470.7677,15017.31776,16920.69637,19132.65001,23515.61368,22091.57491,17454.96057,16220.66048,17066.49558,20004.44935,23472.67282,24817.82025,21932.79358,17781.51084,14048.65183,10164.00187,7698.397566,5821.981814,5969.778265,144062.758,155073.2641,158314.0403,299136.0221
