variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
5006,2445.354278,50.54374001,0,38.50951619,0,0,0,0,0,247.9050105,125.1559276,317.7035086,163.6654438,257.5323896,534.3195372,259.9392343,450.0799705,1921.026928,289.2840551,171.7624077,63.28088706,0,0,0
5007,1532.787447,0,0,0,83.9383602,0,0,200.7221657,21.89696353,43.79392706,80.28886628,145.9797569,218.9696353,244.5160928,58.39190275,167.8767204,266.4130563,349.7635786,500.641985,229.7466643,267.466266,185.1689534,0,0
5008,1445.489619,45.84400734,31.81012754,101.0439345,30.87453555,79.52531885,29.93894357,104.7863025,92.62360666,29.00335158,91.68801467,28.06775959,161.8574137,279.742004,106.6574865,64.55584707,167.4709656,384.8171469,333.0770263,297.5056934,274.8693907,155.2203618,0,0
5009,1408.946342,63.64850006,0,23.14490911,23.14490911,26.03802275,28.93113639,20.25179547,0,0,23.14490911,115.7245456,164.9074774,92.57963645,199.6248411,454.2188413,173.5868183,305.5335934,474.8864995,303.7876872,172.8447186,151.8938436,0,0
5010,1561.209996,0,17.85697708,191.3247544,48.46893778,48.46893778,12.75498363,40.81594761,63.77491813,10.2039869,63.77491813,104.5908657,201.5287413,89.28488539,150.5088068,153.0598035,364.7925317,417.8827612,528.2038102,217.2990358,227.3282221,130.3794215,40.11674508,0
5011,986.668476,35.74885782,21.44931469,0,0,42.89862939,21.44931469,0,17.87442891,0,25.02420048,46.47351517,57.19817252,157.2949744,17.87442891,28.59908626,514.7835527,410.9859502,255.3552411,92.16964324,140.5209315,49.86226601,24.17564413,13.59879982
5012,1387.629431,0,25.74982449,0,0,0,0,0,0,17.16654966,0,0,22.88873288,91.55493151,148.7767637,25.74982449,1055.742804,332.7933538,383.3066307,145.5970923,344.6788308,136.6829846,44.57053846,0
5013,1217.094139,74.7127095,110.8640205,156.6556812,33.74122364,36.15131105,0,0,31.33113624,0,38.56139845,91.58332132,274.749964,28.92104884,139.7850694,74.7127095,125.324545,209.1344858,267.4178671,260.5609987,322.2728142,157.7079729,0,0
5014,1550.043995,0,130.3510489,73.67667982,0,0,31.170903,0,0,28.33718455,82.17783518,56.67436909,45.33949527,260.7020978,107.6813013,153.0207965,580.9122832,516.6813315,315.9562099,252.764968,267.6334955,130.0996159,66.90837387,0
5015,1567.300542,139.4303612,121.3560552,234.9659791,0,116.1919677,33.56656845,0,136.8483175,67.13313689,38.7306559,36.14861217,253.0402852,162.6687548,0,87.78948671,139.4303612,440.9693051,780.9938294,154.0736126,138.134963,21.25153277,31.87729916,0
5016,1728.700015,0,94.72328849,0,0,0,0,56.8339731,33.15315097,0,80.51479522,165.7657549,203.6550703,85.25095964,23.68082212,52.09780867,933.0243916,544.2203751,274.3968278,160.0648162,571.6600579,178.3579381,0,0
