varialbe_names,hhtotals,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4
geo,,,,,
5069027,0,0,0,0,0
5069048,0,0,0,0,0
5069055,298.896861,46.41255605,62.19282511,111.3901345,78.90134529
5069015,0,0,0,0,0
5069007,0,0,0,0,0
5069012,0,0,0,0,0
5069002,0,0,0,0,0
5069005,0,0,0,0,0
5069009,0,0,0,0,0
5069006,0,0,0,0,0
5069003,0,0,0,0,0
5069024,0,0,0,0,0
5069018,0,0,0,0,0
5069029,0,0,0,0,0
5069025,0,0,0,0,0
5069020,0,0,0,0,0
5069013,0,0,0,0,0
5069010,0,0,0,0,0
5069004,0,0,0,0,0
5069016,0,0,0,0,0
5069022,0,0,0,0,0
5069026,0,0,0,0,0
5069023,0,0,0,0,0
5069014,0,0,0,0,0
5069011,0,0,0,0,0
5069030,0,0,0,0,0
5069019,0,0,0,0,0
5069032,0,0,0,0,0
5069035,0,0,0,0,0
5069031,0,0,0,0,0
5069054,11.7922272,1.831091181,2.453662182,4.394618834,3.112855007
5069051,0,0,0,0,0
5069040,0,0,0,0,0
5069052,0,0,0,0,0
5069053,0,0,0,0,0
5069050,0,0,0,0,0
5069049,0,0,0,0,0
5069046,0,0,0,0,0
5069045,0,0,0,0,0
5069043,0,0,0,0,0
5069047,0,0,0,0,0
5069044,0,0,0,0,0
5069037,0,0,0,0,0
5069036,0,0,0,0,0
5069039,0,0,0,0,0
5069042,0,0,0,0,0
5069038,0,0,0,0,0
5069033,0,0,0,0,0
5069041,0,0,0,0,0
5069008,0,0,0,0,0
5069017,0,0,0,0,0
5069021,0,0,0,0,0
5069028,0,0,0,0,0
5069034,0,0,0,0,0
930000009,0,0,0,0,0
914001015,0,0,0,0,0
5069001,11.31091181,1.756352765,2.353512706,4.215246637,2.985799701
1060003,0,0,0,0,0
1060004,0,0,0,0,0
1060005,0,0,0,0,0
1060006,0,0,0,0,0
1060007,0,0,0,0,0
1060009,0,0,0,0,0
1060010,0,0,0,0,0
1060001,0,0,0,0,0
1060008,0,0,0,0,0
1060002,0,0,0,0,0
914001010,0,0,0,0,0
914001008,0,0,0,0,0
1038003,101.5742424,24.20145903,20.51133558,34.67278339,22.18866442
1038005,83.73333333,19.95061728,16.90864198,28.58271605,18.29135802
1038009,24.02575758,5.724466891,4.851627385,8.201290685,5.248372615
1038013,0,0,0,0,0
1038010,73.98030303,17.62682379,14.93916947,25.25347924,16.16083053
1038008,219.8,52.37037037,44.38518519,75.02962963,48.01481481
1038011,31.16212121,7.424803591,6.292704826,10.63731762,6.807295174
1038016,297.3484848,70.84736251,60.04489338,101.5011223,64.95510662
1038014,18.79242424,4.477553311,3.794837262,6.414870932,4.105162738
1038019,94.67575758,22.55780022,19.11829405,32.31795735,20.68170595
1038020,338.0257576,80.53928171,68.25903479,115.3864759,73.84096521
1038024,131.5469697,31.34287318,26.56386083,44.90409652,28.73613917
1038028,246.9181818,58.83164983,49.86127946,84.28653199,53.93872054
1038027,327.0833333,77.93209877,66.04938272,111.6512346,71.45061728
1038006,0,0,0,0,0
1038001,0,0,0,0,0
1038015,0,0,0,0,0
1038002,0,0,0,0,0
1038029,423.6621212,100.9433221,85.55196409,144.6187991,92.54803591
1038018,247.6318182,59.0016835,50.00538721,84.53013468,54.09461279
1038022,541.65,129.0555556,109.3777778,184.8944444,118.3222222
1038021,11.18030303,2.663860831,2.257687991,3.8164422,2.442312009
1038017,279.7454545,66.65319865,56.49023569,95.49225589,61.10976431
1038012,161.0439394,38.37093154,32.52031425,54.97300786,35.17968575
1038004,18.31666667,4.364197531,3.698765432,6.252469136,4.001234568
1038007,108.2348485,25.78843996,21.85634119,36.94640853,23.64365881
1038025,89.68030303,21.36756453,18.10953984,30.6127385,19.59046016
1038023,176.9818182,42.16835017,35.73872054,60.41346801,38.66127946
1038026,192.2060606,45.79573513,38.81301908,65.61032548,41.98698092
930000004,0,0,0,0,0
911201001,0,0,0,0,0
913001008,0,0,0,0,0
913001004,0,0,0,0,0
912001005,0,0,0,0,0
2053039,105.6593258,13.88224719,14.65348315,21.41465169,55.70894382
2053034,82.22638844,10.80346709,11.40365971,16.66534831,43.35391332
2053032,93.94285714,12.34285714,13.02857143,19.04,49.53142857
2053037,356.0328732,46.77804173,49.37682183,72.15946067,187.718549
2053035,56.89348315,7.47505618,7.890337079,11.53096629,29.9971236
2053031,139.9643018,18.3894703,19.41110754,28.36746067,73.79626324
2053028,125.0812199,16.43402889,17.3470305,25.35101124,65.94914928
2053026,167.0916212,21.95364366,23.17329053,33.86552809,88.09915891
2053022,149.3585875,19.62375602,20.71396469,30.27146067,78.7494061
2053015,236.3348957,31.05130016,32.77637239,47.89950562,124.6077175
2053008,279.9286035,36.77894061,38.82221509,56.73492135,147.5925265
2053010,259.2400642,34.06073836,35.95300161,52.5418427,136.6844815
2053009,193.7967255,25.4623435,26.87691814,39.27802247,102.1794414
2053012,344.105297,45.21091493,47.72263242,69.74202247,181.4297271
2053016,237.8126485,31.24545746,32.98131621,48.19901124,125.3868636
2053019,214.3797111,28.16667737,29.73149278,43.44970787,113.0318331
2053014,342.0997753,44.94741573,47.44449438,69.33555056,180.3723146
2053021,58.16012841,7.641476726,8.06600321,11.78768539,30.66496308
2053025,236.7571108,31.10677368,32.83492777,47.98507865,124.8303307
2053020,229.1572392,30.1082504,31.78093098,46.44476404,120.8232937
2053027,540.7519743,71.04770465,74.99479936,109.5976629,285.1118074
2053033,168.3582665,22.12006421,23.34895666,34.12224719,88.76699839
2053029,4.749919743,0.624077047,0.658747994,0.962696629,2.504398074
2053036,78.32089888,10.29033708,10.86202247,15.87379775,41.29474157
2053042,82.33194222,10.81733547,11.41829856,16.68674157,43.40956661
2053048,327.8500161,43.07518459,45.4682504,66.44746067,172.8591204
2053041,264.3066453,34.72642055,36.65566613,53.5687191,139.3558395
2053053,0.211107544,0.027736758,0.029277689,0.042786517,0.111306581
2053056,1.266645265,0.166420546,0.175666132,0.256719101,0.667839486
