hid,sample_geo,hhtotals,hhrtotals,rhsize,rtype,hsize
100,2,1,1,3,1,3
200,2,1,1,2,1,2
300,2,1,1,4,1,4
400,2,1,1,2,1,2
500,2,1,1,3,2,3
600,2,1,1,3,1,3
700,2,1,1,3,1,3
800,2,1,1,3,1,3
900,2,1,1,2,2,2
1000,2,1,1,3,1,3
1100,2,1,1,3,1,3
1200,2,1,1,2,1,2
1300,2,1,1,3,2,3
1400,2,1,1,2,4,2
1500,2,1,1,4,2,4
1600,2,1,1,4,1,4
1700,2,1,1,1,1,1
1800,2,1,1,4,1,4
1900,2,1,1,2,1,2
2000,2,1,1,3,1,3
2100,2,1,1,3,1,3
2200,2,1,1,3,1,3
2300,2,1,1,2,2,2
2400,2,1,1,2,1,2
2500,2,1,1,3,3,3
2600,2,1,1,2,1,2
2700,2,1,1,3,1,3
2800,2,1,1,3,4,3
2900,2,1,1,3,1,3
3000,2,1,1,3,1,3
3100,2,1,1,3,1,3
3200,2,1,1,3,1,3
3300,2,1,1,4,1,4
3400,2,1,1,3,1,3
3500,2,1,1,4,1,4
3600,2,1,1,3,1,3
3700,2,1,1,3,1,3
3800,2,1,1,2,1,2
3900,2,1,1,2,1,2
4000,2,1,1,3,2,3
4100,2,1,1,3,1,3
4200,2,1,1,3,1,3
4300,2,1,1,4,6,4
4400,2,1,1,2,1,2
4500,2,1,1,2,1,2
4600,2,1,1,3,1,3
4700,2,1,1,1,1,1
4800,2,1,1,2,1,2
4900,2,1,1,3,1,3
5000,2,1,1,4,2,4
5100,2,1,1,3,1,3
5200,2,1,1,3,1,3
5300,2,1,1,2,1,2
5400,2,1,1,4,1,4
5500,2,1,1,3,1,3
5600,2,1,1,3,1,3
5700,2,1,1,2,1,2
5800,2,1,1,3,1,3
5900,2,1,1,3,1,3
6000,2,1,1,2,1,2
6100,2,1,1,1,1,1
6200,2,1,1,3,1,3
6300,2,1,1,1,1,1
6400,2,1,1,1,1,1
6500,2,1,1,1,1,1
6600,2,1,1,2,1,2
6700,2,1,1,2,1,2
6800,2,1,1,3,1,3
6900,2,1,1,2,1,2
7000,2,1,1,3,2,3
7100,2,1,1,4,1,4
7200,2,1,1,1,1,1
7300,2,1,1,4,1,4
7400,2,1,1,3,1,3
7500,2,1,1,4,1,4
7600,2,1,1,3,2,3
7700,2,1,1,4,1,4
7800,2,1,1,3,1,3
7900,2,1,1,3,1,3
8000,2,1,1,2,2,2
8100,2,1,1,2,2,2
8200,2,1,1,1,2,1
8300,2,1,1,2,1,2
8400,2,1,1,4,1,4
8500,2,1,1,4,2,4
8600,2,1,1,4,4,4
8700,2,1,1,3,2,3
8800,2,1,1,3,2,3
8900,2,1,1,3,2,3
9000,2,1,1,2,2,2
9100,2,1,1,3,2,3
9200,2,1,1,2,1,2
9300,2,1,1,2,1,2
9400,2,1,1,2,1,2
9500,2,1,1,4,2,4
9600,2,1,1,3,2,3
9700,2,1,1,3,2,3
9800,2,1,1,4,3,4
9900,2,1,1,3,2,3
10000,2,1,1,3,2,3
10100,2,1,1,3,2,3
10200,2,1,1,3,2,3
10300,2,1,1,2,5,2
10400,2,1,1,1,4,1
10500,2,1,1,3,6,3
10600,2,1,1,2,2,2
10700,2,1,1,3,3,3
10800,2,1,1,3,2,3
10900,2,1,1,2,2,2
11000,2,1,1,3,2,3
11100,2,1,1,2,2,2
11200,2,1,1,3,3,3
11300,2,1,1,2,3,2
11400,2,1,1,3,1,3
11500,2,1,1,1,1,1
11600,2,1,1,3,2,3
11700,2,1,1,3,2,3
11800,2,1,1,1,2,1
11900,2,1,1,2,2,2
12000,2,1,1,3,5,3
12100,2,1,1,4,2,4
12200,2,1,1,4,1,4
12300,2,1,1,4,1,4
12400,2,1,1,3,2,3
12500,2,1,1,4,1,4
12600,2,1,1,1,3,1
12700,2,1,1,4,2,4
12800,2,1,1,4,2,4
12900,2,1,1,3,2,3
13000,2,1,1,3,1,3
13100,2,1,1,4,1,4
13200,2,1,1,3,2,3
13300,2,1,1,1,3,1
13400,2,1,1,1,3,1
13500,2,1,1,2,1,2
13600,2,1,1,3,2,3
13700,2,1,1,1,5,1
13800,2,1,1,4,2,4
13900,2,1,1,4,2,4
14000,2,1,1,1,6,1
14100,2,1,1,4,2,4
14200,2,1,1,1,2,1
14300,2,1,1,1,2,1
14400,2,1,1,1,2,1
14500,2,1,1,3,3,3
14600,2,1,1,3,2,3
14700,2,1,1,1,2,1
14800,2,1,1,1,2,1
14900,2,1,1,2,2,2
15000,2,1,1,2,2,2
15100,2,1,1,2,2,2
15200,2,1,1,4,2,4
15300,2,1,1,4,2,4
15400,2,1,1,3,1,3
15500,2,1,1,3,1,3
15600,2,1,1,4,2,4
15700,2,1,1,3,3,3
15800,2,1,1,3,4,3
15900,2,1,1,3,2,3
16000,2,1,1,2,2,2
16100,2,1,1,3,2,3
16200,2,1,1,2,2,2
16300,2,1,1,3,2,3
16400,2,1,1,3,2,3
16500,2,1,1,2,2,2
16600,2,1,1,3,1,3
16700,2,1,1,4,1,4
16800,2,1,1,4,1,4
16900,2,1,1,1,2,1
17000,2,1,1,2,1,2
17100,2,1,1,2,2,2
17200,2,1,1,3,2,3
17300,2,1,1,1,2,1
17400,2,1,1,4,2,4
17500,2,1,1,3,2,3
17600,2,1,1,3,2,3
17700,2,1,1,3,2,3
17800,2,1,1,3,2,3
17900,2,1,1,3,1,3
18000,2,1,1,2,2,2
18100,2,1,1,2,1,2
18200,2,1,1,2,1,2
18300,2,1,1,3,1,3
18400,2,1,1,1,1,1
18500,2,1,1,2,1,2
18600,2,1,1,2,1,2
18700,2,1,1,1,1,1
18800,2,1,1,3,1,3
18900,2,1,1,4,1,4
19000,2,1,1,2,1,2
19100,2,1,1,3,1,3
19200,2,1,1,3,1,3
19300,2,1,1,3,1,3
19400,2,1,1,1,4,1
19500,2,1,1,4,1,4
19600,2,1,1,2,1,2
19700,2,1,1,1,1,1
19800,2,1,1,3,1,3
19900,2,1,1,3,1,3
20000,2,1,1,4,1,4
20100,2,1,1,3,1,3
20200,2,1,1,3,1,3
20300,2,1,1,1,1,1
20400,2,1,1,1,1,1
20500,2,1,1,1,1,1
20600,2,1,1,1,1,1
20700,2,1,1,2,1,2
20800,2,1,1,1,1,1
20900,2,1,1,1,1,1
21000,2,1,1,3,1,3
21100,2,1,1,1,3,1
21200,2,1,1,3,1,3
21300,2,1,1,3,1,3
21400,2,1,1,3,1,3
21500,2,1,1,4,1,4
21600,2,1,1,3,1,3
21700,2,1,1,3,1,3
21800,2,1,1,2,2,2
21900,2,1,1,3,2,3
22000,2,1,1,2,2,2
22100,2,1,1,1,1,1
22200,2,1,1,2,1,2
22300,2,1,1,3,1,3
22400,2,1,1,4,1,4
22500,2,1,1,3,1,3
22600,2,1,1,2,1,2
22700,2,1,1,3,1,3
22800,2,1,1,3,1,3
22900,2,1,1,1,1,1
23000,2,1,1,3,1,3
23100,2,1,1,1,1,1
23200,2,1,1,3,1,3
23300,2,1,1,1,1,1
23400,2,1,1,2,1,2
23500,2,1,1,1,4,1
23600,2,1,1,1,4,1
23700,2,1,1,3,1,3
23800,2,1,1,1,1,1
23900,2,1,1,2,1,2
24000,2,1,1,3,2,3
24100,2,1,1,4,2,4
24200,2,1,1,2,1,2
24300,2,1,1,4,1,4
24400,2,1,1,3,1,3
24500,2,1,1,3,2,3
24600,2,1,1,1,2,1
24700,2,1,1,1,2,1
24800,2,1,1,3,1,3
24900,2,1,1,1,1,1
25000,2,1,1,2,1,2
