varialbe_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,pqat,pqat
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,1,2
geo,,,,,,,,,,,,,,
5069027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069055,1242,514.5564315,727.4435685,103.3043478,237.1304348,44.60869565,115.0434783,274.6956522,291.1304348,136.173913,30.52173913,9.391304348,1242,0
5069015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069054,49,20.30053554,28.69946446,4.075614367,9.355387524,1.759924386,4.538752363,10.83742911,11.48582231,5.372400756,1.20415879,0.370510397,49,0
5069051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5069053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
