hid,pid,sample_geo,prtotals,rpsex,rpage,rqat,ptotals,psex,page,pqat
100,1,2,1,1,6,2,1,1,6,2
100,2,2,1,2,5,2,1,2,5,2
100,3,2,1,1,1,2,1,1,1,2
200,1,2,1,1,8,2,1,1,8,2
200,2,2,1,2,7,2,1,2,7,2
300,1,2,1,1,5,2,1,1,5,2
300,2,2,1,2,5,2,1,2,5,2
300,3,2,1,2,1,2,1,2,1,2
300,4,2,1,2,1,2,1,2,1,2
300,5,2,1,2,1,2,1,2,1,2
400,1,2,1,1,6,2,1,1,6,2
400,2,2,1,2,5,2,1,2,5,2
500,1,2,1,1,5,2,1,1,5,2
500,2,2,1,2,5,2,1,2,5,2
500,3,2,1,1,1,2,1,1,1,2
600,1,2,1,1,6,2,1,1,6,2
600,2,2,1,2,6,2,1,2,6,2
600,3,2,1,2,1,2,1,2,1,2
600,4,2,1,2,1,2,1,2,1,2
700,1,2,1,1,6,2,1,1,6,2
700,2,2,1,2,5,2,1,2,5,2
700,3,2,1,1,2,2,1,1,2,2
800,1,2,1,1,5,2,1,1,5,2
800,2,2,1,2,5,2,1,2,5,2
800,3,2,1,2,1,2,1,2,1,2
900,1,2,1,1,7,2,1,1,7,2
900,2,2,1,2,7,2,1,2,7,2
1000,1,2,1,1,5,2,1,1,5,2
1000,2,2,1,2,5,2,1,2,5,2
1000,3,2,1,1,1,2,1,1,1,2
1000,4,2,1,2,1,2,1,2,1,2
1100,1,2,1,2,7,2,1,2,7,2
1100,2,2,1,1,7,2,1,1,7,2
1100,3,2,1,1,3,2,1,1,3,2
1200,1,2,1,1,7,2,1,1,7,2
1200,2,2,1,2,6,2,1,2,6,2
1300,1,2,1,1,5,2,1,1,5,2
1300,2,2,1,2,5,2,1,2,5,2
1300,3,2,1,2,1,2,1,2,1,2
1300,4,2,1,1,1,2,1,1,1,2
1400,1,2,1,1,5,2,1,1,5,2
1400,2,2,1,2,4,2,1,2,4,2
1500,1,2,1,1,9,2,1,1,9,2
1500,2,2,1,2,9,2,1,2,9,2
1500,3,2,1,1,6,2,1,1,6,2
1500,4,2,1,1,4,2,1,1,4,2
1500,5,2,1,1,5,2,1,1,5,2
1500,6,2,1,2,5,2,1,2,5,2
1500,7,2,1,2,5,2,1,2,5,2
1600,1,2,1,1,6,2,1,1,6,2
1600,2,2,1,2,6,2,1,2,6,2
1600,3,2,1,1,5,2,1,1,5,2
1600,4,2,1,1,1,2,1,1,1,2
1600,5,2,1,1,1,2,1,1,1,2
1700,1,2,1,2,7,2,1,2,7,2
1800,1,2,1,1,6,2,1,1,6,2
1800,2,2,1,2,6,2,1,2,6,2
1800,3,2,1,2,1,2,1,2,1,2
1800,4,2,1,2,1,2,1,2,1,2
1800,5,2,1,2,1,2,1,2,1,2
1900,1,2,1,1,6,2,1,1,6,2
1900,2,2,1,2,6,2,1,2,6,2
