hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
309,302,1,1,1,1
368,103,6,1,1,1
607,500,11,2,1,1
648,904,6,1,1,1
800,900,13,2,1,1
941,900,4,1,1,1
988,500,3,1,1,1
1033,906,12,1,1,1
1059,300,3,2,1,1
1218,903,4,4,1,1
1222,102,2,1,1,1
1378,902,12,3,1,1
1394,105,14,4,1,1
1630,305,13,2,1,1
1783,902,4,1,1,1
2027,904,1,1,1,1
2069,500,4,1,1,1
2175,301,16,2,1,1
2297,1101,3,1,1,1
2379,101,16,5,1,1
2409,901,8,1,1,1
2544,500,5,2,1,1
2592,1500,15,2,1,1
2636,500,2,3,1,1
2646,1300,12,2,1,1
2654,905,3,1,1,1
2685,105,11,4,1,1
2832,1100,3,1,1,1
2833,906,10,2,1,1
2892,500,13,5,1,1
2980,1101,12,2,1,1
3110,700,8,1,1,1
3198,104,4,1,1,1
3433,901,5,1,1,1
3825,500,14,3,1,1
4440,104,8,4,1,1
4512,500,13,5,1,1
4693,700,3,1,1,1
5047,302,2,4,1,1
5237,103,11,5,1,1
5379,1101,11,2,1,1
5392,103,13,1,1,1
5462,1101,9,1,1,1
5470,102,13,4,1,1
5588,306,9,2,1,1
5625,1500,12,4,1,1
5641,105,2,1,1,1
5790,904,13,2,1,1
5813,304,2,1,1,1
5853,904,12,1,1,1
6109,903,16,4,1,1
6201,303,3,2,1,1
6207,301,9,1,1,1
6316,906,8,1,1,1
6355,905,12,4,1,1
6594,906,3,1,1,1
6698,900,10,2,1,1
6711,105,12,2,1,1
6876,901,1,1,1,1
6912,105,15,4,1,1
7044,903,13,4,1,1
7083,1300,3,1,1,1
7093,904,13,2,1,1
7106,901,4,1,1,1
7111,105,10,2,1,1
7392,904,16,2,1,1
7409,700,15,4,1,1
7445,306,14,3,1,1
7624,905,5,3,1,1
7644,902,3,1,1,1
7802,100,13,2,1,1
7952,1101,11,1,1,1
8277,306,16,2,1,1
8291,500,4,1,1,1
8320,102,4,2,1,1
8499,105,12,2,1,1
8500,1101,4,2,1,1
8535,306,5,1,1,1
8655,105,13,2,1,1
8823,301,8,2,1,1
8876,103,7,1,1,1
9232,901,16,1,1,1
9283,700,13,2,1,1
9417,906,16,4,1,1
9531,104,12,4,1,1
9557,500,5,1,1,1
9561,500,16,2,1,1
9615,905,11,2,1,1
9697,105,10,2,1,1
9802,700,11,2,1,1
10168,1300,12,3,1,1
10251,304,10,6,1,1
10310,903,8,3,1,1
10313,100,10,2,1,1
10412,903,8,1,1,1
10590,700,9,5,1,1
10653,902,15,5,1,1
10701,301,10,2,1,1
11112,105,12,3,1,1
11154,105,12,6,1,1
11814,105,16,3,1,1
12027,102,15,3,1,1
12045,105,13,2,1,1
12086,1300,14,2,1,1
12302,301,12,1,1,1
12437,1101,14,3,1,1
12485,303,10,2,1,1
12519,1300,1,1,1,1
12818,300,13,3,1,1
13008,1100,13,3,1,1
13070,305,8,2,1,1
13148,105,15,2,1,1
13179,500,13,2,1,1
13194,500,10,6,1,1
13250,1101,10,2,1,1
13441,303,10,2,1,1
13653,1101,16,3,1,1
13662,904,6,3,1,1
13682,303,11,3,1,1
14010,901,16,3,1,1
14180,102,11,1,1,1
14283,302,1,3,1,1
14499,1300,5,2,1,1
14720,105,16,3,1,1
14898,905,3,3,1,1
14994,903,11,2,1,1
15100,904,12,2,1,1
15191,1100,13,4,1,1
15219,902,13,4,1,1
15242,302,4,1,1,1
15297,101,13,1,1,1
15402,303,6,2,1,1
15534,104,12,6,1,1
15623,300,13,3,1,1
15659,902,11,2,1,1
15661,500,6,2,1,1
15780,700,10,1,1,1
15893,305,13,3,1,1
15960,500,10,2,1,1
15999,304,9,1,1,1
16005,1101,11,1,1,1
16210,901,12,2,1,1
16306,306,16,7,1,1
16457,306,3,1,1,1
16490,1300,15,2,1,1
16544,306,8,1,1,1
16557,900,12,3,1,1
16644,900,13,1,1,1
16696,105,7,5,1,1
16782,900,13,1,1,1
16790,102,7,6,1,1
16799,102,13,1,1,1
16923,906,8,1,1,1
16943,100,16,2,1,1
16953,100,14,2,1,1
17041,104,3,5,1,1
17129,102,14,3,1,1
17179,903,8,1,1,1
17273,1300,14,2,1,1
17288,905,3,1,1,1
17300,300,11,2,1,1
17764,303,11,2,1,1
17804,1300,12,2,1,1
17829,306,12,4,1,1
17849,305,1,1,1,1
17867,102,1,3,1,1
18005,102,7,1,1,1
18051,300,15,4,1,1
18058,1100,14,2,1,1
18106,906,7,3,1,1
18376,900,11,4,1,1
18478,304,4,1,1,1
18621,302,11,2,1,1
18710,902,9,6,1,1
18941,905,13,3,1,1
19028,901,1,5,1,1
19121,303,12,5,1,1
19347,300,1,1,1,1
19361,900,10,2,1,1
19573,104,5,3,1,1
19734,303,13,2,1,1
