hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
309,1,302,1,1,2.0,2.0,14,1
368,1,103,1,1,1.0,1.0,15,2
607,1,500,1,1,1.0,1.0,7,2
607,2,500,1,1,1.0,1.0,7,1
648,1,904,1,1,1.0,1.0,13,2
683,1,903,1,1,2.0,2.0,16,2
800,1,900,1,1,2.0,2.0,12,2
800,2,900,1,1,1.0,1.0,5,1
941,1,900,1,1,1.0,1.0,16,2
988,1,500,1,1,2.0,2.0,18,2
1033,1,906,1,1,2.0,2.0,18,2
1059,1,300,1,1,2.0,2.0,16,2
1059,2,300,1,1,2.0,2.0,10,1
1102,1,500,1,1,2.0,2.0,16,2
1218,1,903,1,1,2.0,2.0,6,2
1218,2,903,1,1,1.0,1.0,6,1
1218,3,903,1,1,2.0,2.0,2,1
1218,4,903,1,1,2.0,2.0,1,1
1222,1,102,1,1,2.0,2.0,18,2
1327,1,1500,1,1,2.0,2.0,4,2
1378,1,902,1,1,1.0,1.0,8,1
1378,2,902,1,1,1.0,1.0,7,2
1378,3,902,1,1,2.0,2.0,1,2
1394,1,105,1,1,1.0,1.0,10,1
1394,2,105,1,1,1.0,1.0,10,2
1394,3,105,1,1,2.0,2.0,3,1
1394,4,105,1,1,2.0,2.0,2,2
1630,1,305,1,1,1.0,1.0,11,1
1630,2,305,1,1,2.0,2.0,12,2
1783,1,902,1,1,2.0,2.0,16,2
2027,1,904,1,1,2.0,2.0,9,1
2069,1,500,1,1,2.0,2.0,14,2
2122,1,300,1,1,2.0,2.0,6,1
2175,1,301,1,1,2.0,2.0,13,1
2175,2,301,1,1,1.0,1.0,11,2
2297,1,1101,1,1,2.0,2.0,16,2
2379,1,101,1,1,1.0,1.0,10,1
2379,2,101,1,1,1.0,1.0,9,2
2379,3,101,1,1,2.0,2.0,3,2
2379,4,101,1,1,2.0,2.0,2,2
2379,5,101,1,1,2.0,2.0,2,1
2409,1,901,1,1,1.0,1.0,11,2
2544,1,500,1,1,1.0,1.0,7,2
2544,2,500,1,1,1.0,1.0,7,1
2553,1,905,1,1,1.0,1.0,6,2
2592,1,1500,1,1,1.0,1.0,8,1
2592,2,1500,1,1,1.0,1.0,8,1
2636,1,500,1,1,2.0,2.0,9,2
2636,2,500,1,1,2.0,2.0,3,2
2636,3,500,1,1,2.0,2.0,2,2
2646,1,1300,1,1,2.0,2.0,15,1
2646,2,1300,1,1,2.0,2.0,15,2
2654,1,905,1,1,2.0,2.0,16,2
2685,1,105,1,1,1.0,1.0,10,1
2685,2,105,1,1,2.0,2.0,9,2
2685,3,105,1,1,2.0,2.0,2,2
2685,4,105,1,1,2.0,2.0,1,1
2832,1,1100,1,1,2.0,2.0,18,2
2833,1,906,1,1,1.0,1.0,6,2
2833,2,906,1,1,1.0,1.0,7,1
2843,1,902,1,1,2.0,2.0,13,1
2892,1,500,1,1,1.0,1.0,9,1
2892,2,500,1,1,1.0,1.0,9,2
2892,3,500,1,1,2.0,2.0,3,2
