variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
5006,6.143278164,0,6.143278164
5007,0,0,0
5008,15.35819541,0,15.35819541
5009,0,0,0
5010,9.214917246,0,9.214917246
5011,109.5551273,109.5551273,0
5012,0,0,0
5013,5.11939847,0,5.11939847
5014,19.45371419,7.167157858,12.28655633
5015,229.3490515,26.62087204,202.7281794
5016,40.95518776,0,40.95518776
5017,18.42983449,18.42983449,0
5018,0,0,0
5019,0,0,0
5020,0,0,0
5021,27.64475174,0,27.64475174
5022,40.95518776,0,40.95518776
5023,5.11939847,0,5.11939847
5024,0,0,0
5025,6.143278164,0,6.143278164
5026,38.90742837,0,38.90742837
5027,636.8531697,13.31043602,623.5427336
5028,429.0055918,13.31043602,415.6951558
5029,105.4596085,0,105.4596085
5030,8.191037552,0,8.191037552
5031,9.214917246,0,9.214917246
5032,43.00294715,10.23879694,32.76415021
5033,0,0,0
5034,0,0,0
5035,15.35819541,0,15.35819541
5036,14.33431572,8.191037552,6.143278164
5037,12.28655633,0,12.28655633
5038,89.07753338,88.05365368,1.023879694
5039,6.143278164,0,6.143278164
5040,0,0,0
5041,4.095518776,0,4.095518776
5042,160.749112,151.5341947,9.214917246
5043,0,0,0
5044,0,0,0
5045,0,0,0
5046,80.88649583,73.71933797,7.167157858
5047,115.6984054,115.6984054,0
5048,2750.140858,213.990856,2536.150002
5049,6.143278164,0,6.143278164
5050,0,0,0
5051,32.76415021,0,32.76415021
5052,196.5849012,150.510315,46.07458623
5053,191.4655028,0,191.4655028
5054,3.071639082,0,3.071639082
5055,52.21786439,0,52.21786439
5056,2.047759388,0,2.047759388
5057,143.3431572,0,143.3431572
5058,10.23879694,0,10.23879694
5059,0,0,0
5060,153.5819541,57.33726286,96.24469124
5061,175.0834277,175.0834277,0
5062,0,0,0
5063,4.095518776,0,4.095518776
5064,0,0,0
5065,12.28655633,0,12.28655633
5066,0,0,0
5067,102.3879694,69.62381919,32.76415021
5068,17.4059548,0,17.4059548
5069,10.23879694,0,10.23879694
5070,6.143278164,0,6.143278164
5071,0,0,0
5072,612.280057,0,612.280057
5073,189.4177434,170.9879089,18.42983449
5074,284.6385549,0,284.6385549
5075,8.191037552,0,8.191037552
5076,0,0,0
5077,16.3820751,0,16.3820751
5078,6.143278164,0,6.143278164
5079,0,0,0
5080,0,0,0
5081,0,0,0
5082,2.047759388,0,2.047759388
5083,0,0,0
5084,0,0,0
5085,0,0,0
5086,0,0,0
