hid,sample_geo,gqtype,gqrtotals,gqtotals
170,100,2,1,1
603,900,2,1,1
683,903,1,1,1
934,900,1,1,1
1037,905,2,1,1
1627,900,2,1,1
2049,905,2,1,1
2067,100,1,1,1
2553,905,2,1,1
2843,902,1,1,1
2889,901,2,1,1
3403,905,2,1,1
4384,905,1,1,1
4434,902,1,1,1
4939,903,2,1,1
5753,905,2,1,1
5802,102,2,1,1
5837,102,1,1,1
6108,104,2,1,1
6502,100,2,1,1
6994,101,2,1,1
6996,906,1,1,1
7081,100,2,1,1
7171,905,2,1,1
7349,905,2,1,1
7529,904,2,1,1
8114,904,2,1,1
8809,903,1,1,1
10208,100,2,1,1
10861,105,1,1,1
11275,105,1,1,1
11297,900,1,1,1
11424,104,2,1,1
11470,904,2,1,1
12325,905,1,1,1
12525,101,1,1,1
12821,905,1,1,1
14242,905,2,1,1
15184,902,1,1,1
16016,902,2,1,1
16265,100,1,1,1
16844,900,2,1,1
16972,902,1,1,1
17644,900,1,1,1
17651,904,2,1,1
18244,903,1,1,1
18926,903,2,1,1
20125,904,2,1,1
20721,100,2,1,1
21077,904,1,1,1
21129,904,2,1,1
22577,900,2,1,1
23127,905,1,1,1
23455,903,2,1,1
24657,904,2,1,1
25468,105,1,1,1
25578,905,2,1,1
25638,105,2,1,1
25966,903,2,1,1
26011,105,2,1,1
26268,100,1,1,1
26390,104,2,1,1
26430,900,2,1,1
26668,902,1,1,1
27389,901,1,1,1
27464,105,1,1,1
28651,903,2,1,1
29180,104,1,1,1
29597,900,1,1,1
29815,903,2,1,1
30396,100,2,1,1
30924,900,1,1,1
31099,101,1,1,1
32088,903,1,1,1
33006,100,2,1,1
33467,903,2,1,1
34150,905,2,1,1
34602,105,1,1,1
35496,905,1,1,1
36476,100,2,1,1
37033,101,2,1,1
37074,100,1,1,1
38505,103,2,1,1
38530,103,2,1,1
39028,905,2,1,1
39157,903,2,1,1
39307,104,2,1,1
40234,905,2,1,1
40670,903,2,1,1
40781,900,1,1,1
43111,103,1,1,1
48256,101,2,1,1
48609,100,2,1,1
48858,101,2,1,1
48865,905,1,1,1
50602,104,1,1,1
52165,104,1,1,1
53277,905,2,1,1
53517,100,1,1,1
54123,104,2,1,1
54232,904,1,1,1
54728,903,2,1,1
54929,105,2,1,1
56111,905,2,1,1
56637,105,1,1,1
56743,903,2,1,1
57848,903,2,1,1
60021,100,2,1,1
62314,904,2,1,1
62728,903,1,1,1
63785,901,1,1,1
64747,901,1,1,1
64942,101,2,1,1
65741,903,2,1,1
65996,104,2,1,1
66206,103,1,1,1
66232,905,2,1,1
66559,904,2,1,1
67028,904,1,1,1
67284,101,1,1,1
67975,104,2,1,1
68438,100,2,1,1
68705,100,1,1,1
69287,905,2,1,1
70445,903,2,1,1
70746,902,1,1,1
70940,900,1,1,1
71391,102,2,1,1
73196,901,2,1,1
73450,905,1,1,1
73498,101,1,1,1
73593,904,2,1,1
75252,905,2,1,1
76130,902,1,1,1
77268,903,2,1,1
78471,100,2,1,1
79217,902,2,1,1
79883,105,1,1,1
80427,902,2,1,1
80664,901,2,1,1
81643,905,2,1,1
82630,101,2,1,1
83892,901,1,1,1
84025,100,2,1,1
84387,905,1,1,1
85710,900,2,1,1
86331,102,1,1,1
87086,905,1,1,1
87287,904,2,1,1
87694,901,1,1,1
87715,103,2,1,1
88596,103,2,1,1
88863,905,1,1,1
88989,903,2,1,1
89182,103,2,1,1
89902,905,2,1,1
90576,101,2,1,1
90613,903,1,1,1
91167,905,2,1,1
91285,903,1,1,1
91944,902,2,1,1
92528,905,2,1,1
92679,101,1,1,1
92865,105,1,1,1
93768,903,2,1,1
93878,905,2,1,1
94034,905,1,1,1
95505,905,2,1,1
96151,102,2,1,1
96644,103,2,1,1
96701,905,2,1,1
96879,905,2,1,1
97457,903,1,1,1
97936,901,2,1,1
97955,904,2,1,1
98096,104,2,1,1
98133,101,2,1,1
98184,100,1,1,1
98316,901,2,1,1
98829,902,1,1,1
99362,905,2,1,1
101157,900,1,1,1
101532,905,1,1,1
101946,102,1,1,1
102167,900,2,1,1
102495,100,2,1,1
104490,905,2,1,1
105608,101,2,1,1
106096,905,2,1,1
106183,903,1,1,1
106433,905,2,1,1
106571,900,1,1,1
107724,900,1,1,1
107999,901,2,1,1
108195,100,2,1,1
108213,905,2,1,1
108562,102,1,1,1
110271,905,1,1,1
110795,902,1,1,1
111181,905,2,1,1
111349,101,2,1,1
112118,903,1,1,1
115216,903,1,1,1
115249,104,1,1,1
115645,101,2,1,1
117083,906,1,1,1
117406,905,2,1,1
121367,902,1,1,1
121380,105,1,1,1
121684,101,2,1,1
121717,904,2,1,1
122959,900,1,1,1
122966,903,2,1,1
124641,100,1,1,1
125216,906,2,1,1
125298,105,2,1,1
126923,105,1,1,1
126952,105,1,1,1
128337,903,2,1,1
128393,103,1,1,1
129815,104,2,1,1
129827,104,1,1,1
130772,101,2,1,1
131347,905,2,1,1
131757,900,2,1,1
132216,901,1,1,1
133078,104,2,1,1
133747,905,2,1,1
134950,905,2,1,1
136274,903,2,1,1
136561,905,2,1,1
137159,905,2,1,1
138097,902,1,1,1
139213,900,1,1,1
139382,101,2,1,1
140146,901,2,1,1
140436,900,1,1,1
141244,905,2,1,1
141629,906,1,1,1
141796,904,1,1,1
142639,906,1,1,1
143094,904,1,1,1
143550,104,2,1,1
143969,902,2,1,1
144436,900,1,1,1
144505,905,2,1,1
144646,104,1,1,1
145098,900,1,1,1
145312,905,1,1,1
145698,902,2,1,1
146288,102,2,1,1
146534,104,1,1,1
146644,901,2,1,1
146644,905,2,1,1
146969,904,2,1,1
147936,906,1,1,1
148079,904,2,1,1
148425,101,1,1,1
149204,105,2,1,1
149305,901,2,1,1
150362,905,2,1,1
150428,103,2,1,1
150721,902,1,1,1
151618,101,2,1,1
152177,100,1,1,1
152226,104,1,1,1
152377,104,2,1,1
152666,905,1,1,1
153337,902,2,1,1
153633,100,2,1,1
153719,103,2,1,1
153735,101,2,1,1
153851,905,2,1,1
154103,100,1,1,1
154657,104,1,1,1
156353,102,2,1,1
156764,906,2,1,1
157794,905,1,1,1
157846,900,1,1,1
158650,906,2,1,1
158926,102,2,1,1
160409,903,1,1,1
161068,100,2,1,1
161212,906,1,1,1
161429,905,2,1,1
161642,905,2,1,1
162052,104,2,1,1
162341,900,1,1,1
163745,904,2,1,1
163762,102,2,1,1
163876,904,2,1,1
165078,900,1,1,1
165440,905,1,1,1
165843,905,2,1,1
165890,104,2,1,1
166233,905,2,1,1
166583,104,2,1,1
166831,904,1,1,1
167754,903,2,1,1
169896,902,2,1,1
170036,903,2,1,1
170252,905,2,1,1
170316,100,1,1,1
170881,905,2,1,1
171028,900,1,1,1
171216,901,2,1,1
171239,905,2,1,1
171517,905,1,1,1
171780,902,2,1,1
171881,104,1,1,1
172476,904,2,1,1
172588,905,2,1,1
172608,904,1,1,1
172724,100,1,1,1
173006,101,2,1,1
173225,903,1,1,1
173797,101,1,1,1
174235,903,2,1,1
174246,905,1,1,1
174301,903,2,1,1
174660,905,2,1,1
175455,100,2,1,1
175842,904,2,1,1
175996,900,1,1,1
176065,900,1,1,1
176232,105,1,1,1
177425,901,1,1,1
178043,100,2,1,1
178596,104,1,1,1
179536,100,2,1,1
179620,903,2,1,1
179655,101,2,1,1
180026,104,2,1,1
181788,100,2,1,1
181926,906,1,1,1
181942,905,2,1,1
182612,100,2,1,1
183664,905,2,1,1
183871,906,1,1,1
184383,101,2,1,1
184751,906,1,1,1
185527,900,1,1,1
186463,905,1,1,1
186561,906,1,1,1
186632,104,2,1,1
186925,904,2,1,1
187929,905,2,1,1
188110,902,1,1,1
188897,905,2,1,1
188903,902,1,1,1
188970,101,2,1,1
191469,905,2,1,1
191972,905,2,1,1
192808,104,1,1,1
193124,900,1,1,1
193453,100,2,1,1
193918,905,2,1,1
194282,105,1,1,1
194819,103,1,1,1
195027,101,2,1,1
195480,902,1,1,1
195612,905,2,1,1
195804,905,2,1,1
196768,105,1,1,1
196882,100,1,1,1
196957,905,2,1,1
197066,105,1,1,1
197209,904,1,1,1
198814,100,2,1,1
199661,104,2,1,1
200020,100,1,1,1
200059,905,2,1,1
200758,906,1,1,1
200937,101,2,1,1
202066,906,1,1,1
202184,103,1,1,1
202809,903,2,1,1
204180,904,2,1,1
205127,905,1,1,1
205367,101,2,1,1
206678,906,1,1,1
207254,905,2,1,1
208450,906,1,1,1
208482,905,2,1,1
208906,904,2,1,1
208933,903,2,1,1
209165,101,2,1,1
209255,902,2,1,1
209304,104,1,1,1
209474,104,2,1,1
209661,101,2,1,1
210450,905,1,1,1
210963,904,2,1,1
211354,104,2,1,1
212790,903,1,1,1
212924,905,1,1,1
213248,900,1,1,1
213989,105,2,1,1
214217,900,1,1,1
214493,900,1,1,1
215443,902,1,1,1
215943,903,2,1,1
216123,905,2,1,1
217486,905,2,1,1
217899,904,2,1,1
218007,101,1,1,1
218482,103,1,1,1
219483,104,2,1,1
219965,903,2,1,1
221834,100,1,1,1
222103,103,1,1,1
222948,101,2,1,1
223673,102,1,1,1
223889,905,2,1,1
224673,902,1,1,1
224849,904,2,1,1
225004,903,2,1,1
226310,902,1,1,1
227276,905,1,1,1
228830,905,2,1,1
229286,900,1,1,1
229297,904,2,1,1
230127,905,2,1,1
230428,905,2,1,1
231239,102,1,1,1
232391,104,1,1,1
232606,101,2,1,1
233006,905,2,1,1
233033,101,2,1,1
233155,902,1,1,1
233568,905,2,1,1
234431,902,1,1,1
234721,905,1,1,1
235841,105,1,1,1
237488,101,2,1,1
238619,904,1,1,1
238659,905,2,1,1
238791,900,2,1,1
238827,903,2,1,1
239362,905,1,1,1
239560,903,1,1,1
240442,904,2,1,1
240468,905,1,1,1
240880,900,1,1,1
242198,902,1,1,1
242280,900,1,1,1
243226,905,2,1,1
243894,104,1,1,1
244019,906,2,1,1
244103,100,1,1,1
244726,901,1,1,1
244817,905,2,1,1
244880,101,2,1,1
244957,900,1,1,1
245142,903,2,1,1
245173,901,2,1,1
245478,101,1,1,1
245806,903,2,1,1
246625,100,1,1,1
247007,906,1,1,1
247167,900,1,1,1
247380,902,1,1,1
248987,901,1,1,1
250735,100,2,1,1
251104,900,1,1,1
251227,901,1,1,1
251379,101,1,1,1
251934,903,2,1,1
253224,902,2,1,1
253508,900,1,1,1
254061,904,1,1,1
254171,904,2,1,1
255778,102,1,1,1
255815,104,2,1,1
256717,905,2,1,1
256951,905,1,1,1
257625,101,1,1,1
260254,900,1,1,1
260944,100,2,1,1
261367,101,1,1,1
261646,903,2,1,1
261886,902,2,1,1
262430,101,1,1,1
262709,900,1,1,1
263109,101,2,1,1
