variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
5006,2445,0,101.3927384,107.3570171,298.2139364,0,0,0,0,83.49990219,0,0,292.2496577,369.7852811,393.642396,310.1424938,489.0708557,1921.03,289.28,171.76,63.28,0,0,0
5007,1533,27.10233207,27.10233207,24.09096184,24.09096184,117.443439,54.20466415,156.591252,24.09096184,24.09096184,63.23877484,69.2615153,114.4320688,165.6253627,219.8300268,147.5571413,274.034691,349.76,500.64,229.75,267.47,185.17,0,0
5008,1445,0,0,110.8040823,0,65.47513954,0,0,0,0,125.9137299,115.8406315,302.1929517,528.8376655,0,120.8771807,75.54823793,384.82,333.08,297.51,274.87,155.22,0,0
5009,1409,0,0,0,0,0,0,54.19024393,0,0,68.64097565,83.09170736,567.1912198,205.9229269,101.155122,54.19024393,274.5639026,305.53,474.89,303.79,172.84,151.89,0,0
5010,1561,0,31.53959588,31.53959588,97.77274722,82.00294928,0,0,12.61583835,53.61731299,34.69355546,141.9281814,312.2419992,94.61878763,223.9311307,123.0044239,321.7038779,417.88,528.2,217.3,227.33,130.38,40.12,0
5011,987,41.41571381,0,0,31.67083997,24.36218459,29.23462151,17.05352921,21.92596613,38.97949535,34.10705843,34.10705843,36.54327689,19.48974767,41.41571381,119.3747045,496.9885657,410.99,255.36,92.17,140.52,49.86,24.18,13.6
5012,1388,86.46948975,0,0,0,0,0,0,0,0,0,0,69.99911075,78.23430025,65.881516,0,1087.045014,332.79,383.31,145.6,344.68,136.68,44.57,0
5013,1217,0,84.91354455,0,28.30451485,61.32644884,0,23.58709571,66.04386798,66.04386798,122.6528977,47.17419142,66.04386798,339.6541782,169.8270891,108.5006403,33.02193399,209.13,267.42,260.56,322.27,157.71,0,0
5014,1550,208.0145621,60.39132447,0,46.97103014,0,0,0,0,0,0,53.6811773,0,248.275445,87.23191312,301.9566223,543.5219202,516.68,315.96,252.76,267.63,130.1,66.91,0
5015,1567,466.4176668,0,0,0,48.01358335,92.59762502,0,44.58404168,44.58404168,277.7928751,0,123.4635,226.3497501,51.44312501,48.01358335,144.04075,440.97,780.99,154.07,138.13,21.25,31.88,0
5016,1729,0,59.35450695,0,0,0,0,0,0,66.77382032,0,148.3862674,356.1270417,133.5476406,0,81.61244706,882.8982909,544.22,274.4,160.06,571.66,178.36,0,0
5017,951,112.4870251,107.4876018,66.24235923,19.99769335,43.74495421,8.748990842,18.74783752,74.99135007,76.24120591,12.49855835,52.49394505,196.227366,66.24235923,73.74149424,21.24754919,0,408.41,168.81,263.2,68.98,18.15,23.6,0
5018,1261,66.57389057,0,0,0,0,0,0,0,0,70.73475873,37.44781344,29.12607712,0,70.73475873,120.6651767,865.4605774,324.74,362.94,148.04,358.17,19.1,0,47.76
