variable_names,totpop
variable_categories,1
geo,
1,7
2,506
3,145
4,255
5,53
6,2029
7,324
8,692
9,2404
10,618
11,2301
12,2060
13,1295
14,19
15,1068
16,413
17,398
18,744
19,291
20,263
21,372
22,777
23,412
24,323
25,61
26,563
27,960
28,103
29,506
30,59
31,1779
32,626
33,14
34,21
35,968
36,120
37,10
38,16
39,1
40,658
41,728
42,31
43,1934
44,202
45,232
46,116
47,1443
48,1334
49,952
50,208
51,0
52,14
53,409
54,133
55,833
56,188
57,2288
58,348
59,993
60,1046
61,109
62,23
63,85
64,24
65,171
66,92
67,2124
68,429
69,1067
70,87
71,44
72,56
73,35
74,88
75,76
76,0
77,1446
78,622
79,1076
80,19
81,57
82,433
83,46
84,74
85,158
86,29
87,67
88,10
89,1008
90,1562
91,49
92,1466
93,370
94,163
95,1064
96,251
97,268
98,17
99,5
100,0
101,31
102,118
103,299
104,196
105,128
106,31
107,743
108,431
109,1151
110,1271
111,1320
112,131
113,74
114,1704
115,2353
116,1603
117,208
118,1749
119,1204
120,1654
121,3290
122,1755
123,806
124,1474
125,533
126,470
127,1999
128,1815
129,2175
130,776
131,824
132,492
133,368
134,59
135,11
136,40
137,94
138,24
139,52
140,84
141,113
142,23
143,4
144,1492
145,1556
146,54
147,669
148,110
149,145
150,92
151,110
152,192
153,11
154,222
155,13
156,151
157,3324
158,1079
159,3275
160,1569
161,1448
162,236
163,2690
164,1647
165,1578
166,35
167,1365
168,1916
169,84
170,2614
171,1645
172,1711
173,112
174,1808
175,1540
176,516
177,74
178,65
179,12
180,210
181,401
182,0
183,1328
184,408
185,51
186,216
187,205
188,1397
189,1392
190,1024
191,8
192,13
193,1165
194,1503
195,3738
196,1624
197,2513
198,544
199,137
200,21
201,315
202,859
203,172
204,601
205,262
206,28
207,542
208,753
209,441
210,229
211,1711
212,214
213,1298
214,1565
215,80
216,63
217,55
218,40
219,1622
220,3060
221,2018
222,707
223,1658
224,1022
225,1464
226,213
227,2226
228,298
229,474
230,250
231,103
232,78
233,58
234,635
235,291
236,1884
237,2416
238,1272
239,2010
240,1186
241,1326
242,1747
243,13
244,1848
245,1086
246,10
247,1168
248,10
249,11
250,146
251,0
252,8
253,0
254,0
255,1191
256,29
257,12
258,76
259,2853
260,12
261,0
262,9
263,21
264,74
265,73
266,9
267,74
268,448
269,137
270,13
271,8
272,38
273,0
274,0
275,74
276,274
277,503
278,1010
279,1507
280,1858
281,2854
282,0
283,3190
284,550
285,17
286,0
287,2750
288,1532
289,39
290,1279
291,2
292,8
293,2895
294,1000
295,771
296,859
297,1425
298,0
299,1841
300,2548
301,3122
302,1457
303,8
304,5
305,103
306,382
307,1382
308,18
309,138
310,1755
311,1993
312,1309
313,1115
314,16
315,13
316,473
317,1647
318,1272
319,2353
320,360
321,1453
322,173
323,565
324,2455
325,26
326,636
327,1012
328,968
329,566
330,650
331,56
332,2099
333,35
334,138
335,1993
336,1443
337,630
338,558
339,258
340,426
341,1252
342,550
343,783
344,1187
345,130
346,971
347,861
348,1514
349,793
350,1893
351,1380
352,1180
353,538
354,640
355,3738
356,5
357,105
358,2043
359,632
360,9
361,5
362,15
363,633
364,31
365,692
366,1017
367,814
368,106
369,830
370,1217
371,789
372,625
373,175
374,80
375,343
376,60
377,89
378,1611
379,1728
380,233
381,411
382,6
383,56
384,0
385,0
386,0
387,0
388,13
389,18
390,1
391,10
392,19
393,44
394,5
395,1846
396,164
397,13
398,381
399,1106
400,33
401,1687
402,1138
403,79
404,0
405,528
406,869
407,2557
408,20
409,992
410,491
411,575
412,905
413,1041
414,655
415,19
416,0
417,178
418,0
419,26
420,4514
421,3084
422,283
423,557
424,9
425,9
426,40
427,221
428,3268
429,1186
430,3134
431,1975
432,177
433,211
434,0
435,724
436,4
437,43
438,2257
439,1245
440,569
441,34
442,1813
443,2440
444,2386
445,81
446,566
447,0
448,250
449,518
450,2188
451,36
452,1896
453,4544
454,14
455,323
456,155
457,7
458,932
459,1520
460,2802
461,3736
462,2062
463,1910
464,689
465,188
466,390
467,733
468,1703
469,2526
470,1364
471,961
472,3324
473,1926
474,824
475,1435
476,505
477,1459
478,845
479,2952
480,2436
481,1845
482,2309
483,1784
484,2212
485,1234
486,1135
487,259
488,83
489,76
490,2210
491,1170
492,2418
493,2319
494,517
495,1325
496,377
497,2039
498,1180
499,288
500,21
501,39
502,537
503,1683
504,2490
505,2354
506,3718
507,1372
508,1050
509,1291
510,1874
511,1901
512,2201
513,1065
514,752
515,3069
516,684
517,1591
518,446
519,1756
520,607
521,897
522,511
523,13
524,432
525,2703
526,95
527,641
528,1641
529,1306
530,982
531,0
532,250
533,376
534,435
535,218
536,1176
537,19
538,686
539,1555
540,609
541,253
542,136
543,44
544,634
545,20
546,0
547,115
548,403
549,1009
550,1405
551,1958
552,822
553,2822
554,1076
555,1444
556,1900
557,1946
558,200
559,571
560,866
561,2156
562,32
563,371
564,1082
565,149
566,326
567,2122
568,1369
569,47
570,1162
571,519
572,724
573,93
574,96
575,275
576,2171
577,845
578,2035
579,125
580,110
581,2405
582,1902
583,954
584,1088
585,1316
586,17
587,1238
588,1430
589,740
590,1203
591,500
592,815
593,1218
594,1465
595,141
596,1854
597,1511
598,1194
