variable_names,rpsex,rpsex,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpworker,rpworker,rpeligible,prtotals
variable_categories,1,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,1,1
region,,,,,,,,,,,,,,,,,,,,,,,,
1,440841.7552,473722.2476,49166.02146,55445.80299,60675.29704,58350.30169,50583.36097,51941.85246,55508.6407,59139.26408,65357.20532,71192.13575,72780.03476,64628.08837,54562.08532,43047.82261,32017.31055,25394.41516,21082.55118,23691.81238,447227.4,467336.6028,483348.5997,914564.0028
2,243848.2666,259244.0038,33601.82685,33253.15126,34338.14376,36742.9128,37200.4883,34843.67477,33377.0354,32708.65547,33763.6767,35582.98889,35782.80352,31731.56194,26264.63373,20397.07719,14687.3742,11085.71554,8459.152261,9271.398722,227757.1533,275335.1171,252668.6805,503092.2704
3,320424.5396,326041.3899,43516.6853,36627.19041,33484.0201,36325.61327,47808.43652,66681.39263,65003.30993,53983.30308,45774.03497,42710.48899,40561.62747,35345.23874,29586.4093,22294.81155,16424.50805,12411.44197,9051.300065,8876.12185,322426.2202,324039.7093,362619.6177,646465.9295
4,377763.3729,408732.4407,51265.79248,53848.71632,53979.61111,54505.18865,53815.74283,53652.87374,54545.15652,55388.47866,57084.11571,57716.60731,56319.73012,48760.80599,40546.40874,30824.22344,21570.66147,16325.87724,12394.03765,13951.78553,350898.9418,435596.8717,404350.7581,786495.8135
5,262561.921,279002.1737,35006.17312,36314.11581,36968.58599,36368.98755,34246.94781,34673.94969,36101.61254,36571.51414,38771.37198,40977.21582,40782.67057,35387.28228,28291.8678,21677.32928,15561.62473,12239.39044,9992.642214,11630.81299,261322.2206,280241.8741,293357.7299,541564.0947
6,242602.1656,252970.8477,26372.15116,31268.01084,35046.72798,33043.05947,25620.40109,25989.78691,27607.09782,30767.84246,36519.27958,42087.02212,41512.97658,35989.161,29120.58136,23156.49781,16853.97698,12743.81093,10447.62878,11427.99872,252088.8195,243484.1938,271821.8824,495573.0133
7,158812.4251,167732.0282,18274.59763,21272.48,24045.89074,21677.51566,16712.30808,17501.4339,19352.03869,21523.88054,24595.58521,28061.35397,28128.19522,23575.00909,18134.92934,13727.39728,9772.789515,7342.561334,6025.688921,6819.802892,169185.1899,157359.2634,180904.2436,326544.4533
8,401019.8494,416601.2804,49050.5637,49867.62416,52340.75344,57614.23524,60037.48293,56655.51106,56213.56017,56763.2553,57412.71362,59489.78306,59680.33074,52910.40121,43115.652,33166.26986,23909.2442,18614.81213,15049.27601,15728.66328,394924.6808,422696.449,432585.2555,817621.1298
9,306842.5853,323962.2366,33282.39785,39168.40711,44127.57238,43246.72064,35187.07725,33474.36554,34047.26911,36975.77618,43994.59476,51926.25969,54582.81253,48074.90795,38881.45541,29916.96433,20876.48604,15605.37328,12899.82868,14534.55352,308176.7246,322628.0973,335248.9438,630804.8219
10,278563.8938,301670.236,38441.25617,38521.12996,37241.15255,34221.92345,30415.93756,32029.38803,31006.00516,30753.40431,33088.71412,36887.71104,39153.13129,37252.13519,36557.23326,34508.47066,28439.06137,23496.87089,18968.02724,19254.57445,243807.1558,336426.974,270128.7116,580234.1298
11,63249.54511,64346.492,5711.271267,7630.354367,9410.503847,8730.828582,6632.830964,5524.360569,5486.378716,6689.803743,9190.608908,11774.37444,12579.98953,11171.6624,8559.910243,6585.853409,4459.869162,2952.589311,2222.937924,2283.908793,65896.67175,61699.36535,71915.15368,127596.0371
12,52993.4104,56174.21315,5682.785788,6763.603897,7458.843642,7452.850196,5893.555309,5623.850235,5750.71151,6422.976379,7790.480992,9283.847972,9368.755125,8356.861646,6610.771022,5366.132054,3790.854643,2823.91201,2263.524802,2463.306337,54176.18764,54991.43596,59118.03921,109167.6236
13,74137.06013,75341.15769,7730.218669,9099.725921,10467.23389,10441.24324,7617.259312,7270.384118,7669.240609,8711.865473,10885.08355,13043.30702,13631.09554,12349.55663,10158.34503,7448.320096,5046.184384,3161.862363,2334.16017,2411.132475,75735.97382,73742.24398,83590.05097,149478.2178
14,181251.0624,188254.0388,21395.11272,22368.79807,23499.27173,27339.08728,27935.28231,24467.96382,23984.61642,24286.20922,25813.14757,27202.27201,27116.38796,24309.17821,20308.57974,15560.98984,11012.13163,8491.53489,6697.956545,7715.582566,175667.2669,193837.8343,195326.9609,369505.1012
