hid,sample_geo,hhldsize,hhldrtype,hhldrage,tazinc
2008000000150,811,2,3,3,2
2008000000227,822,3,4,2,2
2008000000355,501,1,1,3,2
2008000000649,103,3,4,2,3
2008000000882,811,1,1,3,2
2008000000940,820,1,1,4,1
2008000000954,600,1,1,3,2
2008000001011,811,1,1,3,2
2008000001138,300,1,1,3,1
2008000001320,700,4,4,2,2
2008000001323,903,2,3,3,2
2008000001378,810,2,3,4,2
2008000001469,819,1,1,3,2
2008000001485,101,5,4,3,2
2008000001572,300,2,3,4,2
2008000001616,811,1,1,4,1
2008000001932,804,1,1,3,2
2008000001941,904,1,1,3,2
2008000001951,903,1,1,3,2
2008000001960,812,1,1,3,2
2008000001996,811,2,3,3,3
2008000002022,806,3,2,2,1
2008000002026,502,1,1,2,2
2008000002120,817,2,3,4,2
2008000002166,101,2,3,3,2
2008000002286,817,4,4,2,2
2008000002359,821,1,1,2,2
2008000002367,501,6,4,2,2
2008000002445,101,2,3,3,2
2008000002462,901,2,3,3,2
2008000002474,300,2,3,2,2
2008000002539,810,2,3,4,2
2008000002588,822,3,3,3,2
2008000002967,102,2,3,2,2
2008000002993,400,3,3,4,2
2008000003049,903,1,1,4,2
2008000003079,810,1,1,3,2
2008000003098,905,2,3,3,2
2008000003129,805,6,4,2,2
2008000003133,813,2,3,2,2
2008000003261,103,2,3,3,2
2008000003266,801,2,3,3,3
2008000003312,815,2,3,2,3
2008000003337,816,1,1,4,1
2008000003381,819,2,3,1,2
2008000003399,904,3,2,3,2
2008000003400,101,6,4,2,2
2008000003433,802,2,3,3,3
2008000003468,103,4,4,3,3
2008000003505,102,4,3,3,2
2008000003576,803,4,4,3,3
2008000003583,801,1,1,2,2
2008000003735,815,1,1,3,2
2008000003749,102,6,3,3,2
2008000003942,822,3,4,2,2
2008000003945,822,1,1,3,2
2008000004001,817,1,1,4,2
2008000004044,802,1,1,3,3
2008000004140,502,2,3,3,2
2008000004158,822,3,4,2,3
2008000004204,804,2,3,3,2
2008000004251,809,2,2,2,2
2008000004297,904,1,1,2,2
2008000004315,804,1,1,4,2
2008000004492,815,3,4,2,3
2008000004509,804,2,3,2,2
2008000004561,815,3,3,4,2
2008000004669,902,2,3,3,2
2008000004698,803,2,3,2,2
2008000004812,102,1,1,3,3
2008000004956,807,1,1,3,2
2008000005038,902,2,3,4,3
2008000005050,600,3,4,2,3
2008000005055,815,2,3,3,2
2008000005245,821,3,4,2,3
2008000005265,814,1,1,2,2
2008000005344,810,2,2,3,2
2008000005446,808,2,3,3,3
2008000005463,808,5,2,2,1
2008000005593,700,2,3,4,3
2008000005608,821,1,1,4,2
2008000005781,300,4,4,2,2
2008000005821,818,2,3,4,2
2008000005831,400,4,4,2,2
2008000005855,805,4,4,3,3
2008000005873,600,2,3,3,2
2008000005926,816,1,1,3,2
2008000006084,807,1,1,2,1
2008000006144,904,3,4,1,2
2008000006221,810,5,4,2,2
2008000006312,903,3,3,4,3
2008000006348,820,2,3,3,2
2008000006432,805,2,2,2,2
2008000006735,902,1,1,3,3
2008000006790,905,4,4,2,2
2008000006837,809,5,4,3,2
2008000006916,808,4,4,3,3
2008000006973,102,4,4,2,3
2008000007035,816,2,3,1,2
2008000007179,1000,5,4,2,2
2008000007234,822,5,4,3,2
2008000007331,811,2,2,2,2
2008000007347,300,1,1,4,2
2008000007542,501,4,4,2,2
2008000007620,809,3,3,3,3
2008000007801,818,6,4,2,2
2008000007824,804,1,1,3,2
2008000007836,814,7,4,3,2
2008000007896,806,3,4,2,2
2008000008003,811,2,3,3,3
2008000008042,807,2,3,3,3
2008000008085,804,1,1,2,3
2008000008157,102,2,2,3,2
2008000008163,904,2,3,2,3
2008000008170,806,2,3,3,2
2008000008190,809,5,4,2,2
2008000008316,400,2,3,4,2
2008000008460,811,5,3,4,2
2008000008491,300,6,4,2,2
2008000008631,600,1,1,3,3
2008000008759,700,4,4,2,3
2008000009012,821,3,4,3,3
2008000009015,822,6,2,2,1
2008000009085,822,4,4,2,3
2008000009169,818,2,3,4,2
2008000009204,804,2,3,4,3
2008000009257,905,1,1,3,2
2008000009362,101,2,3,3,3
2008000009366,804,4,4,3,2
2008000009415,821,1,1,3,2
2008000009466,821,2,3,3,3
2008000009658,803,1,1,1,1
2008000009816,808,2,3,4,2
2008000009861,804,1,1,2,2
2008000010085,819,2,3,3,3
2008000010099,807,4,4,2,3
2008000010165,806,2,3,2,2
