variable_names,hhtotals,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4
geo,,,,,
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,713,292,158,156,107
5,167,32,42,50,43
6,98,42,19,28,9
7,6,3,1,0,2
8,0,0,0,0,0
12,0,0,0,0,0
13,3771,1061,862,1236,612
14,1971,518,363,688,402
15,2162,513,408,823,418
16,1679,423,378,558,320
17,1357,358,240,496,263
18,172,75,38,32,27
19,0,0,0,0,0
20,42,6,3,10,23
21,76,6,1,37,32
22,2498,592,427,864,615
23,3727,1082,651,1197,797
24,3968,911,704,1451,902
25,6683,1563,1147,2344,1629
26,4216,1446,741,1254,775
27,5022,1197,970,1882,973
28,345,46,37,112,150
29,0,0,0,0,0
30,846,58,109,186,493
31,2127,290,280,523,1034
32,1148,133,110,298,607
33,922,77,179,262,404
34,4898,715,746,1618,1819
35,1362,196,249,451,466
36,1472,265,235,432,540
37,4297,777,619,1512,1389
38,4239,1010,856,1447,926
39,4256,889,839,1394,1134
40,2950,441,471,927,1111
41,1034,175,157,320,382
42,1703,217,273,533,680
43,2812,437,365,836,1174
44,1813,229,193,421,970
45,7505,1063,1307,2753,2382
46,1694,342,254,467,631
47,2003,276,278,623,826
48,113,20,26,52,15
49,49,3,2,16,28
50,8,0,1,1,6
51,8718,1093,1032,2062,4531
52,3216,383,525,886,1422
53,8220,1080,1140,1666,4334
54,4060,505,520,1129,1906
55,18628,1772,2749,4438,9669
56,19097,2261,3145,5426,8265
57,268,0,54,160,54
58,14,3,2,3,6
60,0,0,0,0,0
61,1198,308,233,365,292
62,0,0,0,0,0
63,2197,817,307,481,592
64,519,81,49,132,257
65,1056,138,132,234,552
66,3707,808,649,799,1451
67,936,144,61,175,556
68,790,116,74,163,437
69,322,50,67,120,85
70,4554,540,497,864,2653
71,6962,582,636,1096,4648
72,166,77,38,25,26
73,252,60,38,38,116
74,6368,1125,780,2163,2300
75,1159,292,162,220,485
76,127,10,37,31,49
77,90,37,17,10,26
78,204,40,15,26,123
79,444,51,54,85,254
80,1859,128,477,215,1039
81,817,107,80,103,527
82,483,336,60,15,72
83,110,33,15,10,52
84,168,63,16,41,48
85,101,57,11,7,26
86,1968,510,264,614,580
90,6843,735,747,1978,3383
91,7623,1054,1117,2794,2658
92,2087,499,239,677,672
93,36,29,6,1,0
94,11,0,4,2,5
95,52,36,11,1,4
96,69,29,4,5,31
97,8,3,0,1,4
98,1,1,0,0,0
