hid,sample_geo,hsize,rhsize,hhrtotals,hhtotals
100,23,1,1,1,1
101,23,1,1,1,1
102,46,3,3,1,1
103,23,1,1,1,1
104,23,1,1,1,1
105,23,1,1,1,1
106,23,1,1,1,1
107,23,1,1,1,1
108,22,1,1,1,1
109,39,2,2,1,1
110,46,1,1,1,1
111,22,1,1,1,1
112,23,1,1,1,1
113,23,1,1,1,1
114,23,1,1,1,1
115,23,1,1,1,1
116,46,1,1,1,1
117,46,3,3,1,1
118,55,1,1,1,1
119,46,1,1,1,1
120,39,1,1,1,1
121,39,1,1,1,1
122,39,2,2,1,1
123,39,1,1,1,1
124,39,1,1,1,1
125,39,1,1,1,1
126,39,1,1,1,1
127,39,1,1,1,1
128,39,1,1,1,1
129,39,1,1,1,1
130,39,1,1,1,1
131,39,1,1,1,1
132,39,1,1,1,1
133,39,1,1,1,1
134,33,1,1,1,1
135,39,1,1,1,1
136,39,1,1,1,1
137,39,1,1,1,1
138,39,1,1,1,1
139,39,1,1,1,1
140,39,1,1,1,1
141,39,1,1,1,1
142,39,1,1,1,1
143,39,3,3,1,1
144,39,1,1,1,1
145,39,1,1,1,1
146,39,1,1,1,1
147,39,1,1,1,1
148,39,1,1,1,1
149,39,1,1,1,1
150,39,1,1,1,1
151,39,1,1,1,1
152,33,1,1,1,1
153,39,1,1,1,1
154,39,1,1,1,1
155,39,1,1,1,1
156,39,1,1,1,1
157,39,1,1,1,1
158,39,3,3,1,1
159,39,1,1,1,1
160,39,1,1,1,1
161,39,1,1,1,1
162,39,1,1,1,1
163,39,1,1,1,1
164,39,3,3,1,1
165,39,1,1,1,1
166,39,1,1,1,1
167,39,1,1,1,1
168,39,1,1,1,1
169,39,1,1,1,1
170,40,1,1,1,1
171,40,1,1,1,1
172,40,1,1,1,1
173,40,1,1,1,1
174,40,1,1,1,1
175,40,1,1,1,1
176,40,1,1,1,1
177,40,1,1,1,1
178,40,1,1,1,1
179,40,1,1,1,1
180,40,1,1,1,1
181,40,2,2,1,1
182,40,1,1,1,1
183,40,1,1,1,1
184,40,1,1,1,1
185,40,1,1,1,1
186,40,1,1,1,1
187,40,1,1,1,1
188,40,1,1,1,1
189,40,1,1,1,1
190,40,1,1,1,1
191,40,1,1,1,1
192,40,1,1,1,1
193,40,3,3,1,1
194,40,1,1,1,1
195,40,3,3,1,1
196,40,1,1,1,1
197,40,1,1,1,1
198,40,1,1,1,1
199,40,4,4,1,1
200,40,1,1,1,1
201,40,1,1,1,1
202,40,1,1,1,1
203,40,1,1,1,1
204,40,4,4,1,1
205,40,1,1,1,1
206,40,2,2,1,1
207,40,1,1,1,1
208,40,1,1,1,1
209,40,1,1,1,1
210,40,1,1,1,1
211,40,1,1,1,1
212,40,1,1,1,1
213,56,1,1,1,1
214,40,1,1,1,1
215,40,1,1,1,1
216,40,2,2,1,1
217,40,1,1,1,1
218,40,1,1,1,1
219,40,1,1,1,1
220,40,1,1,1,1
221,40,1,1,1,1
222,40,1,1,1,1
223,40,1,1,1,1
224,40,1,1,1,1
225,40,1,1,1,1
226,40,1,1,1,1
227,40,3,3,1,1
228,40,1,1,1,1
229,40,1,1,1,1
230,40,1,1,1,1
231,40,1,1,1,1
232,40,1,1,1,1
233,46,1,1,1,1
234,46,1,1,1,1
235,40,1,1,1,1
236,40,1,1,1,1
237,40,1,1,1,1
238,40,4,4,1,1
239,40,1,1,1,1
240,40,1,1,1,1
241,40,4,4,1,1
242,40,3,3,1,1
243,40,2,2,1,1
244,40,2,2,1,1
245,40,1,1,1,1
246,40,1,1,1,1
247,40,1,1,1,1
248,40,1,1,1,1
249,40,1,1,1,1
250,40,1,1,1,1
251,40,2,2,1,1
252,40,1,1,1,1
253,40,1,1,1,1
254,40,1,1,1,1
255,40,1,1,1,1
256,40,1,1,1,1
257,40,1,1,1,1
258,45,1,1,1,1
259,45,1,1,1,1
260,45,1,1,1,1
261,45,3,3,1,1
262,45,1,1,1,1
263,45,1,1,1,1
264,45,1,1,1,1
265,45,1,1,1,1
266,45,1,1,1,1
267,45,1,1,1,1
268,45,1,1,1,1
269,45,1,1,1,1
270,45,1,1,1,1
271,45,2,2,1,1
272,45,1,1,1,1
273,45,1,1,1,1
274,45,1,1,1,1
275,45,1,1,1,1
276,45,1,1,1,1
277,45,1,1,1,1
278,45,1,1,1,1
279,45,1,1,1,1
280,45,1,1,1,1
281,45,1,1,1,1
282,45,1,1,1,1
283,40,1,1,1,1
284,45,1,1,1,1
285,45,1,1,1,1
286,45,1,1,1,1
287,45,1,1,1,1
288,45,1,1,1,1
289,45,1,1,1,1
290,45,1,1,1,1
291,45,3,3,1,1
292,45,1,1,1,1
293,45,1,1,1,1
294,45,1,1,1,1
295,45,1,1,1,1
296,45,1,1,1,1
297,45,1,1,1,1
298,45,1,1,1,1
299,45,1,1,1,1
300,45,1,1,1,1
301,45,1,1,1,1
302,45,1,1,1,1
303,45,2,2,1,1
304,45,1,1,1,1
305,45,1,1,1,1
306,45,1,1,1,1
307,45,3,3,1,1
308,45,1,1,1,1
309,45,1,1,1,1
310,45,1,1,1,1
311,45,1,1,1,1
312,45,1,1,1,1
313,45,1,1,1,1
314,45,1,1,1,1
315,45,1,1,1,1
316,45,1,1,1,1
317,45,1,1,1,1
318,45,1,1,1,1
319,45,1,1,1,1
320,45,1,1,1,1
321,45,1,1,1,1
322,45,1,1,1,1
323,45,1,1,1,1
324,45,1,1,1,1
325,45,1,1,1,1
326,45,1,1,1,1
327,45,1,1,1,1
328,45,1,1,1,1
329,45,1,1,1,1
330,45,1,1,1,1
331,45,1,1,1,1
332,45,1,1,1,1
333,45,1,1,1,1
334,45,1,1,1,1
335,45,1,1,1,1
336,45,1,1,1,1
337,45,1,1,1,1
338,45,1,1,1,1
339,45,1,1,1,1
340,45,1,1,1,1
341,45,1,1,1,1
342,45,1,1,1,1
343,45,1,1,1,1
344,45,1,1,1,1
345,45,1,1,1,1
346,45,1,1,1,1
347,45,1,1,1,1
348,45,1,1,1,1
349,45,1,1,1,1
350,45,1,1,1,1
351,45,1,1,1,1
352,45,1,1,1,1
353,45,1,1,1,1
354,45,1,1,1,1
355,45,1,1,1,1
356,45,1,1,1,1
357,45,1,1,1,1
358,45,1,1,1,1
359,45,1,1,1,1
360,45,1,1,1,1
361,45,1,1,1,1
362,45,1,1,1,1
363,45,1,1,1,1
364,45,1,1,1,1
365,45,1,1,1,1
366,45,1,1,1,1
