variable_names,ptotals,sex,sex,age,age,age,age,age,age,age,age,age
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9
geo,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,1938.845,981.7390035,957.1067449,43.59352609,103.6456136,51.0651597,211.5529971,820.9994258,410.9789577,191.1357574,87.60746962,18.26684153
5,606.405,307.0546848,299.3505493,57.21910043,73.93733608,38.95708095,49.24730338,152.5062685,121.6513644,72.53969505,31.01656523,9.330520073
6,244.015,123.5576041,120.4574901,13.77429732,24.54391852,8.888364352,31.13594953,67.89855422,48.25197893,30.60661934,15.55656449,3.35884749
7,19.67,9.95995358,9.710054013,0,0.070388365,0.799157833,2.654141135,8.902357967,3.745160785,1.196602197,0.703883645,1.598315667
8,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,11600.02,5873.699071,5726.325407,1246.325863,1722.999591,475.4841606,897.1875156,3533.469222,2155.63139,1074.611715,365.0707284,129.2442934
14,6600.67,3342.265724,3258.406824,350.9924769,579.3376376,194.0988053,619.1396554,2464.011273,1465.079586,621.7210806,233.5506446,72.74138807
15,7275.53,3683.982769,3591.550039,589.605448,709.6069675,223.3833346,666.4281113,2620.687073,1414.944402,676.8349942,287.8186825,86.22379598
16,5479.2,2774.406592,2704.795524,401.7478723,754.4180431,258.9531296,555.734559,1544.21131,1092.402478,562.3274166,245.6825577,63.72474893
17,4503.105,2280.158453,2222.948286,566.6400236,607.8732218,211.4315009,295.8903397,1220.9591,856.1392126,505.3145802,185.7962557,53.06250385
18,461.045,233.4512861,227.5938918,41.65401133,53.96772507,14.88649897,46.58481259,132.1905143,87.51435213,53.07215586,26.53607793,4.63902983
19,0,0,0,0,0,0,0,0,0,0,0,0
20,215.705,109.222765,106.4823183,30.41230104,45.05989562,17.17419445,11.66716428,34.73675844,42.19292293,24.44126294,5.431391763,4.589191806
21,372.22,188.4745258,183.7456179,22.28301588,34.59272179,11.4629519,26.09937688,112.6537637,70.74637519,32.82373199,18.92728955,42.63091679
22,8981.025,4547.564418,4433.464049,916.3597113,1257.787138,373.6804633,668.2097723,2695.426125,1809.163403,849.1257051,322.1290324,89.1471176
23,12419.495,6288.642282,6130.857512,1381.018949,1534.362606,477.2522611,823.7104181,3821.548921,2583.750709,1189.248102,465.5124577,143.0953701
24,14013.67,7095.856771,6917.818639,1414.893365,2053.505598,637.9466909,1003.927396,3961.96334,2751.416873,1458.463305,541.6388514,189.9199918
25,24009.715,12157.3791,11852.34517,1810.183486,3032.085752,982.796766,1972.444727,8239.416033,4704.353024,2286.008649,755.1483228,227.2875077
26,13001.625,6583.40526,6418.224759,756.0118339,1401.347057,624.3591405,1429.86822,4439.820822,2484.254513,1263.589752,464.5302518,137.8484287
27,16860.955,8537.586635,8323.374874,1113.002742,1679.46647,601.4093937,1588.669867,6063.10585,3533.922871,1554.973194,571.8786273,154.5324944
28,1612.25,816.3668104,795.883812,178.8766621,295.3852434,118.0074583,109.9705841,281.0943254,280.3611301,199.7592698,101.1609596,47.63498956
29,0,0,0,0,0,0,0,0,0,0,0,0
