hid,pid,sample_geo,age,sex,rpage,rpsex,ptotals,prtotals
100,1,23,6,1,6,1,1,1
100,2,23,5,2,5,2,1,1
100,3,23,1,1,1,1,1,1
101,1,23,8,1,8,1,1,1
101,2,23,7,2,7,2,1,1
102,1,46,5,1,5,1,1,1
102,2,46,5,2,5,2,1,1
102,3,46,1,1,1,1,1,1
103,1,23,6,1,6,1,1,1
103,2,23,6,2,6,2,1,1
103,3,23,1,2,1,2,1,1
103,4,23,1,2,1,2,1,1
104,1,23,6,1,6,1,1,1
104,2,23,5,2,5,2,1,1
104,3,23,2,1,2,1,1,1
105,1,23,5,1,5,1,1,1
105,2,23,5,2,5,2,1,1
105,3,23,1,2,1,2,1,1
106,1,23,5,1,5,1,1,1
106,2,23,5,2,5,2,1,1
106,3,23,1,1,1,1,1,1
106,4,23,1,2,1,2,1,1
107,1,23,7,2,7,2,1,1
107,2,23,7,1,7,1,1,1
107,3,23,3,1,3,1,1,1
108,1,22,7,1,7,1,1,1
108,2,22,6,2,6,2,1,1
109,1,39,5,1,5,1,1,1
109,2,39,5,2,5,2,1,1
109,3,39,1,2,1,2,1,1
109,4,39,1,1,1,1,1,1
110,1,46,5,1,5,1,1,1
110,2,46,4,2,4,2,1,1
111,1,22,7,2,7,2,1,1
112,1,23,6,1,6,1,1,1
112,2,23,6,2,6,2,1,1
113,1,23,6,1,6,1,1,1
113,2,23,5,2,5,2,1,1
113,3,23,2,2,2,2,1,1
113,4,23,1,2,1,2,1,1
114,1,23,5,1,5,1,1,1
114,2,23,5,2,5,2,1,1
114,3,23,1,1,1,1,1,1
114,4,23,1,1,1,1,1,1
115,1,23,7,1,7,1,1,1
115,2,23,7,2,7,2,1,1
116,1,46,7,1,7,1,1,1
116,2,46,5,2,5,2,1,1
116,3,46,1,2,1,2,1,1
117,1,46,5,1,5,1,1,1
117,2,46,4,2,4,2,1,1
118,1,55,5,1,5,1,1,1
118,2,55,6,2,6,2,1,1
119,1,46,6,1,6,1,1,1
119,2,46,4,2,4,2,1,1
119,3,46,2,2,2,2,1,1
119,4,46,1,1,1,1,1,1
120,1,39,5,1,5,1,1,1
120,2,39,4,2,4,2,1,1
121,1,39,5,1,5,1,1,1
121,2,39,5,2,5,2,1,1
121,3,39,1,1,1,1,1,1
122,1,39,7,1,7,1,1,1
122,2,39,6,2,6,2,1,1
122,3,39,2,2,2,2,1,1
123,1,39,6,1,6,1,1,1
123,2,39,5,2,5,2,1,1
123,3,39,1,2,1,2,1,1
123,4,39,1,2,1,2,1,1
124,1,39,7,1,7,1,1,1
124,2,39,5,1,5,1,1,1
124,3,39,5,2,5,2,1,1
125,1,39,6,1,6,1,1,1
125,2,39,5,2,5,2,1,1
125,3,39,1,1,1,1,1,1
126,1,39,8,1,8,1,1,1
126,2,39,7,2,7,2,1,1
126,3,39,4,1,4,1,1,1
126,4,39,2,2,2,2,1,1
127,1,39,5,1,5,1,1,1
127,2,39,5,2,5,2,1,1
127,3,39,1,1,1,1,1,1
127,4,39,1,2,1,2,1,1
127,5,39,9,2,9,2,1,1
128,1,39,5,1,5,1,1,1
128,2,39,5,2,5,2,1,1
128,3,39,1,1,1,1,1,1
128,4,39,2,1,2,1,1,1
129,1,39,7,1,7,1,1,1
129,2,39,6,2,6,2,1,1
129,3,39,2,1,2,1,1,1
129,4,39,2,2,2,2,1,1
