hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
21,400,2,1,1,1
35,1800,11,7,1,1
85,501,1,2,1,1
86,2301,11,3,1,1
174,2001,11,2,1,1
216,1102,10,3,1,1
349,1102,14,3,1,1
371,1203,5,7,1,1
413,307,11,4,1,1
464,901,14,4,1,1
473,2600,15,4,1,1
477,1301,3,1,1,1
481,1403,7,1,1,1
497,1302,1,1,1,1
515,302,12,2,1,1
562,301,1,2,1,1
599,906,4,1,1,1
640,1102,15,3,1,1
676,1201,12,3,1,1
745,601,13,2,1,1
885,1401,7,1,1,1
993,2500,11,3,1,1
1047,1106,10,2,1,1
1061,307,14,4,1,1
1073,1202,14,5,1,1
1079,1302,3,2,1,1
1097,306,13,4,1,1
1111,2202,12,2,1,1
1221,601,10,2,1,1
1227,102,10,2,1,1
1304,102,15,2,1,1
1496,703,10,5,1,1
1534,1205,15,2,1,1
1565,400,12,2,1,1
1606,2003,16,4,1,1
1678,1106,3,1,1,1
1780,1202,9,5,1,1
1782,2002,3,1,1,1
1784,1003,15,3,1,1
1785,2202,15,1,1,1
1831,303,12,2,1,1
1838,1201,9,2,1,1
1849,1402,10,2,1,1
1852,1504,11,1,1,1
1884,400,5,1,1,1
1925,102,16,4,1,1
1933,1302,5,4,1,1
1972,308,12,3,1,1
1992,601,3,2,1,1
2052,502,6,1,1,1
2170,1104,8,2,1,1
2418,1504,6,2,1,1
2475,1800,1,2,1,1
2503,1104,16,5,1,1
2504,2201,13,2,1,1
2567,901,11,1,1,1
2658,1003,7,1,1,1
2662,1101,8,1,1,1
2788,2303,14,4,1,1
2887,1903,15,2,1,1
2920,1503,12,2,1,1
2957,303,9,2,1,1
2991,800,12,3,1,1
3027,2400,3,1,1,1
3089,2201,10,3,1,1
3109,2202,11,2,1,1
3154,307,13,3,1,1
3172,1104,12,2,1,1
3204,800,1,1,1,1
3256,2400,5,1,1,1
3347,1301,10,7,1,1
3452,2103,16,4,1,1
3473,1503,14,2,1,1
3485,906,8,2,1,1
3509,2302,12,4,1,1
3515,1904,4,1,1,1
3626,1103,8,3,1,1
3639,2001,12,4,1,1
3669,800,11,1,1,1
3679,906,10,2,1,1
3689,302,12,1,1,1
3827,400,7,3,1,1
3839,1204,3,1,1,1
3845,2103,12,2,1,1
3869,2002,9,1,1,1
3871,906,15,4,1,1
3973,2400,11,2,1,1
4022,1301,3,1,1,1
4080,1204,7,7,1,1
4121,703,16,2,1,1
4151,902,16,5,1,1
4207,1402,10,1,1,1
4234,2400,11,2,1,1
4264,308,11,2,1,1
4270,307,16,3,1,1
4282,2400,8,2,1,1
4418,602,10,6,1,1
4428,102,12,3,1,1
4453,1502,13,4,1,1
4485,1503,12,5,1,1
4540,1301,7,2,1,1
4575,304,12,3,1,1
4626,307,16,5,1,1
4641,1404,4,3,1,1
4675,302,13,3,1,1
4803,2301,6,3,1,1
4853,2001,3,1,1,1
4879,301,12,1,1,1
4891,1002,7,5,1,1
4942,702,10,1,1,1
4965,2500,2,2,1,1
5061,702,13,2,1,1
5135,1002,4,1,1,1
5231,703,13,3,1,1
5256,703,14,3,1,1
5334,1001,11,2,1,1
5367,2104,14,6,1,1
5374,2002,11,4,1,1
5577,1600,11,4,1,1
5583,2103,15,3,1,1
5623,901,16,2,1,1
5626,1600,5,1,1,1
